name,kind,x_lo,x_hi,u_lo,u_hi,v_lo,v_hi,e_hi,standalone_result_present
FR44,centered,-0.00015384615384615385,0.00015384615384615385,0,0.0001220703125,0,0.0002173913043478261,0.00010729613733905579,True
FR15,centered,-0.00015384615384615385,0.00015384615384615385,0,0.00041118421052631577,0,0.0001220703125,7.142857142857143e-05,True
FR16,centered,-0.0002,0.0002,0,0.0001220703125,0,0.00017857142857142857,1e-05,True
FR18,centered,-0.0002,0.0002,0,5e-05,0,5e-05,0.006493506493506494,False
FR62,centered,-0.0002,0.0002,0,5e-05,0,0.00020759809009757111,1.0940919037199125e-05,False
FR10,centered,-0.0001220703125,0.0001220703125,0,0.00020833333333333335,0,0.00020833333333333335,0.0003255208333333333,True
FR11,centered,-0.00013157894736842105,0.00013157894736842105,0,0.00020833333333333335,0,0.00020833333333333335,1.220703125e-05,True
FR12,centered,-0.000244140625,0.000244140625,0,0.0001220703125,0,0.0001220703125,0.0009765625,True
FR13,centered,-0.00016129032258064516,0.00016129032258064516,0,0.00014705882352941175,0,0.00014705882352941175,0.0025,True
FR14,centered,-0.00015625,0.00015625,0,0.0001220703125,0,0.0002173913043478261,1e-05,True
FR26,shifted,0.000125,0.00015384615384615385,0.00014285714285714287,0.00022222222222222223,0.00011764705882352942,0.0001818181818181818,1e-05,True
FR28,shifted,0.000125,0.00015384615384615385,0.00011764705882352942,0.00014285714285714287,0.00014285714285714287,0.00022222222222222223,1e-05,True
FR30,shifted,8.333333333333333e-05,0.00011764705882352942,0.0004,0.0005,0,3.3333333333333335e-05,1e-05,True
FR32,shifted,0.000125,0.0002,4e-05,8.333333333333333e-05,0.00015384615384615385,0.00023255813953488373,1e-05,False
FR34,shifted,8.333333333333333e-05,0.00016949152542372882,0.0004,0.0005,0,3.3333333333333335e-05,1e-05,False
FR36,shifted,0.000125,0.00020202020202020202,0.00014285714285714287,0.00022222222222222223,0.00011764705882352942,0.0001818181818181818,1e-05,False
FR38,shifted,0.00011764705882352942,0.00020833333333333335,0,3.3333333333333335e-05,0.0002,0.0002631578947368421,1e-05,False
FR40,shifted,0.000125,0.0002173913043478261,0.00011764705882352942,0.00014285714285714287,0.00014285714285714287,0.00022222222222222223,1e-05,False
FR46,shifted,0.00014285714285714287,0.00020833333333333335,0.0001388888888888889,0.0001923076923076923,7.692307692307693e-05,0.00016129032258064516,1e-05,True
FR48,shifted,0.00014285714285714287,0.00020833333333333335,0.0001388888888888889,0.0002380952380952381,7.692307692307693e-05,0.00016129032258064516,1e-05,True
FR50,shifted,0.0001388888888888889,0.00022222222222222223,0.0001,0.00016129032258064516,0.0001,0.00015384615384615385,1e-05,False
FR52,shifted,0.0001388888888888889,0.0002173913043478261,5.555555555555556e-05,0.00012195121951219512,0.00014705882352941175,0.00022222222222222223,1e-05,False
FR54,shifted,0.00014285714285714287,0.00020833333333333335,0.0001388888888888889,0.00041118421052631577,7.692307692307693e-05,0.00016129032258064516,1e-05,False
FR56,shifted,0.00013333333333333334,0.0002173913043478261,0,5e-05,0.0001923076923076923,0.0002777777777777778,1e-05,False
FR58,shifted,0.00014285714285714287,0.00020833333333333335,0.00020833333333333335,0.00035714285714285714,5e-05,0.00011111111111111112,1e-05,False
FR60,shifted,9.09090909090909e-05,0.00017241379310344826,0.00037037037037037035,0.0005128205128205128,2e-05,7.142857142857143e-05,1e-05,False
FR64,shifted,3.3333333333333335e-05,8.333333333333333e-05,0.0004,0.0005,0,3.3333333333333335e-05,1e-05,False
FR66,shifted,0.00014285714285714287,0.00017241379310344826,0,3.3333333333333335e-05,0.00015384615384615385,0.0001923076923076923,0.00016666666666666666,False
FR68,shifted,0.000125,0.00015384615384615385,0.00013333333333333334,0.00016666666666666666,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR70,shifted,0.000125,0.00015384615384615385,0.0001818181818181818,0.0002631578947368421,0.00011111111111111112,0.00014285714285714287,0.00015384615384615385,False
FR72,shifted,0.00011111111111111112,0.000125,0.0001818181818181818,0.0002631578947368421,0.00011111111111111112,0.00014285714285714287,0.00015384615384615385,False
