rank,numerical g_c,p_max at threshold candidate,p_min,peak label,pure-vertex threshold,gap pure minus gc
1,5.123427533184595,0.08334222436670487,0.08332444177048713,8,25.462478384354974,20.339050851170377
3,5.123427533248062,0.08334497343231341,0.08332169186638391,6,8.594086827286993,3.4706592940389314
5,4.821627471663721,0.6674327299266753,0.0024169047993236542,3,5.259742451782838,0.4381149801191171
7,3.718344898120374,0.8363652260130127,0.0017004649578559162,3,3.907765380848298,0.189420482727924
9,3.121905429431779,0.8849948116101469,0.002601224915047742,3,3.238464206311848,0.1165587768800691
11,2.9024964817477654,0.9048413643884053,0.003422046025327617,3,2.9933093488992304,0.09081286715146497
