# sectors lambda 1.9614068619764455 2.1995688493332102 2.298606272079097 2.3421820411462999
0,0,0,0,0,0,4 2.4330852003290326e-16 2.6813674978282132e-16 0
0,0,0,0,0,1,3 -7.0002190892884397e-15 9.9535180445031735e-16 0
0,0,0,0,0,2,2 -0.33333333333334331 0.12891078647848531 0
0,0,0,0,0,3,1 -1.9574050496781736e-15 1.0744443529331349e-15 0
0,0,0,0,0,4,0 -0.041666666666668843 0.015962543556105695 0
0,0,0,0,1,0,3 5.4802735225821693e-15 -1.3312020621025419e-15 0
0,0,0,0,1,1,2 7.864675504267761e-15 -1.3016456944410504e-15 0
0,0,0,0,1,2,1 6.0894791000052489e-15 -2.1638303670558356e-15 0
0,0,0,0,1,3,0 1.3288218995207574e-15 -9.4185489756763024e-16 0
0,0,0,0,2,0,2 -0.33333333333333759 0.12891078647848209 0
0,0,0,0,2,1,1 -4.418342863834855e-15 7.4465440426027801e-16 0
0,0,0,0,2,2,0 -0.083333333333336715 0.031925087112210877 0
0,0,0,0,3,0,1 1.4270734920277842e-15 -9.9087113912568501e-16 0
0,0,0,0,3,1,0 3.2147573299732102e-15 -1.1144969444274874e-15 0
0,0,0,0,4,0,0 -0.041666666666664909 0.015962543556103864 0
0,0,0,1,0,0,3 4.6051487276321801e-17 6.5100919446892114e-16 0
0,0,0,1,0,1,2 -1.5065531287772327e-15 5.368969158148218e-16 0
0,0,0,1,0,2,1 -3.079025749641584e-15 1.0138374514911952e-15 0
0,0,0,1,0,3,0 -4.6509969270011609e-15 9.1278980901554618e-16 0
0,0,0,1,1,0,2 2.3597092772072344e-15 -6.6045191776491208e-16 0
0,0,0,1,1,1,1 -1.4142135623730934 0.53851858480402592 0
0,0,0,1,1,2,0 -4.2387222746499698e-17 -5.1845870261899019e-16 0
0,0,0,1,2,0,1 -1.045978291375305e-14 5.8316778462448246e-16 0
0,0,0,1,2,1,0 -3.043882829116036e-15 -8.9591521864034601e-17 0
0,0,0,1,3,0,0 4.3551457960243964e-15 -1.23283480244892e-15 0
0,0,0,2,0,0,2 -0.33333333333334048 0.126159746957763 0
0,0,0,2,0,1,1 -1.3095806990909287e-15 -4.4810075788825898e-16 0
0,0,0,2,0,2,0 -0.16666666666666852 0.062474654464060572 0
0,0,0,2,1,0,1 3.0292642580562884e-15 1.2193547495494006e-16 0
0,0,0,2,1,1,0 1.1497523582076202e-15 6.1162555055338519e-17 0
0,0,0,2,2,0,0 -0.16666666666665897 0.062474654464056839 0
0,0,0,3,0,0,1 -1.6664187391102203e-16 4.7482634144002667e-16 0
0,0,0,3,0,1,0 -3.8098864341140626e-15 8.6096494517073907e-16 0
0,0,0,3,1,0,0 3.3052919667757308e-17 -3.5471029325578884e-16 0
0,0,0,4,0,0,0 1.3543531666168965e-15 -2.7351710306378063e-16 0
0,0,1,0,0,0,3 -3.5358543350183513e-17 -3.5995512126518747e-16 0
0,0,1,0,0,1,2 -3.4204545662844255e-15 9.7746246860430652e-16 0
0,0,1,0,0,2,1 0.70710678118655046 -0.26925929240201257 0
0,0,1,0,0,3,0 -9.6514322141943998e-16 4.4877838424606242e-16 0
0,0,1,0,1,0,2 -8.9239359445884153e-15 2.9728467815714685e-15 0
0,0,1,0,1,1,1 4.9265519913360353e-15 5.2415754028811712e-16 0
0,0,1,0,1,2,0 -1.2083071529282469e-14 3.5191000233216613e-15 0
0,0,1,0,2,0,1 -0.70710678118653469 0.26925929240200946 0
0,0,1,0,2,1,0 -7.911625402333544e-15 8.0012648609684373e-16 0
0,0,1,0,3,0,0 -7.2659272839421003e-15 2.1612293340156096e-15 0
0,0,1,1,0,0,2 -4.0596052994917864e-15 1.0463093065571361e-15 0
0,0,1,1,0,1,1 -2.9898772260089634e-15 5.7907238032450792e-16 0
0,0,1,1,0,2,0 4.95968283803494e-16 5.6871824957727135e-16 0
0,0,1,1,1,0,1 -2.4931466125529406e-15 -1.0234190881905358e-16 0
0,0,1,1,1,1,0 -9.1052145478279917e-16 1.7632007236634967e-15 0
0,0,1,1,2,0,0 -1.0650234672053154e-15 1.712583940559711e-15 0
0,0,1,2,0,0,1 2.324421037591673e-15 -4.3606611377366988e-16 0
0,0,1,2,0,1,0 -3.7127283669322053e-15 9.4173800702090915e-16 0
0,0,1,2,1,0,0 -9.336279206608334e-15 3.1880727712711027e-15 0
0,0,1,3,0,0,0 -5.3632872611380361e-15 9.0042990424921143e-16 0
0,0,2,0,0,0,2 -0.33333333333334003 0.12615974695776513 0
0,0,2,0,0,1,1 -4.4257132680858291e-15 1.5893319646465009e-15 0
0,0,2,0,0,2,0 -0.16666666666667918 0.062474654464061898 0
0,0,2,0,1,0,1 -1.6614267504355771e-15 -6.0165258463241306e-16 0
0,0,2,0,1,1,0 5.1656795567412914e-15 -1.6029810535585567e-15 0
0,0,2,0,2,0,0 -0.16666666666666655 0.06247465446405967 0
0,0,2,1,0,0,1 2.0290708132794655e-15 3.8510861166685117e-16 0
0,0,2,1,0,1,0 -3.8267525541597902e-15 -3.028989819381378e-16 0
0,0,2,1,1,0,0 4.4794236272712243e-15 -5.7118904468441214e-16 0
0,0,2,2,0,0,0 -1.0253028894652294e-15 -3.8512216419400724e-16 0
0,0,3,0,0,0,1 2.9118790440939984e-15 -7.5011882556125231e-16 0
0,0,3,0,0,1,0 -2.917703242639319e-15 1.0850559816963368e-15 0
0,0,3,0,1,0,0 -1.024628783588113e-14 2.1939747873409585e-15 0
0,0,3,1,0,0,0 -2.856049408474573e-15 8.6368222686553087e-16 0
0,0,4,0,0,0,0 -6.0149395653721601e-15 8.0102931733949841e-16 0
0,1,0,0,0,0,3 -3.1683341626941773e-15 1.3016262798489648e-15 0
0,1,0,0,0,1,2 -1.0131534689110731e-14 2.1761778260582421e-15 0
0,1,0,0,0,2,1 -5.1760189369358215e-15 -8.1975863896946244e-17 0
0,1,0,0,0,3,0 0.166666666666658 -0.061508511654260287 0
0,1,0,0,1,0,2 -6.6266298079017193e-15 3.4206035287722526e-16 0
0,1,0,0,1,1,1 -4.6913653111319929e-15 4.6917802323269098e-16 0
0,1,0,0,1,2,0 1.279851013430611e-15 -1.0297468614820032e-16 0
0,1,0,0,2,0,1 -3.4122004202480775e-15 6.9415825777500632e-16 0
0,1,0,0,2,1,0 -0.50000000000000677 0.18452553496278928 0
0,1,0,0,3,0,0 1.4458920276000527e-15 -5.4502846657848364e-16 0
0,1,0,1,0,0,2 2.8775247030035597e-15 9.2943904304904568e-17 0
0,1,0,1,0,1,1 -1.5008968657710182e-15 1.3987126448496464e-15 0
0,1,0,1,0,2,0 -3.0003205911824438e-15 7.113095932012219e-16 0
0,1,0,1,1,0,1 -0.94280904158207102 0.34576594600847704 0
