s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
1.070127215648494501e-01	7.634567394326319950e-03	1.227564739679206790e-01	4.867946557005884550e-02	5.950870694874291211e-02	6.045740121047592230e-02	4.407608196481754836e-02	2.441696757071130652e-01	2.877019327084638367e-01	2.912496203437218711e-01	2.113410275475268441e-01	1.414561700990945470e+00
1.129578727628966356e-01	8.374963892672303289e-03	1.262686687274563180e-01	5.172531818663184816e-02	6.287609473172765806e-02	6.359810729251832995e-02	4.628970785552455336e-02	2.573023571209733795e-01	3.021236194477883164e-01	3.048290018534227097e-01	2.209296748903792351e-01	1.416052925216366942e+00
1.189030239609438350e-01	9.135346258122421792e-03	1.294812281140553800e-01	5.479094463630024975e-02	6.624452476207309815e-02	6.672719144672693836e-02	4.849182826188591644e-02	2.703543912600460120e-01	3.163870379189931969e-01	3.182029762248242410e-01	2.303597181925068904e-01	1.417955424254470520e+00
1.248481751589910205e-01	9.913956912656275017e-03	1.324021511798409989e-01	5.787469426715064619e-02	6.961342261228485595e-02	6.984582533877166377e-02	5.068380380134343555e-02	2.833237562320223279e-01	3.304943807833795599e-01	3.313802300065655793e-01	2.396393086958172325e-01	1.420282189156740760e+00
1.307933263570382199e-01	1.070908567805060191e-02	1.350393805035715877e-01	6.097503377104588479e-02	7.298225809070657544e-02	7.295509720383759611e-02	5.286689379852871351e-02	2.962088374116478295e-01	3.444479746265319831e-01	3.443691089549170137e-01	2.487761991710845111e-01	1.423044660908133530e+00
1.367384775550854192e-01	1.151906937170522199e-02	1.374007798489160215e-01	6.409053961447452874e-02	7.635054364721066689e-02	7.605601673536964424e-02	5.504226174661572268e-02	3.090083878003794804e-01	3.582502619402088140e-01	3.571776241182115230e-01	2.577777555890637395e-01	1.426252891867506811e+00
1.426836287531325909e-01	1.234229128127832531e-02	1.394941156568466623e-01	6.721989072436182489e-02	7.971783265356158221e-02	7.914951988719512443e-02	5.721098072603936213e-02	3.217214913068790483e-01	3.719037847129922914e-01	3.698134596746182057e-01	2.666509701151180689e-01	1.429915700295182779e+00
1.486287799511797902e-01	1.317718053954305968e-02	1.413270419143157763e-01	7.036186147540618441e-02	8.308371759700695913e-02	8.223647354468865966e-02	5.937403872671095928e-02	3.343475288858993033e-01	3.854111695253223391e-01	3.822839821105515346e-01	2.754024750501112839e-01	1.434040815995961893e+00
1.545739311492269896e-01	1.402221141827909162e-02	1.429070879810949990e-01	7.351531501047872674e-02	8.644782821923382987e-02	8.531768003205428275e-02	6.153234383286759757e-02	3.468861474376961906e-01	3.987751140421501583e-01	3.945962503909606900e-01	2.840385574039850369e-01	1.438635015996144295e+00
1.605190823472741612e-01	1.487590255763417135e-02	1.442416489960251236e-01	7.667919691345348454e-02	8.980982962727107610e-02	8.839388143225643257e-02	6.368672924043011774e-02	3.593372313450976518e-01	4.119983747970898391e-01	4.067570268292204916e-01	2.925651738436040872e-01	1.443704249804332429e+00
1.664642335453213606e-01	1.573681614526898503e-02	1.453379785219540976e-01	7.985252924409649844e-02	9.316942039815725995e-02	9.146576370389998545e-02	6.583795808548581485e-02	3.717008765087205791e-01	4.250837561648277974e-01	4.187727884138127132e-01	3.009879658036592187e-01	1.449253754244158143e+00
1.724093847433685600e-01	1.660355705766245610e-02	1.462031831247279645e-01	8.303440493697271385e-02	9.652633069513216757e-02	9.453396058567115068e-02	6.798672806958488968e-02	3.839773667308698513e-01	4.380341004229641455e-01	4.306497383919876687e-01	3.093122745896437764e-01	1.455288158143304811e+00
1.783545359414157594e-01	1.747477197426035300e-02	1.468442186152736917e-01	8.622398256037892839e-02	9.988032040966454694e-02	9.759905728400899982e-02	7.013367587318258822e-02	3.961671522938582379e-01	4.508522788098849876e-01	4.423938179476365473e-01	3.175431563359511489e-01	1.461811577355019098e+00
1.842996871394629310e-01	1.834914847362474621e-02	1.472678877149333765e-01	8.942048142680200651e-02	1.032311773407284805e-01	1.006615939436796697e-01	7.227938135302913736e-02	4.082708305777362212e-01	4.635411834913110152e-01	4.540107178423271606e-01	3.256853967107627423e-01	1.468827700704641748e+00
1.902448383375101304e-01	1.922541411940213718e-02	1.474808389326337787e-01	9.262317704306465005e-02	1.065787154203071685e-01	1.037220689040436600e-01	7.442437152278935653e-02	4.202891285646260244e-01	4.761037203545031016e-01	4.655058899154410068e-01	3.337435252833404475e-01	1.476339867515822135e+00
