d,k_strict,dk_dd,risk,rho_A,rho_B,delta,bundle_after,critical
2.85,0.1014883682,-0.0712948728,0.2689415737,1.0000000000,1.0000000000,0.000e+00,1.2112948728,0
2.90,0.0979974405,-0.0684180557,0.2669437600,1.0000000000,1.0000000000,0.000e+00,1.2284180557,0
2.95,0.0946465626,-0.0656882624,0.2651374544,1.0000000000,1.0000000000,0.000e+00,1.2456882624,0
3.00,0.0914286143,-0.0630965665,0.2635124125,1.0000000000,1.0000000000,0.000e+00,1.2630965665,0
3.05,0.0883369060,-0.0606346494,0.2620590332,1.0000000000,1.0000000000,0.000e+00,1.2806346494,0
3.10,0.0853651493,-0.0582947563,0.2607683140,1.0000000000,1.0000000000,0.000e+00,1.2982947563,0
3.15,0.0825074303,-0.0560696553,0.2596318097,1.0000000000,1.0000000000,0.000e+00,1.3160696553,0
3.20,0.0797581838,-0.0539525992,0.2586415935,1.0000000000,1.0000000000,0.000e+00,1.3339525992,0
3.25,0.0771121704,-0.0519372910,0.2577902222,1.0000000000,1.0000000000,0.000e+00,1.3519372910,0
3.30,0.0745644547,-0.0500178505,0.2570707024,1.0000000000,1.0000000000,0.000e+00,1.3700178505,0
3.35,0.0721103853,-0.0481887852,0.2564764602,1.0000000000,1.0000000000,0.000e+00,1.3881887852,0
3.40,0.0697455762,-0.0464449613,0.2560013127,1.0000000000,1.0000000000,0.000e+00,1.4064449613,0
3.45,0.0674658892,-0.0447815792,0.2556394419,1.0000000000,1.0000000000,0.000e+00,1.4247815792,0
3.50,0.0652674183,-0.0431941485,0.2553853703,1.0000000000,1.0000000000,0.000e+00,1.4431941485,0
3.55,0.0631464744,-0.0416784668,0.2552339377,1.0000000000,1.0000000000,0.000e+00,1.4616784668,0
3.60,0.0610995716,-0.0402305990,0.2551802812,1.0000000000,1.0000000000,0.000e+00,1.4802305990,0
3.65,0.0591234145,-0.0388468584,0.2552198149,1.0000000000,1.0000000000,0.000e+00,1.4988468584,0
3.70,0.0572148858,-0.0375237895,0.2553482121,1.0000000000,1.0000000000,0.000e+00,1.5175237895,0
3.75,0.0553710355,-0.0362581518,0.2555613886,1.0000000000,1.0000000000,0.000e+00,1.5362581518,0
3.80,0.0535890706,-0.0350469049,0.2558554873,1.0000000000,1.0000000000,0.000e+00,1.5550469049,0
3.85,0.0518663450,-0.0338871946,0.2562268632,1.0000000000,1.0000000000,0.000e+00,1.5738871946,0
3.90,0.0502003511,-0.0327763405,0.2566720703,1.0000000000,1.0000000000,0.000e+00,1.5927763405,0
3.95,0.0485887110,-0.0317118238,0.2571878493,1.0000000000,1.0000000000,0.000e+00,1.6117118238,0
4.00,0.0470291687,-0.0311908446,0.2579459644,1.0000000000,1.0000000000,0.000e+00,1.6311908446,0
