pair,window_idx,max_abs_corr,mean_abs_corr,corr_at_0ms,corr_at_10ms
H1-L1,0,0.1007880539443213,0.0532330085871032,0.0342247635033091,0.1007667703270194
H1-L1,1,0.0096738898378448,0.0051039899981678,0.0052009798263261,-0.0050775321403261
H1-L1,2,0.0069324197971667,0.0032705305301959,0.0044404663310304,-0.0017041021213352
H1-L1,3,0.009952851363869,0.0048605145090484,0.0081233729255313,0.0015277163684827
H1-L1,4,0.0090360091735974,0.0044168089177696,0.0048077335857834,0.0071323979851963
H1-L1,5,0.0091241554169153,0.0046880246753998,0.0052657125043565,0.0075620727875624
H1-L1,6,0.0044515276666335,0.0018596988662847,0.0008716213814659,0.0040233121903578
H1-L1,7,0.0065340696635941,0.0034621767444749,-0.0037152397604277,0.0038229732702541
H1-L1,8,0.0061013271344316,0.0035365639428936,-0.0027433136701177,0.0042861511156644
H1-L1,9,0.0040746289197837,0.0019906043729496,-0.0014923141275046,0.0023962041595133
H1-L1,10,0.0039615384394165,0.0023563979531762,-0.0027570643847805,0.002266326132825
H1-L1,11,0.0030068149998664,0.0011764901597391,0.0018693062185629,-0.0005561061459333
H1-L1,12,0.0077788106651285,0.0039882154494267,0.0006829275313536,-0.0056990379702782
H1-L1,13,0.0062004357893221,0.0030407793542634,0.0012483437133609,-0.004478970145562
H1-L1,14,0.0075511371219526,0.0030348589980137,0.0002959010907893,-0.006033780359584
H1-L1,15,0.0031617705143732,0.0013550440276824,0.0017516079518388,-0.0015764370728894
H1-L1,16,0.0076376797612503,0.0033378604214416,0.0032327014333631,0.0023341914066237
H1-L1,17,0.0059617510120976,0.0029129112013294,0.0050874222920621,0.0002310905857147
H1-L1,18,0.0155733349895531,0.0085293854019234,0.0147906448286377,0.0006672577352959
H1-L1,19,0.0119554553712446,0.0069188090024298,0.0114847229530304,8.18017388430903e-05
H1-L1,20,0.0111357318467047,0.0068413343090972,0.0100056995706255,-0.0007682932245683
H1-L1,21,0.0108942604122289,0.0061031817573991,0.0086829247685463,1.449384985391422e-05
H1-L1,22,0.005318658712807,0.0025510889256057,0.0012470498099922,-0.0019260889117213
H1-L1,23,0.0072040966297717,0.0042096347419319,0.0032630054594523,-0.0038592509435592
H1-L1,24,0.0092020301715893,0.0056559658283445,0.0045657255259674,-0.0051760459294609
H1-L1,25,0.0070840211659567,0.004203091188333,0.0064665508816721,0.0038835243532518
H1-L1,26,0.0162559105257298,0.0104093588777901,0.0088606719336656,0.0144406508168313
H1-L1,27,0.0136694372276831,0.0087749646994467,0.0048190520963286,0.0126340628509463
H1-L1,28,0.0086800433424511,0.0056690451333491,0.0013440972228193,0.0073463511618353
H1-L1,29,0.0055091687707151,0.0027424623276955,0.001494853353426,-0.0021176626335906
H1-L1,30,0.0159746566926151,0.0101548182898011,-0.005745276765917,-0.0151365288248762
H1-L1,31,0.0192378761202584,0.0111957563933047,-0.003912712985733,-0.0153662921139885
H1-L1,32,0.0089904005744778,0.0040608782468136,-0.0013033808187098,-0.0048573300921617
H1-L1,33,0.0053512288635523,0.0025847500384009,-0.0045770295265542,0.0008717271275704
H1-L1,34,0.0106458416413789,0.006791087220449,-0.0005017037151525,0.0094850122150065
H1-L1,35,0.0137496597350206,0.0083281575610278,0.0032242498483744,0.0117082764123957
H1-L1,36,0.0104427517610144,0.0063951460246343,0.0019050932181677,0.0098271709574127
H1-L1,37,0.010071914990027,0.0053926831274695,-0.0014969162833829,0.0059555307883041
H1-L1,38,0.0092247700137837,0.0055912152154625,0.0045848551854426,0.0092155131419858
H1-L1,39,0.0130162919426448,0.0081647423730576,-0.0008613939008221,0.0107477664579886
H1-L1,40,0.0108321316133568,0.0064612483355961,-0.0018708156690432,0.0072922442045607
H1-L1,41,0.0049081081621546,0.0031192571272606,0.0027720671155676,0.0046241250158503
H1-L1,42,0.0096468957394016,0.0051834472921124,-0.0067396325445162,0.0018716117365536
H1-L1,43,0.0068791704758755,0.0035376202872521,-0.006385542481443,0.0012853372424592
H1-L1,44,0.0053920273835307,0.0026508011908476,-0.0046162027534166,-4.740726347622783e-05
H1-L1,45,0.0066659803954496,0.0016049158545775,-0.001714518658146,0.0021052184307598
H1-L1,46,0.0096786016334028,0.0057839106791787,0.0089650023822517,0.0033775863369963
H1-L1,47,0.0134654429656052,0.0076844346118746,0.0112367837076944,0.0008461579840204
H1-L1,48,0.0131157842729473,0.007226161913675,0.0099254189391304,0.0001340175255374
H1-L1,49,0.0120694534100738,0.0064956651483952,0.0060638928233862,-0.0029863997612146
H1-L1,50,0.0085181645285672,0.0044818624727546,0.0032496607594124,-0.0024819920869432
H1-L1,51,0.002266894561685,0.0012402381784357,0.001435043248786,0.0021018696499593
H1-L1,52,0.0041726814933138,0.0020865387090184,0.0014272930571894,0.0038024995853265
H1-L1,53,0.0099120223922562,0.0062560414498851,0.0027764501144105,0.0092303519697412
H1-L1,54,0.0078897880145541,0.0049637850782317,0.0052475879318479,0.0069126132091405
H1-L1,55,0.0033236888944638,0.0018063692932738,0.0032310905295485,0.0017970842672188
H1-L1,56,0.0022340649822291,0.0010406275062997,0.0014908367865952,2.3505740617927502e-06
H1-L1,57,0.0038862901403633,0.0020524310108633,-0.0013731143438014,-0.0029888929752682
H1-L1,58,0.0067271125831391,0.0042409506871597,-0.0053072538439312,-0.0054347816673394
H1-L1,59,0.0072987187973205,0.0045020771968085,0.0042510488692946,-0.0036404943567961
H1-L1,60,0.0080258295545352,0.0045878378852423,0.0061589484767085,-0.0004664380061941
H1-L1,61,0.012346360338666,0.0072446166529181,0.0087090008194545,-0.0016629220841441
H1-L1,62,0.0151184958386728,0.009218221848404,0.012332100513696,-0.0002064772572476
H1-L1,63,0.0089604001807923,0.0042531163201758,0.0013523743070163,-0.0036227517829824
H1-L1,64,0.0111663830428791,0.0067020509191873,0.0070046337249055,-0.0035260576988072
H1-L1,65,0.0100113131060964,0.0053831746330559,0.0055810134898209,-0.0024507273282975
H1-L1,66,0.0047749219425396,0.0023955763773233,-0.0043480411372353,-0.0002853496123063
H1-L1,67,0.0080129199783978,0.0043183770081575,0.0025550182017624,0.0069513191638157
H1-L1,68,0.0060392209336674,0.0026652196085742,-0.0002386185496207,0.0045615741673275
H1-L1,69,0.0059974491215838,0.0028073940630272,0.0023312467419307,0.0050158212690135
H1-L1,70,0.0108577154929611,0.0061691330323116,0.0095649128768727,0.0062580518103368
H1-L1,71,0.0058956650684458,0.0040697225412141,0.0057645579429025,0.0032973118155464
H1-L1,72,0.0075681772877627,0.0038272413172102,0.0036603214645641,-0.001235490716866
H1-L1,73,0.0074819171960873,0.0040608908793876,0.0060856300918926,0.0006805387930802
H1-L1,74,0.0060295439762291,0.0030839873280664,-0.0037880206959767,-0.003168148239524
H1-L1,75,0.0079763345877019,0.0046536378062005,-0.003925228092972,-0.0053840440759642
H1-L1,76,0.0081110909208971,0.0042444443758083,-0.0068699185539264,0.0006418163000866
H1-L1,77,0.0166968450735581,0.0091751263933893,-0.0159675800460886,-0.0012669243886902
H1-L1,78,0.0110174861390833,0.0060597171653432,-0.0097550669420735,0.0021965874863652
H1-L1,79,0.0177823689734331,0.0103866244604974,-0.010371073157949,0.0062359438146272
H1-L1,80,0.0061521943394617,0.002867466828989,-0.0011988359673348,0.0023310075596635
H1-L1,81,0.0136075550148583,0.0082733431290996,0.0048407208067532,0.0123472131902952
H1-L1,82,0.0158283425534911,0.0098829238700682,0.0032544737838235,0.013398232300716
H1-L1,83,0.0081792655458581,0.0043838776259701,0.0067459125641802,0.0058309540066859
H1-L1,84,0.0084705836607084,0.0054779252452896,-0.0011616406094677,0.0069902930745243
H1-L1,85,0.0063907089513127,0.0032453632126341,-0.0032840155350811,0.0009513730638353
H1-L1,86,0.0079790915771616,0.004992327692212,0.0024354042379126,0.0067830664558187
H1-L1,87,0.0158069526670738,0.0095522300349975,-0.0014961842616101,0.0110645079401664
H1-L1,88,0.0119688194224329,0.0072307070843433,0.0043410960191079,0.0111070717563262
H1-L1,89,0.0051205741047218,0.0029587930704569,0.0025656199174558,0.0039127052765626
H1-L1,90,0.0084566473855739,0.0047733258810131,-0.0042673998624458,-0.0079033746518643
H1-L1,91,0.0066756154343856,0.0035415878331425,-0.0017722815831469,-0.0049282854798117
H1-L1,92,0.0061326265421464,0.0030031248689499,-0.0024262043525279,0.0017031948234342
H1-L1,93,0.0130018756756041,0.0074116024725483,-0.0123159605321386,-0.0024072957819133
H1-L1,94,0.0113238180581851,0.0059727622454562,-0.009583641756457,-0.0030144157435294
H1-L1,95,0.0112484026875492,0.0060248732590747,-0.0098640299556888,-0.0024234318237493
H1-L1,96,0.0123080332130517,0.0070493332605767,-0.0108051549142884,-0.005067297596055
H1-L1,97,0.0096427923539236,0.0053414045920254,-0.0058467374402672,0.0017622067706549
H1-L1,98,0.0057539182567839,0.0034170887419175,-0.0047113773486605,-0.0047806965267951
H1-L1,99,0.0136241114126723,0.0068636888598162,0.0035844792337494,-0.009245080959235
H1-L1,100,0.0131532107292707,0.0069155523002694,0.0013189097609171,-0.0107127992212584
H1-L1,101,0.0148488740617561,0.0090513819328634,0.0036276980494522,-0.0116947807829287
H1-L1,102,0.0091962810309338,0.0055226888521881,0.0025728523013023,-0.0069438627119918
H1-L1,103,0.0080671484301633,0.0048430400463959,-0.0029808588131375,-0.0066105427782351
H1-L1,104,0.0079306667529748,0.0038427835660238,-0.000649678531541,-0.0039333703014429
H1-L1,105,0.0041579398511428,0.0022960560823067,9.200353121620814e-05,-0.0034528757706104
H1-L1,106,0.0061193736893737,0.0022853719880436,-0.001412895079216,-0.0025312058468027
H1-L1,107,0.0044418501012996,0.0019039737219488,-0.0018252999597927,0.0023275446829306
H1-L1,108,0.0079780215777525,0.004447868795281,-0.0072691935573611,-0.0026337073966974
H1-L1,109,0.0085282905585125,0.0047896797013801,-0.0082422013675125,-0.0041100842716655
H1-L1,110,0.0047560937047547,0.0025602484313997,-0.0025668057016382,-0.0027980931875761
H1-L1,111,0.0049681954747054,0.0026044536912377,-0.0004084528002125,-0.0041190481045371
H1-L1,112,0.0057779484468876,0.0034417710815599,0.0047851409240972,-0.0009613072722489
H1-L1,113,0.0066904337246491,0.0028803606807009,0.0035324740294838,-0.0027693432604186
H1-L1,114,0.0047148662831083,0.0023990168976134,-0.0028311417247128,-0.0033058813276761
H1-L1,115,0.0063941385321635,0.0032458966284946,0.0007142099114474,-0.003439094585895
H1-L1,116,0.0062757890365687,0.003845699940397,0.0008869842218171,-0.004777220509174
H1-L1,117,0.0046595222669679,0.0031784531375956,0.0044754785903252,0.0025347751755697
H1-L1,118,0.0040260460426392,0.0022605061902327,0.0025555594809893,0.0033653931374307
H1-L1,119,0.0081367146988887,0.0040225091177032,-0.0019387504845374,0.0033118121619806
H1-L1,120,0.0099200829767776,0.0055440265187561,-0.0073657466079703,0.0023961752837803
H1-L1,121,0.0116771494495384,0.005929544107598,-0.0101552087559559,-0.0010975410171892
H1-L1,122,0.0041934227014283,0.0018262354088499,-0.0026136474333862,-0.0013624753203778
H1-L1,123,0.0101050159039306,0.0053606670251853,-0.0034186550733843,-0.0061817951268746
H1-L1,124,0.0133721520597268,0.0081278555450352,-0.0033330247816069,-0.0110610746623072
H1-L1,125,0.0179987840684324,0.0116362594972209,-0.0062707362740651,-0.0175390253456583
H1-L1,126,0.0167437029988015,0.0105698650052468,-0.0067726444190979,-0.0143741256822398
H1-L1,127,0.0098351644720701,0.006019948372822,-0.004777050397321,-0.0079860368527041
H1-L1,128,0.0031196297456911,0.0015565317720129,-0.0024408019737563,0.0004740128797982
H1-L1,129,0.0127791608763651,0.007354679382173,0.0105257674255715,0.0121373205047183
H1-L1,130,0.0141306298216399,0.0087303545768031,0.0120268677823647,0.0123399363512098
H1-L1,131,0.0113568374504872,0.0064298201287105,0.0104883335895371,0.0068026200613241
H1-L1,132,0.0080185677576395,0.0048058426057572,0.0076285516631745,0.0054022143062818
H1-L1,133,0.0061034651138549,0.0031210603717795,0.0055654699564569,0.0012104634429068
H1-L1,134,0.0079008104330265,0.0041759095977723,0.0075739627081344,0.0015386688853891
