pair_id,theta_deg,hxy,f_mean,f_std,f_slope,f_quad,f_spread,f_autoc1,f_switch
P0001,52.96220255412458,0.6701429707895231,0.03509333298263753,0.276282191696274,1.3986575270333595e-05,1.5101927518829516e-07,0.4156642920356039,0.13177467206031954,0.3955018363601765
P0002,108.20876376072133,0.5828314958919606,0.04817847938699805,0.7005230842266348,5.355292009128074e-05,2.798633312330008e-07,0.9396209377142869,0.1644789601257764,0.37939999981425293
P0003,92.78631730505107,0.6780926790139231,0.06345450171308092,0.8762307406295832,0.000196523078551498,2.006257587226776e-06,1.1360343708997374,0.16555399201012538,0.3798501690524052
P0004,37.72937477722551,0.6452451224415421,0.03890434502245162,0.2881444887257659,1.9618727568951295e-05,3.9250645128823614e-08,0.494797681763001,0.2578378953540082,0.34342562605384475
P0005,21.55741009868678,0.6853602241699978,0.05060353762209781,0.8512289744036043,0.00025418981322124104,3.6334681461217727e-06,1.8176603357632124,0.3624223622468621,0.3228842247799594
P0006,42.45458622331247,0.6583229577616613,0.04466188967540119,0.4848443158965644,1.5641544917638618e-05,8.62337274742988e-07,0.873639260437942,0.37722881187305374,0.34013994203567666
P0007,20.82204123928763,0.6798397751719697,0.04099846607474382,0.48574514219283393,3.1519507782113125e-05,8.277572570100588e-08,0.7091041602303106,0.11467820354553065,0.39352642661482173
P0008,164.0037562901453,0.5268122165073525,0.03816884575046756,0.37808351673808027,2.828993362001752e-05,4.2667742218046814e-08,0.6409208238173636,0.1568196259884064,0.3770409943761589
P0009,69.56631811679773,0.6277152174708153,0.07160291938939929,0.9705456512700559,6.813604843374542e-05,7.078431041408854e-06,1.3062812419534844,0.32471801527004274,0.33142693834779857
P0010,33.59283990699071,0.6647864954680619,0.03585559964333844,0.30513778307367967,2.3378447133945967e-05,2.7073310447760374e-07,0.5729962722942299,0.15634420997869125,0.3892776674029102
P0011,25.708636013729436,0.6636605962741694,0.045136505343466984,0.6412333712422515,3.1777548182446e-05,2.317652896969292e-06,1.203730764182398,0.2039607138727103,0.3707950882897087
P0012,26.92922571696949,0.6673249662468792,0.07532782596455473,0.695912921232069,0.0009824494473011753,1.803118053597498e-05,0.9915756579582846,0.2237212170203336,0.4018541818615044
P0013,27.521082129676994,0.6475274685764384,0.048145987504547794,0.9744253272478589,0.0008239873331621051,4.8134678189136204e-06,2.1704446738184746,0.44392888501677563,0.35279493906567366
P0014,49.038267732329594,0.6530608074638956,0.06806534400477311,1.2439839030442452,0.0007594072376674455,3.710757733331066e-05,2.521015204536618,0.30739683305654786,0.33848055505518876
P0015,161.02427869451026,0.5623340918627588,0.07800002212680465,1.0890339980140231,0.0003054383634625342,1.1486768519784745e-05,2.289881811478833,0.15131776284667525,0.41336041525614986
