pair_id,theta_deg,hxy,f_mean,f_std,f_slope,f_quad,f_spread,f_autoc1,f_switch
E00001,118.1364812423641,0.8015878877915633,0.07347072011121034,1.0423166985366068,1.2023392427784695e-05,1.203396836621487e-07,1.8089544802904804,0.1825007858899929,0.3751854800100849
E00002,105.64025363621712,0.6882189420934799,0.046138353910405515,0.9604837864449449,0.00011789764156367287,6.716809206846694e-07,1.3218902667832562,0.1684937577123786,0.38849082077524794
E00003,52.96220255412458,0.6387737809029481,0.03509333298263753,0.276282191696274,1.3986575270333595e-05,1.5101927518829516e-07,0.4156642920356039,0.13177467206031954,0.3955018363601765
E00004,108.20876376072133,0.7060747849631615,0.04817847938699805,0.7005230842266348,5.355292009128074e-05,2.798633312330008e-07,0.9396209377142869,0.1644789601257764,0.37939999981425293
E00005,88.83125097461468,0.6565047143781022,0.04911503661300526,0.5941206893180548,9.451975419108757e-05,2.878272493724564e-07,0.7072260943893947,0.1394992123564816,0.36210836271099384
E00006,92.78631730505107,0.707025423797462,0.06345450171308092,0.8762307406295832,0.000196523078551498,2.006257587226776e-06,1.1360343708997374,0.16555399201012538,0.3798501690524052
E00007,37.72937477722551,1.0,0.03890434502245162,0.2881444887257659,1.9618727568951295e-05,3.9250645128823614e-08,0.494797681763001,0.2578378953540082,0.34342562605384475
E00008,16.689394074005456,0.970145319356436,0.040494835038952626,0.5095675624395599,1.952928525477242e-05,2.869785534234332e-07,0.7394771544442603,0.07823133628540495,0.3491137329766807
E00009,21.55741009868678,1.0,0.05060353762209781,0.8512289744036043,0.00025418981322124104,3.6334681461217727e-06,1.8176603357632124,0.3624223622468621,0.3228842247799594
E00010,42.45458622331247,1.0,0.04466188967540119,0.4848443158965644,1.5641544917638618e-05,8.62337274742988e-07,0.873639260437942,0.37722881187305374,0.34013994203567666
E00011,34.368394157690915,0.8314746959664933,0.040604335697765406,0.5835511478969297,0.0001618263703367463,2.129684195942189e-06,0.8638448208424547,0.15141932604237707,0.3949430483093711
