15	12	0,1,2,3
23	24	0,1,2,4
39	24	0,1,2,5
71	24	0,1,2,6
135	12	0,1,2,7
27	12	0,1,3,4
43	24	0,1,3,5
75	24	0,1,3,6
139	24	0,1,3,7
267	24	0,1,3,8
523	24	0,1,3,9
1035	12	0,1,3,10
51	12	0,1,4,5
83	24	0,1,4,6
147	24	0,1,4,7
275	24	0,1,4,8
531	12	0,1,4,9
99	12	0,1,5,6
163	24	0,1,5,7
291	12	0,1,5,8
195	6	0,1,6,7
85	12	0,2,4,6
149	24	0,2,4,7
277	12	0,2,4,8
165	12	0,2,5,7
293	24	0,2,5,8
549	12	0,2,5,9
325	6	0,2,6,8
585	3	0,3,6,9
