pair_id,theta_deg,hxy,f_std,f_autoc1,f_switch,f_slope,intervention_id,regime
NG15|J1918-0642|58243.542769040|915.312|14052,29.450148463884005,0.3053518659493006,0.10754930678741488,0.09388121804084545,1.0,-0.0032566909443685105,INT_02_GW190503_185404_v2,pre
NG15|J1012+5307|54400.612530907|876.000|14431,27.513107443396347,0.5537527218051266,0.11423431805085273,-0.4486800420604374,0.6666666666666666,-0.0037499656139264466,INT_01_GW150914_v4,pre
NG15|J1918-0642|54916.374764997|1428.000|43,54.71209613156251,0.6633066005099387,0.1456029856657224,-1.0,1.0,0.005359266302335314,INT_01_GW150914_v4,pre
NG15|J1910+1256|56557.990219889|1574.795|3287,61.945204001996125,0.4409392316295081,0.06383153034264859,0.20279986037419698,0.6666666666666666,-0.0017660174643860944,INT_01_GW150914_v4,pre
NG15|J1745+1017|57503.309021635|1324.138|1441,49.5944487345873,0.6318116156932394,0.19098150705407,-0.41794072782692027,0.7777777777777778,-0.00945951378089336,INT_01_GW150914_v4,post
NG15|J2124-3358|58270.358676620|809.838|3903,24.253072136174517,0.35029417809866126,0.12790770747238014,-0.483697101301649,0.5,-0.004306865933614188,INT_02_GW190503_185404_v2,pre
NG15|J1744-1134|56066.269287616|1566.338|2430,61.52849775682253,0.6637595879978333,0.04872834044581638,-0.47061860338384526,1.0,-0.001416905929916966,INT_01_GW150914_v4,pre
NG15|J0030+0451|57816.750350394|2386.668|18984,101.94905281219094,0.3297486628853287,0.10358869465014986,0.5826254145848531,0.5555555555555556,-0.000824708425624877,INT_01_GW150914_v4,post
NG15|J0023+0923|57375.949913427|433.125|1299,5.691092741817378,0.3965075275651561,0.09235650939598276,-0.9813909604787291,1.0,-0.003385696349843003,INT_01_GW150914_v4,post
NG15|J1719-1438|58517.509495174|1380.784|1503,52.38559712811967,0.14523048147846568,0.032890390043801704,-0.6896430706485313,0.5,-0.002478769070569604,INT_02_GW190503_185404_v2,pre
NG15|J1713+0747ao|56044.332066128|1224.773|8773,44.69838440306623,0.6759453334880785,0.25221567035774484,-0.9999705936900223,1.0,-0.018506755649225447,INT_01_GW150914_v4,pre
NG15|J1744-1134|57437.647005497|1493.049|2702,57.91728999963592,0.7167187935844063,0.11760555408239001,-0.3908644095170127,0.6666666666666666,0.002886130847800905,INT_01_GW150914_v4,post
NG15|J0023+0923|57096.726466061|426.875|2456,5.38313317786622,0.34761144174181363,0.09140599042025832,-0.5309067787398175,0.75,-0.0030029253843434412,INT_01_GW150914_v4,pre
NG15|J1713+0747|57628.096692686|1866.500|42519,76.31853913837567,0.5845501484363139,0.13013169448227643,0.017293602395278062,0.6666666666666666,0.0025684370990492317,INT_01_GW150914_v4,post
NG15|J0023+0923|57327.057520160|1650.098|12334,65.65564864907036,0.23328177736987693,0.0883361478939536,-0.36583415311962775,1.0,-0.003179287918626203,INT_01_GW150914_v4,post
NG15|J1744-1134|58637.343138890|859.691|11137,26.709505438839642,0.43607413564273556,0.16990391268928268,0.22324251144046264,0.5555555555555556,-0.006479925446932329,INT_02_GW190503_185404_v2,post
NG15|J1453+1902|56738.317117716|1474.201|2437,56.98858250181969,0.25195470870306935,0.09348989427263475,0.029320946921834207,0.5,0.003394209964888426,INT_01_GW150914_v4,pre
NG15|J0023+0923|56662.941265767|1374.222|15805,52.06226422273606,0.4324242283114525,0.11044886697163603,-0.18551503444525963,1.0,0.0007149096709515312,INT_01_GW150914_v4,pre
NG15|J2229+2643|58565.637245325|1412.300|2013,53.93850170691721,0.3234393585295789,0.11510014161893711,0.8544185189607472,0.0,-0.004264192571893218,INT_02_GW190503_185404_v2,pre
NG15|J1713+0747|57704.766156301|1450.365|3428,55.81409863520533,0.1289798260269266,0.26382354042046224,0.12321257323426613,0.7777777777777778,0.0014596883727520159,INT_01_GW150914_v4,post
NG15|B1937+21|55492.755256145|1643.073|14296,65.30950209918926,0.6664445260366354,0.08254851270456968,-0.2192041305108637,0.5,0.0005456580455308222,INT_01_GW150914_v4,pre
NG15|J1012+5307|56729.081984072|1467.723|4408,56.6693885729756,0.647412225681319,0.2006830006198631,-0.04681495983878949,0.6,-0.002189007342908411,INT_01_GW150914_v4,pre
NG15|J1909-3744|57847.554256383|1768.162|16228,71.47307872240306,0.7716438356287917,0.15158515009342635,0.05825713595817499,0.6666666666666666,-0.003274785064384228,INT_01_GW150914_v4,post
NG15|J1909-3744|56886.121072409|900.463|23331,28.718485813466287,0.6771897827688588,0.14829938649911298,-0.33370218085409564,0.7142857142857143,-0.0032517668863161608,INT_01_GW150914_v4,pre
NG15|J0636+5128|58728.389707069|1355.555|10325,51.14247523389187,0.24677696980196248,0.0477335375641673,0.13626224865966377,0.8888888888888888,-0.0012971217778852454,INT_03_GW190728_064510_v2,post
NG15|J1600-3053gbt|55731.094997579|1817.827|1308,73.92024860138453,0.5762016261059811,0.09494873374834778,0.2550912771042728,0.4444444444444444,0.0031843815698473694,INT_01_GW150914_v4,pre
NG15|B1937+21gbt|55641.393830452|875.480|11556,27.48748520767561,0.779599886526876,0.05990495646649067,0.6087468731062761,0.5,0.00017998649281950326,INT_01_GW150914_v4,pre
NG15|J1918-0642|57859.564471615|831.720|12026,25.331275524715192,0.37106387707868016,0.0609620497430194,1.0,0.0,-0.005676300652376896,INT_01_GW150914_v4,post
NG15|J0340+4130|57922.783108339|769.226|8987,22.251975526385014,0.33320974290574884,0.039367619405044185,0.9961671553730376,0.0,-0.004913723113826844,INT_01_GW150914_v4,post
NG15|J0340+4130|58942.930492187|834.627|9602,25.47451367710015,0.27073487077228076,0.028046819418139295,-1.0,1.0,0.00113961843167745,INT_05_GW200219_094415_v1,post
NG15|J1600-3053|55278.301583379|859.858|13847,26.71773411838841,0.508936730272827,0.09032226459799396,-0.9988755621354145,1.0,-4.670023767871349e-05,INT_01_GW150914_v4,pre
NG15|J0636+5128|56706.057501666|791.099|29282,23.329735453153603,0.18679605439430658,0.04668737610955905,0.19321141711806852,0.5714285714285714,-0.0014043620662816116,INT_01_GW150914_v4,pre
NG15|B1937+21ao|57410.652590694|2237.559|6592,94.60192599280005,0.588619993752822,0.27238971465202744,-1.0,1.0,-0.000787669228119101,INT_01_GW150914_v4,post
NG15|J1923+2515|58661.209932477|1162.650|2389,41.63736488445221,0.17228626103906292,0.11809624998588619,-0.5311712089482734,0.5,-0.0019378512514480616,INT_03_GW190728_064510_v2,pre
NG15|B1937+21|53968.119533393|1422.000|285,54.4164549501694,0.8348576034602387,0.060265365503434636,1.0,0.0,-0.001839856595148045,INT_01_GW150914_v4,pre
NG15|J1643-1224|58786.702777771|1605.707|4178,63.46834736853343,0.5379684292954874,0.16815153213661319,0.21597932320898003,0.3333333333333333,-0.003047030456972864,INT_04_GW191126_115259_v1,pre
NG15|J1012+5307|57579.995704987|728.585|18501,20.24944998421878,0.4020235054552693,0.11691988155423665,-0.20972340818104906,0.5555555555555556,-0.0006691595643348151,INT_01_GW150914_v4,post
NG15|J2010-1323|58788.825649964|912.987|11606,29.33558750609417,0.2975355695932581,0.05217226980609571,-0.3245453685534041,0.5,-0.010103206361437175,INT_04_GW191126_115259_v1,pre
NG15|J2145-0750|58220.552909663|1853.554|6223,75.68064401598981,0.2804930257963394,0.17810402243390658,0.18215548507971682,0.6666666666666666,-0.0020388182799193065,INT_02_GW190503_185404_v2,pre
NG15|J1614-2230|55271.476196813|1567.544|6368,61.58792163428255,0.5200524950229947,0.10338228128845747,0.1831409988839095,0.4444444444444444,0.002490017948259863,INT_01_GW150914_v4,pre
NG15|J1713+0747|57836.468195221|2727.881|57189,118.76182188330547,0.20043733227503888,0.20656723474265232,0.5990229280182499,0.4444444444444444,-0.004863055092128951,INT_01_GW150914_v4,post
NG15|J1741+1351|56425.262049609|1313.649|1952,49.07761867598191,0.7086475062593788,0.08989972970766745,1.0,0.0,-0.003175823124333188,INT_01_GW150914_v4,pre
NG15|J1911+1347|57538.310123593|1387.606|1840,52.721741151363624,0.5970120306684382,0.053996868785309134,-1.0,1.0,-0.020732173068020582,INT_01_GW150914_v4,post
NG15|J0636+5128|58487.922988544|1193.104|7190,43.13794097414316,0.290176251917616,0.056077153124318324,-0.0060825716872271495,0.6666666666666666,-0.00012694461629063214,INT_02_GW190503_185404_v2,pre
NG15|J2145-0750|56522.202574092|734.827|16933,20.55701535992808,0.6749656509413966,0.156754620588958,0.1151967839744669,0.42857142857142855,-0.006158696795945289,INT_01_GW150914_v4,pre
NG15|J1713+0747gbt|58866.750113657|1537.500|3217,60.10754769198678,0.7423110902034886,0.22379265156306177,-0.3235647535705716,0.875,0.006948644289615884,INT_05_GW200219_094415_v1,pre
NG15|J1012+5307|57036.202334471|771.562|25101,22.3670784930074,0.46973827991393413,0.10083453053880118,-0.5458726281236237,0.6666666666666666,0.000863398713060718,INT_01_GW150914_v4,pre
NG15|J1713+0747gbt|56214.732073934|1633.725|21356,64.84889313857877,0.6135808497743802,0.16070009342801775,-0.18582060172992754,0.75,0.000153375832290502,INT_01_GW150914_v4,pre
NG15|J1747-4036|57837.490303353|1355.299|4493,51.12986121015243,0.32552284130598463,0.042132099177656306,0.4656324287100742,0.5555555555555556,-0.0017584084123140374,INT_01_GW150914_v4,post
NG15|J0645+5158|57490.054580224|759.846|7292,21.78978981280712,0.372228657869493,0.12417720858504251,-0.6479676533752973,0.3333333333333333,-0.0008341233462252791,INT_01_GW150914_v4,post
NG15|J0645+5158|57914.046581043|1442.491|1585,55.42611885815711,0.36861127825597323,0.10258186870017952,0.8298695746716181,0.0,-0.00559867910331309,INT_01_GW150914_v4,post
NG15|B1937+21gbt|56234.910865881|744.223|12398,21.019989449989687,0.7499850749727739,0.21077991853964315,-0.3081951887756537,0.75,-0.0036183118670872366,INT_01_GW150914_v4,pre
NG15|J1012+5307|57365.548090368|1743.553|1854,70.26050641691921,0.5180679647425781,0.1051674765517585,0.02489013499295112,0.6666666666666666,-0.0023917379490786452,INT_01_GW150914_v4,post
NG15|J1944+0907|57788.665326801|428.436|376,5.46004915855866,0.6663426874594148,0.13009337688081202,-1.0,1.0,-0.003826065663530969,INT_01_GW150914_v4,post
NG15|J0636+5128|58424.211551766|1643.654|2243,65.33813002025416,0.13097532258437347,0.056077153124318324,-0.0060825716872271495,0.6666666666666666,-0.00012694461629063214,INT_02_GW190503_185404_v2,pre
NG15|J2043+1711|57744.827054609|1686.512|3396,67.44989497894514,0.39138602157555535,0.029139786691793616,-0.45855444370669407,1.0,0.0006977869478365835,INT_01_GW150914_v4,post
NG15|J1730-2304|58759.873866051|874.686|4213,27.44836202467126,0.5412676727127537,0.09636020481671567,-0.9407497386824807,0.5,-0.005181040532551088,INT_04_GW191126_115259_v1,pre
NG15|J1909-3744|57370.731260746|1158.452|12093,41.430514604537485,0.5278154434541044,0.08147880716841224,-0.08750405240729821,0.6666666666666666,0.0027793102577429447,INT_01_GW150914_v4,post
NG15|J0645+5158|56209.443896124|879.375|9475,27.679405607929972,0.30950767010265956,0.09166494648699824,-0.5660924990608118,0.3333333333333333,-0.0001251381489654673,INT_01_GW150914_v4,pre
NG15|J1853+1303|57326.817090289|426.875|234,5.38313317786622,0.38973873908936923,0.05979262569133729,-0.6828622382616196,0.5,0.0019124740629903368,INT_01_GW150914_v4,post
NG15|J0023+0923|57264.245222855|1636.333|15520,64.97739850542433,0.19353081421130758,0.08971121874399254,-0.24588590371330146,1.0,-0.002869198464727914,INT_01_GW150914_v4,pre
NG15|J1614-2230|55269.528880466|1242.680|4457,45.58072550893398,0.3601131971364135,0.08016995316469769,-0.18096862824855597,0.5555555555555556,-0.0022097733869972038,INT_01_GW150914_v4,pre
NG15|J1643-1224gbt|56733.478842393|1593.291|6311,62.85656721717061,0.4325301991433802,0.072248281818395,-0.08116191021267707,0.5,-0.0011348958877524947,INT_01_GW150914_v4,pre
NG15|J1909-3744|58306.304487706|1730.512|7745,69.61793030916128,0.5966067175486103,0.13533585650520846,-0.03457331264613003,0.5714285714285714,-0.0028341420166786897,INT_02_GW190503_185404_v2,pre
NG15|B1937+21|57461.606528002|840.964|21924,25.786760038181512,0.8235004354175083,0.25751733293837664,-0.33018689358484143,0.6666666666666666,-0.0011336313722877303,INT_01_GW150914_v4,post
NG15|J1741+1351|55791.028488620|432.000|31,5.635660020306169,0.38236754922998784,0.14361505090774992,0.06948332434442106,0.6666666666666666,-0.0016195198481080417,INT_01_GW150914_v4,pre
NG15|J2043+1711|56738.560399400|1711.601|3553,68.68611857894044,0.3754819149286599,0.10493445796745676,0.1302404083773701,0.5555555555555556,-0.003814568577916501,INT_01_GW150914_v4,pre
NG15|J1909-3744|55337.267536303|1767.310|12755,71.43109767464523,0.46314191055805687,0.13223515103898467,-0.2817489232430784,0.6666666666666666,-0.0027866726315472386,INT_01_GW150914_v4,pre
NG15|J1741+1351|56874.021963510|1461.881|5329,56.381532609359176,0.6255426920264725,0.020637778718521065,1.0,0.0,-0.0008240494757685941,INT_01_GW150914_v4,pre
