mod k,krotność,lambda_k,dryf pasywny,wariancja szumu /dt,wariancja stacjonarna,std stacjonarne
1,2,0.7541211542070795,-0.7541211542070795,1.2568685903451325e-07,8.333333333333334e-08,0.0002886751345948129
2,2,1.5770495144276093,-1.5770495144276093,2.6284158573793486e-07,8.333333333333334e-08,0.0002886751345948129
3,2,1.9614068619764449,-1.9614068619764449,3.269011436627408e-07,8.333333333333334e-08,0.0002886751345948129
4,2,2.199568849333209,-2.199568849333209,3.665948082222015e-07,8.333333333333334e-08,0.0002886751345948129
5,2,2.2986062720790956,-2.2986062720790956,3.8310104534651595e-07,8.333333333333334e-08,0.0002886751345948129
6,1,2.3421820411463004,-2.3421820411463004,3.9036367352438337e-07,8.333333333333334e-08,0.0002886751345948129
