model,punkty stacjonarne (dla ustalonego znaku k6),maksima,siodła,minima,najmniejsze |niezerowe λ Hessianu|
K do 4. kumulantu,60,6,42,12,5.9788434821e-05
pełne log-mgf,60,6,42,12,5.2923037714e-05
