# sectors lambda 1.9614068619764455 2.1995688493332102 2.298606272079097 2.3421820411462999
0,0,0,0,0,0,4 2.4330852003290326e-16 4.2026725524148267e-16 0
0,0,0,0,0,1,3 -7.0002190892884397e-15 0.004910463758241345 0
0,0,0,0,0,2,2 -0.33333333333334331 0.12891078647848664 0
0,0,0,0,0,3,1 -1.9574050496781736e-15 0.0049104637582414665 0
0,0,0,0,0,4,0 -0.041666666666668843 0.015962543556106001 0
0,0,0,0,1,0,3 5.4802735225821693e-15 -1.1172965967676772e-15 0
0,0,0,0,1,1,2 7.864675504267761e-15 0.0060140653040576721 0
0,0,0,0,1,2,1 6.0894791000052489e-15 -1.4291953037703919e-15 0
0,0,0,0,1,3,0 1.3288218995207574e-15 0.0060140653040579176 0
0,0,0,0,2,0,2 -0.33333333333333759 0.12891078647848381 0
0,0,0,0,2,1,1 -4.418342863834855e-15 0.0049104637582411013 0
0,0,0,0,2,2,0 -0.083333333333336715 0.031925087112210676 0
0,0,0,0,3,0,1 1.4270734920277842e-15 -1.1120808871702017e-15 0
0,0,0,0,3,1,0 3.2147573299732102e-15 0.0060140653040569548 0
0,0,0,0,4,0,0 -0.041666666666664909 0.015962543556104696 0
0,0,0,1,0,0,3 4.6051487276321801e-17 0.0085051727179977429 0
0,0,0,1,0,1,2 -1.5065531287772327e-15 -3.6158142452391573e-16 0
0,0,0,1,0,2,1 -3.079025749641584e-15 0.0085051727179973578 0
0,0,0,1,0,3,0 -4.6509969270011609e-15 4.5360308391362292e-16 0
0,0,0,1,1,0,2 2.3597092772072344e-15 0.00347222222222184 0
0,0,0,1,1,1,1 -1.4142135623730934 0.53851858480402237 0
0,0,0,1,1,2,0 -4.2387222746499698e-17 0.003472222222221222 0
0,0,0,1,2,0,1 -1.045978291375305e-14 0.008505172717997651 0
0,0,0,1,2,1,0 -3.043882829116036e-15 -2.9311183386996958e-16 0
0,0,0,1,3,0,0 4.3551457960243964e-15 0.003472222222221297 0
