mask	orbit_size	beta_peak	C_peak	dC	skew	binder	status
15	12	0.697117517563	7.51221030595	1.10718190172e-09	0.729702991748	-0.104903080612	BRACKETED
23	24	0.661403487297	7.33880412254	6.86313228471e-11	0.738273614988	-0.104513030462	BRACKETED
39	24	0.643274510978	6.91852786718	2.77740497268e-10	0.760366804241	-0.125476754907	BRACKETED
71	24	0.677665419644	6.7298434538	7.0707528721e-10	0.770952311059	-0.168633606368	BRACKETED
135	12	0.717238938855	6.81017823935	3.28579830011e-10	0.766391635839	-0.1887436265	BRACKETED
27	12	0.652207898768	7.48257437517	-2.90862800512e-09	0.731146616481	-0.0935374059084	BRACKETED
43	24	0.64580216459	7.11116152821	-1.67196390066e-09	0.749997341357	-0.122805585103	BRACKETED
75	24	0.639541765628	7.18704955252	6.91258605912e-10	0.746027224054	-0.115872110967	BRACKETED
139	24	0.629541279236	7.04123937522	-8.41584579803e-10	0.75371201979	-0.104871381665	BRACKETED
267	24	0.622263394436	6.98065015647	7.61161800256e-10	0.756975910402	-0.0992400728906	BRACKETED
523	24	0.625241067028	7.26130798636	4.86516427145e-09	0.74220276299	-0.0907134322082	BRACKETED
1035	12	0.652796218405	7.44267716565	-1.16856924137e-09	0.733103689157	-0.106186655585	BRACKETED
51	12	0.624037883105	6.7588491396	-1.1856933213e-09	0.76929625672	-0.121241626106	BRACKETED
83	24	0.627952429047	6.76766328482	1.7794477003e-10	0.768795131109	-0.128208802952	BRACKETED
147	24	0.610233683186	7.17548299303	-2.16342499471e-09	0.746628263386	-0.0769534184699	BRACKETED
275	24	0.596153903147	7.43223336247	-5.51192869125e-09	0.733618588536	-0.036323136842	BRACKETED
531	12	0.603821240412	7.51551776279	-2.95116819871e-10	0.72954240893	-0.0453419420609	BRACKETED
99	12	0.667738527851	6.50248150363	1.69272240669e-09	0.784314840915	-0.177920461913	BRACKETED
163	24	0.656891127815	6.5981305849	-8.4203577444e-10	0.778609220476	-0.173877407659	BRACKETED
291	12	0.600924249878	7.00662279617	2.9161810744e-09	0.755571602089	-0.0717005938045	BRACKETED
195	6	0.766486652987	6.83038216905	8.54317505627e-10	0.765257322271	-0.215003438265	BRACKETED
85	12	0.625540445419	6.90656999128	-3.21816528981e-09	0.761024760462	-0.114072228259	BRACKETED
149	24	0.612145591481	7.09989441671	-3.50469520072e-09	0.750592206161	-0.0833551138572	BRACKETED
277	12	0.596667228034	7.15267704006	7.39088790169e-10	0.747817609442	-0.0509671999344	BRACKETED
165	12	0.624788624095	6.76142040263	2.48395082281e-10	0.769149967058	-0.130848795334	BRACKETED
293	24	0.597297184216	7.24990414309	2.01383443255e-09	0.74278626309	-0.0538810030327	BRACKETED
549	12	0.595834085392	7.44457532632	-8.98726426612e-10	0.733010222612	-0.037835023902	BRACKETED
325	6	0.626496464992	6.71925058134	-4.23302282115e-10	0.771559773443	-0.137961450134	BRACKETED
585	3	0.595579587342	7.93765475667	6.02961947038e-09	0.709878287192	-0.0154984672412	BRACKETED
