beta 0.21360026464267129 mask 15 logZ -12.464580943838021 bins 13 psum 1.0000000000000107 hist_entropy 1.9802438125873354 Neff_bins 7.2445090723560241 max_bin_q2 20 max_bin_p 0.25988475585868626
0	8.3825986985330943e-08
2	1.4887610188074237e-05
4	0.00048373656249845631
6	0.0046871636919937152
8	0.016103258194228601
10	0.03241530791763346
12	0.080505115187807286
14	0.090856484266780682
16	0.19817431691948809
18	0.10924591205024511
20	0.25988475585868626
22	0.049137520390935802
24	0.15849145752353816
