beta 0.42499999999999999 mask 15 logZ -13.883270413356975 d1 -68.064158926156793 d2 28.214854358887351 C 5.096308068574027 sec 0.010260444000000001 memo 728 new_splits 15633
beta 0.42499999999999999 mask 23 logZ -13.795856999244723 d1 -67.877498576838647 d2 28.927094180044151 C 5.224956386270474 sec 0.0028291869999999999 memo 899 new_splits 4598
beta 0.42499999999999999 mask 39 logZ -13.78852001523401 d1 -67.897369170525025 d2 28.509698483069769 C 5.1495642885044761 sec 0.0032074030000000002 memo 1086 new_splits 4806
beta 0.42499999999999999 mask 71 logZ -13.836653560840171 d1 -68.083915859305705 d2 27.41988515342473 C 4.9527167558373408 sec 0.0026889370000000002 memo 1223 new_splits 3906
beta 0.42499999999999999 mask 135 logZ -13.866943711716562 d1 -68.18785401943488 d2 26.955017082274935 C 4.8687499604859097 sec 0.0020254959999999999 memo 1246 new_splits 2147
beta 0.42499999999999999 mask 27 logZ -13.748255934538214 d1 -67.721535664895939 d2 29.617916027363208 C 5.3497360824424787 sec 0.000922016 memo 1249 new_splits 1887
beta 0.42499999999999999 mask 43 logZ -13.738286742566558 d1 -67.801295386387466 d2 29.003616306400545 C 5.2387781953435981 sec 0.000909084 memo 1252 new_splits 1887
beta 0.42499999999999999 mask 75 logZ -13.734173856847944 d1 -67.768693313548638 d2 29.328088343385389 C 5.2973859570239856 sec 0.000973006 memo 1275 new_splits 2147
beta 0.42499999999999999 mask 139 logZ -13.74003743207364 d1 -67.802439663717806 d2 29.091940097518091 C 5.2547316801142046 sec 0.001016028 memo 1314 new_splits 2355
beta 0.42499999999999999 mask 267 logZ -13.728959243692922 d1 -67.779641047671575 d2 29.125046380708227 C 5.2607115025154227 sec 0.00048988899999999997 memo 1317 new_splits 1887
beta 0.42499999999999999 mask 523 logZ -13.703675043045267 d1 -67.661646847175987 d2 29.865227257033439 C 5.3944066733016642 sec 0.00053905000000000001 memo 1320 new_splits 1887
beta 0.42499999999999999 mask 1035 logZ -13.730886160050343 d1 -67.740597247659949 d2 29.570302619435097 C 5.3411359106354634 sec 0.00053582900000000004 memo 1323 new_splits 1887
beta 0.42499999999999999 mask 51 logZ -13.748222827025517 d1 -67.800553462072529 d2 28.65524743048627 C 5.1758540671315822 sec 0.00085632000000000004 memo 1326 new_splits 1887
beta 0.42499999999999999 mask 83 logZ -13.742360972845496 d1 -67.848097831739125 d2 28.538604802201917 C 5.1547854923977203 sec 0.00081913699999999995 memo 1329 new_splits 1887
beta 0.42499999999999999 mask 147 logZ -13.694885741803111 d1 -67.639706298847301 d2 30.022695126341205 C 5.4228493071953796 sec 0.00085469500000000004 memo 1332 new_splits 1887
beta 0.42499999999999999 mask 275 logZ -13.65618751533709 d1 -67.480658981634207 d2 31.115648992264141 C 5.6202640992277102 sec 0.001964557 memo 1343 new_splits 1991
beta 0.42499999999999999 mask 531 logZ -13.651595225044943 d1 -67.470308379668609 d2 31.121091233416337 C 5.6212471040358256 sec 0.00055039599999999998 memo 1346 new_splits 1887
beta 0.42499999999999999 mask 99 logZ -13.826437500513876 d1 -68.088350928965596 d2 27.104156817740659 C 4.8956883252044063 sec 0.00080391499999999999 memo 1349 new_splits 1887
beta 0.42499999999999999 mask 163 logZ -13.778917371416068 d1 -68.003464835102022 d2 27.585118474930823 C 4.9825620245343796 sec 0.00080444499999999999 memo 1352 new_splits 1887
beta 0.42499999999999999 mask 291 logZ -13.689508615044069 d1 -67.648784276492748 d2 29.819678871530414 C 5.3861794961701808 sec 0.00083544800000000003 memo 1355 new_splits 1887
beta 0.42499999999999999 mask 195 logZ -13.86772944444783 d1 -68.214277190895984 d2 26.623236241427549 C 4.8088220461078501 sec 0.00083723399999999996 memo 1358 new_splits 1887
beta 0.42499999999999999 mask 85 logZ -13.709157632151957 d1 -67.79969962161266 d2 28.901220374901641 C 5.2202829302166087 sec 0.00053056200000000005 memo 1361 new_splits 1887
beta 0.42499999999999999 mask 149 logZ -13.681687547100321 d1 -67.690904587512563 d2 29.703041120324997 C 5.3651118023587019 sec 0.00051230299999999998 memo 1364 new_splits 1887
beta 0.42499999999999999 mask 277 logZ -13.666484397535237 d1 -67.611897155496138 d2 30.250457853789158 C 5.4639889498406662 sec 0.00084190199999999995 memo 1367 new_splits 1887
beta 0.42499999999999999 mask 165 logZ -13.71389308924855 d1 -67.843287997313624 d2 28.580552554773931 C 5.1623623052060408 sec 0.00051124999999999999 memo 1370 new_splits 1887
beta 0.42499999999999999 mask 293 logZ -13.646508069920619 d1 -67.545353321592387 d2 30.593802882066484 C 5.5260056455732585 sec 0.00051912200000000001 memo 1373 new_splits 1887
beta 0.42499999999999999 mask 549 logZ -13.633655229440299 d1 -67.483098402024993 d2 31.136457929445896 C 5.6240227135061645 sec 0.00080003799999999999 memo 1376 new_splits 1887
beta 0.42499999999999999 mask 325 logZ -13.712010305516943 d1 -67.837793767306167 d2 28.493405465344949 C 5.1466213621779309 sec 0.00083479300000000002 memo 1379 new_splits 1887
beta 0.42499999999999999 mask 585 logZ -13.601881966727957 d1 -67.30248120311758 d2 32.529281191859809 C 5.8756014152796769 sec 0.00198541 memo 1382 new_splits 1887
