5.000000000000000000e-01 -1.891162972284688948e+01
7.500000000000000000e-01 -3.477503092623052794e+01
1.000000000000000000e+00 -4.978500923719462889e+01
1.250000000000000000e+00 -6.439542524003148571e+01
1.500000000000000000e+00 -7.880781399503753448e+01
1.750000000000000000e+00 -9.310302582484378320e+01
2.000000000000000000e+00 -1.073165856782285914e+02
2.250000000000000000e+00 -1.214671451351745048e+02
2.500000000000000000e+00 -1.355664136245724194e+02
2.750000000000000000e+00 -1.496227589431801732e+02
3.000000000000000000e+00 -1.636426403136610475e+02
3.250000000000000000e+00 -1.776312622458095802e+02
3.500000000000000000e+00 -1.915929253716413996e+02
3.750000000000000000e+00 -2.055312442217867499e+02
4.000000000000000000e+00 -2.194492959806836154e+02
4.250000000000000000e+00 -2.333497269610898286e+02
4.500000000000000000e+00 -2.472348302502265369e+02
4.750000000000000000e+00 -2.611066029574766389e+02
5.000000000000000000e+00 -2.749667891471161170e+02
5.250000000000000000e+00 -2.888169129977349598e+02
5.500000000000000000e+00 -3.026583054727299213e+02
5.750000000000000000e+00 -3.164921267344332136e+02
6.000000000000000000e+00 -3.303193857073845834e+02
6.250000000000000000e+00 -3.441409576006176394e+02
6.500000000000000000e+00 -3.579575998101246910e+02
6.750000000000000000e+00 -3.717699663965490231e+02
7.000000000000000000e+00 -3.855786212208037114e+02
7.250000000000000000e+00 -3.993840497789362303e+02
7.500000000000000000e+00 -4.131866697747252033e+02
7.750000000000000000e+00 -4.269868404824548520e+02
8.000000000000000000e+00 -4.407848709701926850e+02
