15	2,2,2,2,3,3,3,3,3,3,3,3	-28.61355363862851
85	2,3,2,3,2,3,2,3,3,3,3,3	-28.464099881429178
195	2,2,3,3,3,3,2,2,3,3,3,3	-28.643563618763007
277	2,3,2,3,2,3,3,3,2,3,3,3	-28.401243961398286
325	2,3,2,3,3,3,2,3,2,3,3,3	-28.47825193501688
585	2,3,3,2,3,3,2,3,3,2,3,3	-28.30239505042542
23	2,2,2,3,2,3,3,3,3,3,3,3	-28.528527976717214
27	2,2,3,2,2,3,3,3,3,3,3,3	-28.479400341158254
39	2,2,2,3,3,2,3,3,3,3,3,3	-28.534103573086437
43	2,2,3,2,3,2,3,3,3,3,3,3	-28.487124247268113
45	2,3,2,2,3,2,3,3,3,3,3,3	-28.469375715285572
51	2,2,3,3,2,2,3,3,3,3,3,3	-28.502375859767735
71	2,2,2,3,3,3,2,3,3,3,3,3	-28.597493892868815
75	2,2,3,2,3,3,2,3,3,3,3,3	-28.478507715260985
77	2,3,2,2,3,3,2,3,3,3,3,3	-28.440065457775
83	2,2,3,3,2,3,2,3,3,3,3,3	-28.500377589119868
99	2,2,3,3,3,2,2,3,3,3,3,3	-28.60133252954442
135	2,2,2,3,3,3,3,2,3,3,3,3	-28.630841428329717
139	2,2,3,2,3,3,3,2,3,3,3,3	-28.48843498996323
141	2,3,2,2,3,3,3,2,3,3,3,3	-28.477859658401496
147	2,2,3,3,2,3,3,2,3,3,3,3	-28.428709543399975
149	2,3,2,3,2,3,3,2,3,3,3,3	-28.423901065723232
153	2,3,3,2,2,3,3,2,3,3,3,3	-28.366604129358773
163	2,2,3,3,3,2,3,2,3,3,3,3	-28.551399059058408
165	2,3,2,3,3,2,3,2,3,3,3,3	-28.475465811223962
275	2,2,3,3,2,3,3,3,2,3,3,3	-28.371998743000482
291	2,2,3,3,3,2,3,3,2,3,3,3	-28.4310827793181
293	2,3,2,3,3,2,3,3,2,3,3,3	-28.378216878231775
297	2,3,3,2,3,2,3,3,2,3,3,3	-28.356248462732882
