pair,window_idx,max_abs_corr,mean_abs_corr,corr_at_0ms,corr_at_10ms
H1-L1,0,0.10078805309028055,0.053233008065861294,0.034224762356617214,0.1007667694842361
H1-L1,1,0.009673889159015688,0.005103989306278563,0.005200978464723242,-0.005077532166392778
H1-L1,2,0.006932419064864664,0.0032705296937892937,0.004440464720050491,-0.0017041022734699486
H1-L1,3,0.009952849972823434,0.004860513612341724,0.008123371478957316,0.0015277167915342792
H1-L1,4,0.00903600786098558,0.004416808170366906,0.004807730834367318,0.007132397827161812
H1-L1,5,0.009124154529485968,0.0046880240713205535,0.005265712676249481,0.007562071562138897
H1-L1,6,0.004451525920792819,0.0018596977415890484,0.0008716232409595901,0.004023310957343874
H1-L1,7,0.006534066889801928,0.003462174686470549,-0.003715238026118377,0.0038229712400365476
H1-L1,8,0.006101325047654013,0.003536562217890884,-0.0027433113968701657,0.004286150104719443
H1-L1,9,0.004074628794198551,0.0019906043949173024,-0.0014923140780139464,0.0023962040806648622
H1-L1,10,0.003961538586977513,0.0023563981731287782,-0.00275706421314652,0.002266326414413468
H1-L1,11,0.003006814487745578,0.0011764894136226008,0.0018693041792307357,-0.0005561068736149506
H1-L1,12,0.0077788104671311555,0.003988215832706597,0.0006829244620158805,-0.005699039504564479
H1-L1,13,0.006200435299459228,0.003040778857690428,0.0012483414981794235,-0.00447897066836777
H1-L1,14,0.007551135892991231,0.0030348583995905274,0.00029589782758778627,-0.006033780701656255
H1-L1,15,0.0031617694117906923,0.001355043134872399,0.0017516061136483396,-0.0015764368158077322
H1-L1,16,0.007637680654873163,0.0033378607965594965,0.0032327006851947263,0.0023341921104620207
H1-L1,17,0.005961750742049024,0.002912911075045318,0.00508742195648711,0.00023109050709252543
H1-L1,18,0.015573334352498013,0.008529385130950053,0.014790643963397574,0.0006672565402132221
H1-L1,19,0.011955455731084051,0.006918809361205953,0.011484723038440121,8.180074408788383e-05
H1-L1,20,0.01113573189017223,0.006841334451883246,0.010005698980464493,-0.0007682943332763545
H1-L1,21,0.010894259971249761,0.006103181608609705,0.008682923608434695,1.4492095254839994e-05
H1-L1,22,0.005318658834356775,0.0025510890388261956,0.001247049183358594,-0.0019260895685345627
H1-L1,23,0.007204096591584879,0.0042096348934575634,0.0032630044140196704,-0.003859252140167014
H1-L1,24,0.009202030652849635,0.005655966304222309,0.004565725619067402,-0.005176046837005718
H1-L1,25,0.007084021158993589,0.004203090727918788,0.006466551124781979,0.003883523042017438
H1-L1,26,0.016255908861166558,0.010409357496836054,0.008860672346251744,0.014440648646262131
H1-L1,27,0.013669435284585606,0.008774963215734897,0.004819052427098539,0.01263406080959347
H1-L1,28,0.008680040795691825,0.005669043536828667,0.0013440972953385364,0.007346349169995376
H1-L1,29,0.005509170305479679,0.0027424632377269216,0.0014948538252450092,-0.002117663637884795
H1-L1,30,0.015974656260691146,0.010154818014530546,-0.005745276414180473,-0.015136528409579951
H1-L1,31,0.01923787485322173,0.011195755308647718,-0.0039127119176236135,-0.015366290232005263
