case,rank,max Tr(B) under 0<=B<=A,vertex q^T B q = Tr(B)/12,V_4(vertex)-V_4(uniform),vertex beats uniform at g=4
max rank 6 D12 block,6,12.919163966777498,1.0765969972314582,0.331712655325084,False
top rank 7 D12 block,7,15.261346007923798,1.2717788339936498,-0.05865101819929919,True
