piece,B0,B1,B2,B3,minimum Bernstein coefficient
"numerator N(r), [0,1/2]",0.2674432442288398,0.2165601178913418,0.11299366641319972,0.06859895357133292,0.06859895357133292
"numerator N(r), [1/2,1]",0.06859895357133292,0.024204240729466135,0.038981266523874666,0.2247850947314779,0.024204240729466135
