fixed point,J eig1,J eig2,J eig3,J eig4,spectral radius,PF v3,PF v4,PF v5,PF v6
uniform,0.6077655998640352,0.6815629674152217,0.7122509087144008,0.7257533869304602,0.7257533869304602,-1.3412981167614e-15,-4.9960036108132044e-15,-2.0870034092127535e-14,0.9999999999999998
barrier saddle,0.34218042097945556,0.4180706005221559,0.5909627629714631,1.2491081011367626,1.2491081011367626,0.5286439605567839,0.5371489865415929,0.5348225785751433,0.382061956586117
localized,0.08115539395522083,0.10690224829789507,0.20348085590567835,0.6065047425601103,0.6065047425601103,0.48478454513110997,0.519711083787509,0.5726303096835055,0.408630471969736
