certified polynomial,q interval,Bernstein coefficients,conclusion
$(\sigma_*-f(q))\eta(q)$,"[qcrit, 1]","[0.017993, 0.030538, 0.037327, 0.000000]",>= 0; equality only at q=1
$(\sigma_*-g(q))\eta(q)$,"[qmin, qcrit]","[0.010316, 0.010091, 0.012743, 0.017993]",> 0
