rank,g_c full simplex / max-entropy completion,p_max full,g_c if p-u forced into active linear subspace,p_max linear,threshold reduction from completion,relative reduction
3,5.123427510652444,0.08334176314494929,5.123427559168192,0.08334501493293252,4.85157478635756e-08,9.469392765543915e-09
5,4.821627471663722,0.667432729941937,5.04205853448104,0.16666666806959224,0.22043106281731806,0.043718465644510054
7,3.718344898120375,0.8363652266419699,4.720213543188501,0.246538470524922,1.0018686450681256,0.2122507034695223
9,3.1219054294317785,0.8849948097001509,4.048630968750225,0.40989259167075764,0.9267255393184466,0.22889849592898762
11,2.9024964817477654,0.9048413651500391,2.9024964817478143,0.9048413421544101,4.884981308350689e-14,1.683027469307756e-14
