beta 0.216 mask 15 logZ -12.886235388237415 d2 1051.4245232557478 d3 -11653.049005046487 C 49.055262557020164 dC -89.469260332965803 skew 0.34180028420003733 sec 12.886036909 memo 91418 new_splits 38735718
beta 0.216 mask 23 logZ -12.79165150008602 d2 1070.5003000673023 d3 -11499.062367310748 C 49.945261999940051 dC -74.044124180175629 skew 0.32830858506578986 sec 3.5658656780000002 memo 123959 new_splits 10752497
beta 0.216 mask 39 logZ -12.781941952262986 d2 1069.6223000156569 d3 -11533.263862052932 C 49.904298029530487 dC -76.019125141177824 skew 0.32969059247171995 sec 4.2733468510000003 memo 161460 new_splits 12024511
beta 0.216 mask 71 logZ -12.829986575026096 d2 1055.1080036370513 d3 -11638.257760159671 C 49.227119017690264 dC -87.187896486803481 skew 0.33958038424708659 sec 3.1727236489999999 memo 190831 new_splits 8824226
beta 0.216 mask 135 logZ -12.860878159887296 d2 1047.4400106760113 d3 -11666.113802758977 C 48.869361138099976 dC -91.800120969485874 skew 0.34413787264831075 sec 0.88977902799999997 memo 196392 new_splits 1611071
beta 0.216 mask 27 logZ -12.743270762142899 d2 1081.7174389034008 d3 -11474.14727319032 C 50.468608829477063 dC -68.035881571698383 skew 0.32251481786603836 sec 0.27690132499999998 memo 196892 new_splits 308816
beta 0.216 mask 43 logZ -12.72681808540994 d2 1080.7861811442672 d3 -11408.890858527273 C 50.425160067466926 dC -65.393581641124968 skew 0.32109515366740071 sec 0.31697661900000002 memo 197859 new_splits 390559
beta 0.216 mask 75 logZ -12.723317861813761 d2 1083.7855219183039 d3 -11357.787303531542 C 50.565097310620381 dC -61.713578964860289 skew 0.31833083895717906 sec 0.89529192000000002 memo 203892 new_splits 1693703
beta 0.216 mask 139 logZ -12.728694654026908 d2 1081.4062888888584 d3 -11368.030163366348 C 50.454091814398573 dC -63.219298502033496 skew 0.31966999992546696 sec 1.3450763640000001 memo 214921 new_splits 2979409
beta 0.216 mask 267 logZ -12.716744447310202 d2 1083.4345729216038 d3 -11360.63028691709 C 50.548723434230347 dC -61.997831164270849 skew 0.31856524388483992 sec 0.22821132899999999 memo 215888 new_splits 390559
beta 0.216 mask 523 logZ -12.692522483585064 d2 1091.8871962023004 d3 -11305.21903880313 C 50.943089026014526 dC -55.76103071500512 skew 0.31333746187822642 sec 0.22903875400000001 memo 216855 new_splits 390559
beta 0.216 mask 1035 logZ -12.720892324329601 d2 1085.2473941052958 d3 -11357.062492467463 C 50.633302419376676 dC -61.048233395074078 skew 0.31766757517793887 sec 0.19494925299999999 memo 217350 new_splits 307927
beta 0.216 mask 51 logZ -12.739441454948091 d2 1076.5170200191715 d3 -11555.724161002785 C 50.225978086014457 dC -74.088513807463812 skew 0.32716423081496304 sec 0.24941071200000001 memo 217845 new_splits 307927
beta 0.216 mask 83 logZ -12.729448058880214 d2 1077.7080929096301 d3 -11441.567886004224 C 50.281548782791695 dC -68.247895152452884 skew 0.32339539056472771 sec 0.29188037700000002 memo 218812 new_splits 390559
beta 0.216 mask 147 logZ -12.682858267190117 d2 1094.8732395516163 d3 -11231.221155693755 C 51.082405864520204 dC -51.018614753749546 skew 0.31001393634413432 sec 0.30934381500000002 memo 219779 new_splits 390559
