atom,node,weight,contact_target,dual_value,dual_derivative
0,0.019826378685142128505192236573967037048374844,-0.626394136883480088063475548100716756350117442,-1.0,-0.99999999999999999999999999999999998951198365489567845462350703437180926018845009,1.6899318385908400260657293969620974344476773694535949251114809442550188280972348e-33
1,0.129422796249122242911218495724394324608269511,0.619954368078206096007919449763477852285687306,0,2.0815423749192744340353161627760175051804326820250867630185376063237208797407508e-33,5.3724792081840933361311015247275082506225657666969198668303005365369583845650022e-32
2,0.295044257239125347725824465068059881100565293,0.592116744335684425313454075663087647714558497,0,5.7099462064900667344941700736048586944031353899485010426304802640511923497914003e-32,9.2801758518332252544911514968250006412858717519850778476828437436066688039011482e-31
3,0.526692356352776608544555353148131253635135786,0.321132083364434028165985815284275110279181667,0,1.236900909383760109677141654393065477120739630857313420635247796713741455709163e-30,1.3558855699833778580212578223172807798475684068641392720656660371255557992228967e-29
4,0.814063214510439552508703464995440445677384608,0.141956488001828878615792951391644916287598663,0,1.7806517492441918400483939091483923793556271495346109214347665832662567582317048e-29,1.4254888805807312319328332240651941107133128740040307065127880787651003273575631e-28
5,0.941844848017407954795270027000465771021078903,-0.0809593308396336301963035081842364091526119349,-1.0,-0.99999999999999999999999999995288372801099218997714033694944495971456265851340325,3.4204011260970963912507190661276146853816411430814076134841426046172289780923551e-28
6,1.0,0.0190196871332889237646639583924134149450016984,0,7.1272000000000000000000000000000000000000000002494456057197087544061158047300919e-29,endpoint_not_stationary
