seed,minimum_eigenvalue,recursion_residual,offdiagonal_frobenius_norm,three_slot_half_distance,beats_ghz,ghz_half_distance
0,0.02499999999999999,0.0,0.12339178293117316,0.49259394507776605,True,0.473026320645779
1,0.024999999999999967,0.0,0.14771220943319557,0.48709643782603995,True,0.473026320645779
2,0.024999999999999946,0.0,0.1536924125825574,0.43227354805788176,False,0.473026320645779
3,0.025000000000000036,0.0,0.1797294301594247,0.447450161665475,False,0.473026320645779
4,0.02499999999999996,0.0,0.13536136696638765,0.439054826506852,False,0.473026320645779
5,0.02499999999999998,0.0,0.14570509101886578,0.46022142765398477,False,0.473026320645779
6,0.024999999999999967,0.0,0.1698897105652586,0.3904796685469686,False,0.473026320645779
7,0.025000000000000036,0.0,0.13109584316830714,0.49047223719020394,True,0.473026320645779
8,0.024999999999999998,0.0,0.17127799053274326,0.42118214747184557,False,0.473026320645779
9,0.025000000000000005,0.0,0.16238192017779363,0.39454846955846734,False,0.473026320645779
10,0.025000000000000026,0.0,0.14398530860575454,0.39966732830907514,False,0.473026320645779
11,0.024999999999999963,0.0,0.16348966513055116,0.4539744573020379,False,0.473026320645779
12,0.024999999999999967,0.0,0.11398640035555165,0.4447161371587712,False,0.473026320645779
13,0.02500000000000003,0.0,0.15003677079724306,0.4487796736134704,False,0.473026320645779
14,0.025000000000000085,0.0,0.16674795252407162,0.4536555893784916,False,0.473026320645779
15,0.024999999999999988,0.0,0.15525598086747636,0.4565963609185806,False,0.473026320645779
16,0.024999999999999994,0.0,0.14976588193209184,0.4714030716655361,False,0.473026320645779
17,0.024999999999999887,0.0,0.15102064008158875,0.4463164721222941,False,0.473026320645779
18,0.02499999999999993,0.0,0.17871562808562724,0.46699373290226653,False,0.473026320645779
19,0.024999999999999988,0.0,0.1776880140106837,0.47802950922683485,True,0.473026320645779
20,0.02500000000000005,0.0,0.1413208465577388,0.4572077698809572,False,0.473026320645779
21,0.024999999999999974,0.0,0.1850186623258295,0.4929886420607703,True,0.473026320645779
22,0.02499999999999997,0.0,0.17012609399958464,0.4683216397789075,False,0.473026320645779
23,0.024999999999999974,0.0,0.12071775827953378,0.45049471844785327,False,0.473026320645779
24,0.025000000000000015,0.0,0.15184582093682536,0.4825882088853679,True,0.473026320645779
25,0.025000000000000015,0.0,0.1540506315571586,0.45882556701079713,False,0.473026320645779
26,0.024999999999999998,0.0,0.13359839632290585,0.4439163571014011,False,0.473026320645779
27,0.02499999999999996,0.0,0.14556074669306823,0.4656453976168063,False,0.473026320645779
28,0.025000000000000033,0.0,0.1592248281864189,0.43184571866673027,False,0.473026320645779
29,0.024999999999999974,0.0,0.16102373870319278,0.4682634996295467,False,0.473026320645779
30,0.02500000000000001,0.0,0.18433592605999655,0.46504685719717603,False,0.473026320645779
31,0.025000000000000012,0.0,0.158360489806102,0.45280696814157956,False,0.473026320645779
