start,success,residual_norm,maximum_parameter_error,function_evaluations,within_recovery_tolerance
0,True,1.6290237941829398e-12,5.919533526549392e-11,11,True
1,True,8.643068537962059e-10,1.747851599391559e-08,10,True
2,True,1.202270606350169e-11,3.0081443759544246e-10,11,True
3,True,8.478935577894497e-11,1.6552778210610075e-09,10,True
4,True,5.079129037200317e-12,1.2715746164349007e-10,12,True
5,True,1.0109474832368089e-09,7.062349062329776e-09,10,True
6,True,1.3520375200059451e-11,4.913991661498196e-10,11,True
7,True,2.0361480334716486e-12,5.095739889077189e-11,11,True
