trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
0,0.21185319952835283,0.3717369944989437,0.5762936009432944,0.14783429861602662,0.2565260110021126,0.1325271326055497,0.04964665861925403,0.1325271326055497
1,0.15331711674193627,0.017109209857569085,0.6933657665161275,0.6696398857013701,0.9657815802848618,0.3427378292463801,0.29073042624689405,0.3427378292463801
2,0.23223505311028367,0.30189589328968686,0.5355298937794326,0.21218134244768677,0.3962082134206263,0.9869415536168176,0.7623825256226036,0.9869415536168176
3,0.40670693579696016,0.323217176197937,0.1865861284060797,0.06597044532384218,0.353565647604126,0.4523802696517504,0.4085848477015567,0.4523802696517504
4,0.31690774004556366,0.4976098999168283,0.3661845199088727,0.0017504353029807697,0.004780200166343396,0.27667554702275865,0.1981186153732487,0.27667554702275865
5,0.1373696803382311,0.03717611498847373,0.7252606393235378,0.6713358934753262,0.9256477700230525,0.20803458821616616,0.2072949336751711,0.20803458821616616
6,0.07796988987353279,0.4114888565335139,0.8440602202529344,0.14941747049832263,0.17702228693297217,0.8847940052821865,0.06839186687512518,0.8847940052821865
7,0.297650663885944,0.4287347780794132,0.40469867222811196,0.05768188137460645,0.14253044384117364,0.048788053866157026,0.020366242458452016,0.048788053866157026
8,0.1751777085988855,0.43706572058361876,0.649644582802229,0.0817698273908278,0.1258685588327625,0.20552667052714035,0.20515467015678873,0.20552667052714035
9,0.4755090438171397,0.350662867263022,0.04898191236572058,0.014629636697341278,0.29867426547395604,0.8843948639713753,0.8584329280078273,0.8843948639713752
10,0.16931497827608563,0.2831205280347288,0.6613700434478287,0.2868751715932271,0.4337589439305424,0.8549504720071779,0.640543981235773,0.854950472007178
11,0.43713751422399827,0.20312737470162928,0.12572497155200346,0.07464860474041249,0.5937452505967414,0.4973296507672258,0.16757000343087236,0.4973296507672258
12,0.4057132233069732,0.4825735276162342,0.18857355338605364,0.006572343640781308,0.034852944767531646,0.2007735526052299,0.11159363783461428,0.2007735526052299
13,0.3982377808459072,0.06872638974083745,0.20352443830818556,0.1755494385702788,0.8625472205183251,0.9105950834653499,0.7537371529805661,0.9105950834653499
14,0.25227303187192124,0.25473482603261455,0.4954539362561575,0.24303519173738475,0.4905303479347709,0.15148429055554935,0.1479877533796223,0.15148429055554932
15,0.3637886443683779,0.37664977423744167,0.27242271126324424,0.06720680587433883,0.24670045152511666,0.5094122826663405,0.3725234347633594,0.5094122826663406
16,0.3316619988576323,0.02228611787367979,0.3366760022847354,0.32166960014042156,0.9554277642526404,0.0363279124719923,0.03513308561029786,0.0363279124719923
17,0.11973171236933008,0.004765291225936885,0.7605365752613398,0.7532882187231459,0.9904694175481262,0.7330154052043806,0.30082318634546457,0.7330154052043806
18,0.021676045920019697,0.1123075241633884,0.9566479081599606,0.7417703920369011,0.7753849516732232,0.4427275114478213,0.3919382709638973,0.44272751144782124
19,0.05303203625953831,0.3615119288459973,0.8939359274809233,0.247598924664195,0.2769761423080054,0.5791722213742846,0.5133498462949018,0.5791722213742846
20,0.29754044290935644,0.1124049640819681,0.4049191141812871,0.31388927720998727,0.7751900718360638,0.46076375506059086,0.2496924225793271,0.4607637550605908
21,0.290948547271685,0.003653325395247764,0.41810290545663,0.4150479735319668,0.9926933492095045,0.7064125308957669,0.23420047061322471,0.7064125308957669
22,0.09992692192404061,0.08482872064821356,0.8001461561519188,0.6643954066360128,0.8303425587035729,0.10301269153065784,0.041249381083461545,0.10301269153065784
23,0.20776363481395063,0.23185602349680828,0.5844727303720987,0.3134456841593047,0.5362879530063834,0.23700270206689192,0.17784527190409433,0.2370027020668919
24,0.13429973998311792,0.29094849004720896,0.7314005200337641,0.30580076618662994,0.4181030199055821,0.5663780916986916,0.48590150653389497,0.5663780916986917
25,0.45274991794976593,0.4257970061026077,0.09450016410046813,0.01402439020009922,0.14840598779478464,0.8042201951705369,0.21883967274422955,0.8042201951705369
26,0.13954783730440434,0.4965232861057945,0.7209043253911913,0.0050127561689608064,0.006953427788411015,0.7705047744642126,0.40926549799448175,0.7705047744642126
27,0.13985695691132446,0.48314409202587205,0.720286086177351,0.024282151967300443,0.0337118159482559,0.935037647167546,0.43878044910778313,0.935037647167546
28,0.20985774244190605,0.2847201427558254,0.580284515116188,0.24984713515043602,0.4305597144883492,0.24059240472201948,0.1626300925788831,0.24059240472201948
29,0.11711930089844018,0.47146077672166986,0.7657613982031196,0.04370847104249021,0.05707844655666028,0.8255545269913767,0.7557925020907683,0.8255545269913767
30,0.22909740870461362,0.40103694067072093,0.5418051825907728,0.10723739685928306,0.19792611865855814,0.13456732740450442,0.04335088028582609,0.1345673274045044
31,0.29144311640886417,0.43255167359701213,0.41711376718227167,0.0562672510321795,0.13489665280597574,0.4409468992534237,0.34552599825243246,0.4409468992534237
32,0.14775783164501144,0.2126593688843187,0.7044843367099771,0.40485394784271395,0.5746812622313626,0.7852345167341251,0.06576794190903343,0.7852345167341251
33,0.47298695843917377,0.06158747265664927,0.05402608312165247,0.047371423287651204,0.8768250546867015,0.6100721523821051,0.04564031182170211,0.6100721523821052
34,0.4537350111050195,0.0588088714647621,0.09252997778996097,0.08164681064898675,0.8823822570704758,0.8201658127542375,0.8189146164749681,0.8201658127542375
35,0.2643788722027777,0.47221012113934085,0.47124225559444455,0.02619153039398678,0.05557975772131829,0.40602162217402704,0.3902940548103229,0.406021622174027
36,0.41942804054489347,0.26547450651028115,0.16114391891021307,0.07558471421056992,0.4690509869794377,0.5247382181636088,0.524522660712022,0.5247382181636088
37,0.4125002606875014,0.0002506157771018924,0.1749994786249972,0.17491176336434114,0.9994987684457962,0.638567382489681,0.6374362758471228,0.638567382489681
38,0.45647293170293846,0.44427145658879735,0.08705413659412309,0.009702800460620708,0.1114570868224053,0.9496244269323194,0.7061473620063751,0.9496244269323194
39,0.2277097174069508,0.3721075313602117,0.5445805651860984,0.1392955057098026,0.25578493727957663,0.9363916401713779,0.9361127150338381,0.9363916401713778
40,0.32489776235599604,0.3756952914792996,0.3502044752880079,0.08706413044664131,0.24860941704140083,0.3703736532560843,0.21590912958861844,0.3703736532560843
41,0.3820810232110887,0.21709425009089428,0.23583795357782256,0.1334398262279255,0.5658114998182114,0.16727064730493557,0.12836363917194346,0.16727064730493557
42,0.1680287600255617,0.029201505138284733,0.6639424799488767,0.6251662404693714,0.9415969897234305,0.2758265713302299,0.27537419955115694,0.2758265713302299
43,0.09431426602366362,0.298693732303533,0.8113714679526728,0.3266683238579123,0.40261253539293396,0.7406680783250404,0.4826702278366549,0.7406680783250403
44,0.41064765113227497,0.033857304136954314,0.17870469773545006,0.1666037791315868,0.9322853917260914,0.18758139697308818,0.15961522098306707,0.18758139697308818
45,0.17351024266196802,0.18391077565155595,0.652979514676064,0.412799576618761,0.6321784486968881,0.6681589857830579,0.19445919516186316,0.6681589857830579
46,0.17839904249035232,0.17965740408011777,0.6432019150192954,0.4120899423158411,0.6406851918397645,0.9527181510080058,0.9517625277404506,0.9527181510080058
47,0.07954301712325357,0.11773535609963592,0.8409139657534929,0.6429033553392038,0.7645292878007282,0.7305069193927614,0.13013840225849965,0.7305069193927614
48,0.3424342818580174,0.22889786626527836,0.3151314362839652,0.1708656095669409,0.5422042674694433,0.38158508272908,0.3815156218617936,0.38158508272908
49,0.36626380523335744,0.07259617967076504,0.2674723895332851,0.22863744223823068,0.8548076406584699,0.45944108740608824,0.45134067864614114,0.4594410874060883
50,0.09551273191002096,0.07333979856205303,0.8089745361799581,0.6903144771294213,0.853320402875894,0.24952772185156125,0.2172467498107151,0.24952772185156125
51,0.04909734800145581,0.04072012072007364,0.9018053039970884,0.82836206230756,0.9185597585598527,0.4511307648774585,0.1417675286346307,0.45113076487745857
52,0.2933343499545689,0.32687126423973206,0.41333130009086216,0.14311905086975776,0.3462574715205359,0.17161415953042947,0.0641774311172319,0.17161415953042947
53,0.17212081470749108,0.47432731600547756,0.6557583705850178,0.0336701548495842,0.05134536798904488,0.9117711313640315,0.5969128558974948,0.9117711313640315
