row_type,trial,negative_mass_before,negative_mass_after,contraction_ratio,monotone_holds,resource,free_operation,monotone,result
signed_measure_markov_pushforward,0,5.19045245867468,0.7150823707113266,0.1377687930685554,True,,,,
signed_measure_markov_pushforward,1,5.202772267442269,0.9914646211062166,0.190564677856567,True,,,,
signed_measure_markov_pushforward,2,5.562855998364913,1.1755742603404435,0.21132566808955316,True,,,,
signed_measure_markov_pushforward,3,6.739108392764984,0.9928425440881015,0.14732550453617926,True,,,,
signed_measure_markov_pushforward,4,6.615544699365826,0.8449835817768734,0.1277269854828242,True,,,,
signed_measure_markov_pushforward,5,5.278710703488757,0.6691112086239935,0.12675655973754552,True,,,,
signed_measure_markov_pushforward,6,4.581042232747014,0.8847278025093931,0.19312806072492103,True,,,,
signed_measure_markov_pushforward,7,6.523575717052902,1.803079409203088,0.2763943406818691,True,,,,
signed_measure_markov_pushforward,8,7.591168374817571,0.19886244033521486,0.02619655242991417,True,,,,
signed_measure_markov_pushforward,9,7.421191901966879,1.0303508697862311,0.1388390009848892,True,,,,
signed_measure_markov_pushforward,10,5.423765842237594,1.8632941326539907,0.34354251028751676,True,,,,
signed_measure_markov_pushforward,11,6.316188929291574,1.042680555768502,0.1650806471182377,True,,,,
signed_measure_markov_pushforward,12,4.857817902954167,0.45873790983457774,0.09443291597151204,True,,,,
signed_measure_markov_pushforward,13,6.227866409922201,1.4399662667931923,0.2312134159620133,True,,,,
signed_measure_markov_pushforward,14,5.216245768455652,0.8666915960933488,0.1661523698393425,True,,,,
signed_measure_markov_pushforward,15,5.484939466022256,0.5560695298624418,0.10138116077800766,True,,,,
signed_measure_markov_pushforward,16,4.6332226806232235,0.7715570102650886,0.16652707272021405,True,,,,
signed_measure_markov_pushforward,17,4.955756460011409,0.4642073862181083,0.0936703387189934,True,,,,
signed_measure_markov_pushforward,18,5.993665063762281,0.6809767428147843,0.11361608224189436,True,,,,
signed_measure_markov_pushforward,19,3.072505776102299,0.2094613577976504,0.06817281172482209,True,,,,
signed_measure_markov_pushforward,20,5.635482485294412,0.45162552166596737,0.08013963717294266,True,,,,
signed_measure_markov_pushforward,21,6.448589100312421,1.010944776460573,0.15676991675769741,True,,,,
