uses,coherence,clock_half_width,nominal_time,first_threshold,worst_case_feasible_discrimination,lower_endpoint,upper_endpoint
1,0.5,0.001,0.7186370140053893,0.7196370140053893,0.4999952355576252,0.7176370140053893,0.7196370140053893
1,0.75,0.001,0.7186370140053893,0.7196370140053893,0.7499928533364378,0.7176370140053893,0.7196370140053893
1,1.0,0.001,0.7186370140053893,0.7196370140053893,0.9999904711152504,0.7176370140053893,0.7196370140053893
2,0.5,0.001,0.35881850700269463,0.35981850700269463,0.37354041519593884,0.35781850700269463,0.35981850700269463
2,0.75,0.001,0.35881850700269463,0.35981850700269463,0.5982390463660462,0.35781850700269463,0.35981850700269463
2,1.0,0.001,0.35881850700269463,0.35981850700269463,0.9999618846426002,0.35781850700269463,0.35981850700269463
3,0.5,0.001,0.2388790046684631,0.2398790046684631,0.36752736611013925,0.2378790046684631,0.2398790046684631
3,0.75,0.001,0.2388790046684631,0.2398790046684631,0.5527148380448637,0.2378790046684631,0.2398790046684631
3,1.0,0.001,0.2388790046684631,0.2398790046684631,0.9999142411268442,0.2378790046684631,0.2398790046684631
4,0.5,0.001,0.17890925350134732,0.17990925350134732,0.304781548317301,0.17790925350134731,0.17990925350134732
4,0.75,0.001,0.17890925350134732,0.17990925350134732,0.4831632685174313,0.17790925350134731,0.17990925350134732
4,1.0,0.001,0.17890925350134732,0.17990925350134732,0.9998475414759616,0.17790925350134731,0.17990925350134732
