scope,uses,coherence,theta,primal_success,dual_success,gap,certificate,status
one_slot_exact,1,0.8,0.39269908169872414,0.653073372946036,0.6530733729460358,-1.1102230246251565e-16,(1 + (4/5)*sin(pi/8))/2,Proven
two_slot_comb_instance,2,0.8,0.39269908169872414,0.7262741699796953,0.8061467458920719,0.07987257591237659,finite comb instance exported; no installed local SDP solver,Open / locally blocked
