dynamics,nominal_time,preparation_vertex,robust_tv_5pct,median_tv,minimum_tv,maximum_tv,optimized_legacy_scale
heat,0.03,0,0.02092469891113367,0.021515232371412358,0.020732372253594783,0.02239865794099953,0.09405502520820334
heat,0.03,1,0.02090789787262001,0.021525369773108538,0.020799600367611165,0.02253479448788569,0.09405502520820334
heat,0.03,2,0.02105660265753039,0.021485368358190725,0.020881840234660543,0.02223608177003244,0.09405502520820334
heat,0.03,3,0.02097460196514526,0.021470736892319795,0.020935826460126063,0.02226639144138973,0.09405502520820334
heat,0.03,4,0.020990641672279056,0.021484203529037182,0.020711194573466745,0.022157939469400603,0.09405502520820334
heat,0.03,5,0.020967699301213706,0.02148334112146083,0.020897647422023553,0.022282533061098293,0.09405502520820334
heat,0.03,6,0.02100576343167069,0.021531788513567948,0.02083487480508258,0.022634337476869246,0.09405502520820334
heat,0.03,7,0.021024879965818408,0.021481157958107108,0.020878998786787378,0.02217176953191352,0.09405502520820334
heat,0.03,8,0.020937004279180774,0.021519873086981382,0.0208572087236991,0.022375658006308623,0.09405502520820334
heat,0.03,9,0.020985913638179313,0.021432342604557078,0.020783801783927726,0.022188420707347462,0.09405502520820334
heat,0.03,10,0.02109005991172773,0.021551131602809956,0.02089007868082687,0.022392576429068407,0.09405502520820334
heat,0.03,11,0.02094885940348435,0.02145743983410792,0.020760358916565122,0.02226915806112223,0.09405502520820334
heat,0.03665032046990375,0,0.02530607889266112,0.02601832236010001,0.025073644786090504,0.027085267277034628,0.09405502520820334
heat,0.03665032046990375,1,0.02528534501386808,0.026031607800852608,0.02515501143500171,0.027249966885513274,0.09405502520820334
heat,0.03665032046990375,2,0.025464855530733854,0.02598206619268456,0.025253161998257338,0.02689072905117961,0.09405502520820334
heat,0.03665032046990375,3,0.025366725065364987,0.025963547777926192,0.025318189601786997,0.02692520709925182,0.09405502520820334
heat,0.03665032046990375,4,0.025385624103723123,0.02597894468682791,0.025047462129403782,0.026793847721556973,0.09405502520820334
heat,0.03665032046990375,5,0.025356741531437205,0.025978680000007928,0.0252719723416056,0.02694724024723886,0.09405502520820334
heat,0.03665032046990375,6,0.025402309174515532,0.026038743554924644,0.025196517023373208,0.027368630267331055,0.09405502520820334
heat,0.03665032046990375,7,0.02542546223463542,0.025976901418111167,0.025249542042699955,0.026812192935540928,0.09405502520820334
heat,0.03665032046990375,8,0.025320725788053326,0.026024502413092253,0.025222712837495827,0.027057212442239055,0.09405502520820334
heat,0.03665032046990375,9,0.025379992629002205,0.025917081065877874,0.025133266899962273,0.02683089540504623,0.09405502520820334
heat,0.03665032046990375,10,0.025504057730708178,0.02606136248261231,0.025263155634303494,0.027077338086998227,0.09405502520820334
heat,0.03665032046990375,11,0.025333935578953613,0.025947262725197314,0.02510656989426046,0.026928278669505423,0.09405502520820334
heat,0.04477486635155489,0,0.03053661248445148,0.03139321174737936,0.030256376142371463,0.03267853643450988,0.09405502520820334
heat,0.04477486635155489,1,0.03051098155549025,0.03141075012738982,0.03035465021891047,0.03287736146560115,0.09405502520820334
heat,0.04477486635155489,2,0.03072710602479377,0.03134925670651317,0.030471161007802266,0.032446848207947965,0.09405502520820334
heat,0.04477486635155489,3,0.030610224605047028,0.03132569591794768,0.030549242814632425,0.032485246407448154,0.09405502520820334
heat,0.04477486635155489,4,0.030632292790677123,0.03134296821540136,0.030223942556928358,0.032326443663403204,0.09405502520820334
heat,0.04477486635155489,5,0.030595771936137918,0.03134379452377466,0.030493406743589937,0.03251552988703002,0.09405502520820334
heat,0.04477486635155489,6,0.030650067265076537,0.031419022399706106,0.030403032898708014,0.033018017306689997,0.09405502520820334
heat,0.04477486635155489,7,0.030678056533979613,0.03134291782004425,0.03046652154987017,0.032350964465572604,0.09405502520820334
heat,0.04477486635155489,8,0.030553938268258543,0.03140150340968202,0.030433443443918504,0.032644329581975544,0.09405502520820334
heat,0.04477486635155489,9,0.030625626507449693,0.03126957623638944,0.030324525868382718,0.03237142053369498,0.09405502520820334
heat,0.04477486635155489,10,0.030772555012349965,0.03144459380157098,0.03048326272843725,0.0326681218941444,0.09405502520820334
heat,0.04477486635155489,11,0.03056821932817214,0.031305748045756615,0.030294747730663034,0.03248854998185399,0.09405502520820334
heat,0.05470044002605323,0,0.03674803380904072,0.03777467510079692,0.036411145238249384,0.03931829466726486,0.09405502520820334
heat,0.05470044002605323,1,0.036716290418859765,0.03779798809244998,0.03652953853473609,0.03955768253590776,0.09405502520820334
heat,0.05470044002605323,2,0.036975655744499424,0.037721477454882905,0.03666692274097663,0.0390439654559193,0.09405502520820334
heat,0.05470044002605323,3,0.036837248381944805,0.03769133629642488,0.03676032053612577,0.03908546920703014,0.09405502520820334
heat,0.05470044002605323,4,0.03686271958965678,0.03771020801867817,0.036370884157601244,0.0388939354330239,0.09405502520820334
heat,0.05470044002605323,5,0.03681632899700562,0.03771288380917124,0.036693027391127446,0.03912733533159087,0.09405502520820334
heat,0.05470044002605323,6,0.03688064802259575,0.037807452167087884,0.03658526228300054,0.0397232331201624,0.09405502520820334
heat,0.05470044002605323,7,0.03691440673069493,0.03771369366971351,0.03666093945323279,0.03892694257327978,0.09405502520820334
heat,0.05470044002605323,8,0.03676836797379248,0.03778587530371429,0.03662009683319426,0.03927660852885903,0.09405502520820334
