uses,coherence,threshold_fraction,theta,product_lower,ghz_lower,optimized_symmetric_lower,hybrid_adaptive_upper,optimized_sector_probabilities,certificate_gap
1,0.4,0.2,0.3141592653589793,0.123606797749979,0.12360679774997896,0.123606797749979,0.12360679774997896,"[0.5, 0.5]",-4.163336342344337e-17
1,0.4,0.4,0.6283185307179586,0.23511410091698934,0.23511410091698925,0.23511410091698934,0.23511410091698925,"[0.5, 0.5]",-8.326672684688674e-17
1,0.4,0.6,0.9424777960769379,0.3236067977499791,0.323606797749979,0.3236067977499791,0.323606797749979,"[0.5, 0.5]",-5.551115123125783e-17
1,0.4,0.8,1.2566370614359172,0.38042260651806153,0.3804226065180614,0.38042260651806153,0.3804226065180614,"[0.5, 0.5]",-1.1102230246251565e-16
1,0.6,0.2,0.3141592653589793,0.18541019662496847,0.18541019662496844,0.18541019662496847,0.18541019662496844,"[0.5, 0.5]",-2.7755575615628914e-17
1,0.6,0.4,0.6283185307179586,0.35267115137548394,0.3526711513754839,0.35267115137548394,0.3526711513754839,"[0.5, 0.5]",-5.551115123125783e-17
1,0.6,0.6,0.9424777960769379,0.48541019662496854,0.4854101966249684,0.48541019662496854,0.4854101966249684,"[0.5, 0.5]",-1.1102230246251565e-16
1,0.6,0.8,1.2566370614359172,0.5706339097770922,0.570633909777092,0.5706339097770922,0.570633909777092,"[0.5, 0.5]",-1.1102230246251565e-16
1,0.8,0.2,0.3141592653589793,0.247213595499958,0.24721359549995792,0.247213595499958,0.24721359549995792,"[0.5, 0.5]",-8.326672684688674e-17
1,0.8,0.4,0.6283185307179586,0.4702282018339787,0.4702282018339785,0.4702282018339787,0.4702282018339785,"[0.5, 0.5]",-1.6653345369377348e-16
1,0.8,0.6,0.9424777960769379,0.6472135954999582,0.647213595499958,0.6472135954999582,0.647213595499958,"[0.5, 0.5]",-1.1102230246251565e-16
1,0.8,0.8,1.2566370614359172,0.7608452130361231,0.7608452130361228,0.7608452130361231,0.7608452130361228,"[0.5, 0.5]",-2.220446049250313e-16
1,1.0,0.2,0.3141592653589793,0.30901699437494745,0.3090169943749474,0.30901699437494745,0.3090169943749474,"[0.5, 0.5]",-5.551115123125783e-17
1,1.0,0.4,0.6283185307179586,0.5877852522924732,0.5877852522924731,0.5877852522924732,0.5877852522924731,"[0.5, 0.5]",-1.1102230246251565e-16
1,1.0,0.6,0.9424777960769379,0.8090169943749477,0.8090169943749475,0.8090169943749477,0.8090169943749475,"[0.5, 0.5]",-2.220446049250313e-16
1,1.0,0.8,1.2566370614359172,0.9510565162951538,0.9510565162951535,0.9510565162951538,0.9510565162951535,"[0.5, 0.5]",-2.220446049250313e-16
2,0.4,0.2,0.15707963267948966,0.06728019258584123,0.049442719099991594,0.06811503065260306,0.1251475720321847,"[0.2962382971633862, 0.407523602125613, 0.2962381007110008]",0.05703254137958165
2,0.4,0.4,0.3141592653589793,0.13224895488435578,0.09404564036679572,0.13365602545749103,0.24721359549995792,"[0.29230240239154764, 0.4153952022802234, 0.2923023953282289]",0.11355757004246689
2,0.4,0.6,0.47123889803846897,0.19278494287314557,0.1294427190999916,0.19435929300665186,0.3631923997916374,"[0.2863763275939992, 0.42724733640306434, 0.2863763360029365]",0.16883310678498556
2,0.4,0.8,0.6283185307179586,0.2471183822219708,0.1521690426072246,0.24848464966356595,0.4702282018339785,"[0.27924267225847194, 0.44151465248439187, 0.27924267525713625]",0.22174355217041256
2,0.6,0.2,0.15707963267948966,0.10910431594578746,0.11124611797498106,0.11652657512582526,0.18772135804827703,"[0.3853209208903585, 0.22935816039672333, 0.3853209187129182]",0.07119478292245177
2,0.6,0.4,0.3141592653589793,0.21347333721951167,0.21160269082529032,0.2257783310698895,0.3708203932499369,"[0.3707125579428403, 0.25857488709639065, 0.37071255496076905]",0.14504206218004737
2,0.6,0.6,0.47123889803846897,0.3088765609369364,0.29124611797498107,0.32232092547976465,0.5447885996874561,"[0.35004266298206804, 0.2999146752035478, 0.3500426618143842]",0.22246767420769142
2,0.6,0.8,0.6283185307179586,0.39202425476159464,0.34238034586625526,0.4033816583489892,0.7053423027509678,"[0.3270637692484428, 0.3458724659041097, 0.32706376484744754]",0.30196064440197856
2,0.8,0.2,0.15707963267948966,0.15949998330267484,0.19777087639996638,0.1977708763999664,0.2502951440643694,"[0.5, 0.0, 0.5]",0.05252426766440302
2,0.8,0.4,0.3141592653589793,0.3106330498965292,0.3761825614671829,0.37618256146718293,0.49442719099991583,"[0.5, 0.0, 0.5]",0.1182446295327329
2,0.8,0.6,0.47123889803846897,0.44601613129841605,0.5177708763999664,0.5177708763999666,0.7263847995832748,"[0.5, 0.0, 0.5]",0.2086139231833083
2,0.8,0.8,0.6283185307179586,0.5601216224285709,0.6086761704288984,0.6168474775597763,0.940456403667957,"[0.4302077682044824, 0.13958446910696126, 0.4302077626885563]",0.3236089261081807
2,1.0,0.2,0.15707963267948966,0.2198740947805239,0.3090169943749474,0.30901699437494745,0.31286893008046174,"[0.5, 0.0, 0.5]",0.0038519357055142867
2,1.0,0.4,0.3141592653589793,0.4264555997002007,0.5877852522924731,0.5877852522924732,0.6180339887498948,"[0.5, 0.0, 0.5]",0.030248736457421543
2,1.0,0.6,0.47123889803846897,0.6080579726889797,0.8090169943749475,0.8090169943749477,0.9079809994790935,"[0.5, 0.0, 0.5]",0.09896400510414582
2,1.0,0.8,0.6283185307179586,0.7560546455841632,0.9510565162951535,0.9510565162951538,1.0,"[0.5, 0.0, 0.5]",0.04894348370484625
3,0.4,0.2,0.10471975511965977,0.06304294929377174,0.019777087639996638,0.06327154772403587,0.12543415592118418,"[0.1514769200685041, 0.34852312746770153, 0.34852305166681796, 0.15147690079697648]",0.062162608197148306
3,0.4,0.4,0.20943951023931953,0.1251357472778669,0.03761825614671829,0.12555241748719842,0.2494940289813112,"[0.15033841653550048, 0.34966158685102317, 0.34966158604686187, 0.15033841056661454]",0.12394161149411279
3,0.4,0.6,0.3141592653589793,0.18536816549727425,0.05177708763999665,0.18590299621832862,0.37082039324993693,"[0.14854199409857258, 0.35145800190494864, 0.35145800941146854, 0.14854199458501025]",0.1849173970316083
3,0.4,0.8,0.41887902047863906,0.24290553629378886,0.06086761704288984,0.24347745351945022,0.48808397169096024,"[0.146223181629876, 0.3537768140726505, 0.3537768167972281, 0.1462231875002455]",0.24460651817151002
3,0.6,0.2,0.10471975511965977,0.09644151038084792,0.06674767078498862,0.09943658474904107,0.1881512338817762,"[0.20998283526819309, 0.2900171673245643, 0.29001716940155764, 0.20998282800568505]",0.08871464913273513
3,0.6,0.4,0.20943951023931953,0.1908101293723915,0.12696161449517418,0.19616762934284557,0.37424104347196674,"[0.20501754139289644, 0.2949824517151734, 0.29498245646343996, 0.20501755042849018]",0.17807341412912117
3,0.6,0.6,0.3141592653589793,0.281177754223403,0.17474767078498862,0.2878484932495078,0.5562305898749053,"[0.19748952236066777, 0.3025104773953703, 0.3025104795253731, 0.19748952071858888]",0.26838209662539747
3,0.6,0.8,0.41887902047863906,0.3658881473071333,0.20542820751975313,0.37273489553857,0.7321259575364402,"[0.18829001916274557, 0.31170998131388394, 0.3117099918203893, 0.1882900077029813]",0.3593910619978702
3,0.8,0.2,0.10471975511965977,0.13430489525283046,0.1582167011199731,0.1603697171303084,0.25086831184236835,"[0.4100879074126632, 0.08991208516137751, 0.08991210270698198, 0.4100879047189773]",0.09049859471205995
3,0.8,0.4,0.20943951023931953,0.2644157808613956,0.30094604917374634,0.30924768936408387,0.4989880579626224,"[0.3802834318838896, 0.11971656863321288, 0.11971656172636977, 0.38028343775652773]",0.18974036859853854
3,0.8,0.6,0.3141592653589793,0.3865114464868315,0.4142167011199732,0.4392166105669541,0.7416407864998739,"[0.34036078355188915, 0.15963922240276637, 0.1596392026878631, 0.34036079135748143]",0.30242417593291976
3,0.8,0.8,0.41887902047863906,0.49747284803624525,0.48694093634311875,0.5480086142555625,0.9761679433819205,"[0.2985565558656168, 0.2014434487617435, 0.20144340388376056, 0.29855659148887914]",0.428159329126358
3,1.0,0.2,0.10471975511965977,0.18006042811740686,0.3090169943749474,0.30901699437494745,0.31358538980296036,"[0.5000000030893617, 5.551115123125783e-17, 0.0, 0.4999999969106383]",0.004568395428012906
3,1.0,0.4,0.20943951023931953,0.35235890362459676,0.5877852522924731,0.5877852522924732,0.623735072453278,"[0.5, 0.0, 0.0, 0.5]",0.035949820160804724
3,1.0,0.6,0.3141592653589793,0.5098915360306133,0.8090169943749475,0.8090169943749477,0.9270509831248421,"[0.5, 0.0, 0.0, 0.5]",0.11803398874989446
3,1.0,0.8,0.41887902047863906,0.647090330793304,0.9510565162951535,0.9510565162951538,1.0,"[0.5, 0.0, 0.0, 0.5]",0.04894348370484625
4,0.4,0.2,0.07853981633974483,0.0502714535123039,0.007910835055998655,0.050912587130542544,0.12553455316455192,"[0.10411810509622292, 0.24884079630665146, 0.2940824010387989, 0.24884057159686543, 0.1041181259614614]",0.07462196603400938
4,0.4,0.4,0.15707963267948966,0.10001703754547472,0.015047302458687316,0.10125136776214773,0.2502951440643694,"[0.10352489603139538, 0.2487693525278341, 0.29541148485617147, 0.24876936123639734, 0.10352490534820182]",0.1490437763022217
4,0.4,0.6,0.23561944901923448,0.14872714528274072,0.020710835055998657,0.1504645265582331,0.37351258216944866,"[0.10255284408739967, 0.2486612412258378, 0.29757183947978316, 0.24866123720852326, 0.10255283799845612]",0.22304805561121555
4,0.4,0.8,0.3141592653589793,0.19592364783958088,0.024347046817155934,0.19804211752832107,0.49442719099991583,"[0.10122377471269556, 0.24853161701185897, 0.3004892344494613, 0.24853160537973812, 0.10122376844624602]",0.29638507347159476
4,0.6,0.2,0.07853981633974483,0.0802568430896187,0.04004860247099318,0.08435749215370622,0.18830182974682785,"[0.14032999050704464, 0.2601389786940794, 0.19906203705878475, 0.2601390226075514, 0.14032997113254003]",0.10394433759312163
4,0.6,0.4,0.15707963267948966,0.15926511886982037,0.07617696869710451,0.16701934035857113,0.37544271609655405,"[0.13833328775343542, 0.2596665713180786, 0.2040002667561666, 0.25966657470916876, 0.13833329946315065]",0.20842337573798292
4,0.6,0.6,0.23561944901923448,0.23583806486020162,0.10484860247099319,0.2464415730789419,0.560268873254173,"[0.13523032860678805, 0.2588522447454366, 0.211834644324686, 0.2588525396034516, 0.13523024271963782]",0.3138273001752311
4,0.6,0.8,0.3141592653589793,0.30890708961621827,0.12325692451185188,0.3213503310271451,0.7416407864998737,"[0.13130221025676203, 0.2576888760064995, 0.22201800508324207, 0.2576887696873903, 0.13130213896610607]",0.42029045547272864
4,0.8,0.2,0.07853981633974483,0.11510666617355036,0.12657336089597848,0.1392139589553974,0.25106910632910384,"[0.2651745577280027, 0.23482544116753834, 0.0, 0.23482541531373308, 0.2651745857907259]",0.11185514737370644
4,0.8,0.4,0.15707963267948966,0.2275484967888279,0.24075683933899705,0.2714771306770332,0.5005902881287388,"[0.24770536820933198, 0.2522946305598988, 1.8899422635611579e-19, 0.25229462818750503, 0.24770537304326426]",0.22911315745170563
4,0.8,0.6,0.23561944901923448,0.3348396866793129,0.3313733608959785,0.3914282556031248,0.7470251643388973,"[0.22482528073695673, 0.268767732363377, 0.012813968809603518, 0.2687677408929583, 0.2248252771971043]",0.35559690873577254
4,0.8,0.8,0.3141592653589793,0.4348351077798976,0.38955274907449494,0.4962143111559977,0.9888543819998317,"[0.201606504809087, 0.2760868808946942, 0.044613283738916355, 0.27608692360510223, 0.20160640695220017]",0.492640070843834
4,1.0,0.2,0.07853981633974483,0.15619502239103245,0.3090169943749474,0.30901699437494745,0.3138363829113798,"[0.5, 0.0, 0.0, 0.0, 0.5]",0.004819388536432323
4,1.0,0.4,0.15707963267948966,0.3071677604575662,0.5877852522924731,0.5877852522924732,0.6257378601609235,"[0.5, 0.0, 0.0, 0.0, 0.5]",0.03795260786845023
4,1.0,0.6,0.23561944901923448,0.4481140066234824,0.8090169943749475,0.8090169943749477,0.9337814554236216,"[0.5, 0.0, 0.0, 0.0, 0.5]",0.12476446104867389
4,1.0,0.8,0.3141592653589793,0.5750253080155943,0.9510565162951535,0.9510565162951538,1.0,"[0.4999999953892778, 0.0, 3.2959746043559335e-17, 0.0, 0.5000000046107222]",0.04894348370484625
