context_size,alpha_mean_coarse_nonzero_eigenvalue,bare_rank,completed_rank,minimum_completed_eigenvalue,row_sum_residual,bare_best_fit_residual,completed_best_fit_residual,completed_projective_fingerprint_distance
6,1.5813457542732323,5,11,1.659689062344285e-16,2.1065000811460206e-15,0.7018680792267544,0.2724336691827167,0.45687364430846533
3,1.4035958634839671,2,11,-5.551115123126048e-17,2.2093159237770886e-15,0.8690510101895691,0.29533450416642737,1.0926296144790089
