N_events,alpha_mean,alpha_std
40,0.04494869800834564,0.028609244886743695
50,0.04340915306568921,0.02842407443314949
60,0.042078186897675465,0.028223181556229066
70,0.0409112556000355,0.028015653389513593
80,0.03969776308652466,0.027768607168635114
