apparatus_resolution_epsilon,conditional_rho,inside_P389_outer_domain,law_defect
0.02,0.04199387175513657,True,0.0
0.05,0.10498467938784144,True,0.0
0.1,0.20996935877568287,True,0.0
0.2,0.41993871755136575,True,0.0
