distance,legacy_attenuation,completion_atom,completed_attenuation,strict_attenuation,attenuation_identity_defect,phase_unrepaired_completed_kernel,strict_kernel,full_kernel_residual
0,1.0,1.0,1.0,1.0,0.0,0.8660254037844387,0.9868259031903286,-0.12080049940588988
1,0.9900990099009901,0.505,0.5,0.5,0.0,0.12940952255126048,0.4699856726450201,-0.34057615009375963
2,0.9803921568627451,0.22756670546834754,0.22310461320426228,0.22310461320426228,0.0,-0.11155230660213108,0.1920435516901028,-0.3035958582922339
3,0.970873786407767,0.1252329263149802,0.12158536535434972,0.1215853653543497,1.3877787807814457e-17,-0.11744244449455848,0.09142861427792495,-0.20887105877248344
4,0.9615384615384615,0.07923367305085117,0.0761862240873569,0.0761862240873569,0.0,-0.06597920547806499,0.0470291687456504,-0.11300837422371539
5,0.9523809523809523,0.05491777827620198,0.052302645977335215,0.052302645977335215,0.0,-0.013536920888189093,0.02413122336363006,-0.03766814425181915
6,0.9433962264150942,0.04052332235066948,0.03822954938742403,0.03822954938742404,-6.938893903907228e-18,0.019114774693712023,0.011070817321442113,0.00804395737226991
