h,fisher_rank,minimum_fisher_eigenvalue,log_determinant_score,gradient_cramer_rao_sd
0.1,5,258.26337422492554,56.870582390324785,0.0622232893041235
0.17083333333333334,5,740.7417660790194,57.9382073637344,0.036731086543858996
0.24166666666666667,5,1442.368415812542,58.626685404866954,0.026298596335238556
0.3125,5,2320.8923536959715,59.13357262275124,0.02068746225289486
0.3833333333333333,5,3319.2434415427106,59.53291064728593,0.017227581190724976
0.4541666666666666,5,4368.216626418031,59.86054774345544,0.01491536632052397
0.525,5,5393.5109795088965,60.13651375227724,0.01328963865639785
0.5958333333333333,5,6327.2824915422825,60.373064563860765,0.01210936460342829
0.6666666666666666,5,7120.332786206716,60.57816453761626,0.011236874751309488
0.7374999999999999,5,7748.40769694297,60.757192481346486,0.010588426574963557
0.8083333333333332,5,8209.4334376239,60.91385301077017,0.010110816932469499
0.8791666666666667,5,8515.006344349093,61.050693332348715,0.009769373075833618
0.95,5,8681.78937123866,61.169406572284174,0.009541411016914698
1.0208333333333333,5,8725.895104865052,61.27101013710827,0.009412544605374945
1.0916666666666668,5,8660.311792217815,61.35594445559852,0.009374606560588142
1.1625,5,8494.263701212894,61.42411547409054,0.009424576542215334
1.2333333333333334,5,8233.517998964398,61.47489173175369,0.009564237490759004
1.3041666666666667,5,7881.0882308538285,61.507058342149314,0.009800482073923701
1.375,5,7438.126216719542,61.51872260860421,0.010146360999389543
1.4458333333333333,5,6904.993279786242,61.50715659540116,0.010623177685606992
1.5166666666666666,5,6282.60357644813,61.468546943449205,0.011264295409657232
1.5875000000000001,5,5574.174213052912,61.39759396528802,0.012122052741116846
1.6583333333333334,5,4787.505382906789,61.28684339241909,0.0132808280900291
1.7291666666666667,5,3937.8273927817418,61.125501110870424,0.0148834035186588
1.8,5,3051.060545593893,60.89714865684561,0.01718932011530617
