tolerance,local_coarea_probability,importance_probability,importance_event_count,importance_event_ess,ratio_importance_to_local
0.015,6.865659808634375e-09,7.652814602114154e-09,170,144.9392672099598,1.1146510044802742
0.02,2.8931833926097127e-08,3.014153726057376e-08,584,369.30465537885857,1.0418121899070303
0.025,8.829295021391947e-08,1.0107549812317097e-07,1418,387.04163732807024,1.1447742756163597
0.03,2.197011138763e-07,2.8516817916615686e-07,2952,506.79267051285103,1.2979824004293272
