q_minus,classical_sign_bias,measure_prepare_incoherent_l1,coherent_encoder_l1_with_reference,after_label_swap_signed_coherence,polarity_is_conventional_without_orientation
0.05,0.9,0.0,0.9,-0.9,True
0.1,0.8,0.0,0.8,-0.8,True
0.15000000000000002,0.7,0.0,0.7,-0.7,True
0.2,0.6,0.0,0.6,-0.6,True
0.25,0.5,0.0,0.5,-0.5,True
0.3,0.4,0.0,0.4,-0.4,True
0.35000000000000003,0.29999999999999993,0.0,0.29999999999999993,-0.29999999999999993,True
0.4,0.19999999999999996,0.0,0.19999999999999996,-0.19999999999999996,True
0.45,0.09999999999999998,0.0,0.09999999999999998,-0.09999999999999998,True
