uses,time_per_use,adaptive_angle_upper_bound,parallel_achieved_half_diamond,full_adaptive_optimum_half_diamond,perfect
1,0.0,0.0,0.0,0.0,False
1,0.008995462675067366,0.019634954084936207,0.0196336924606283,0.0196336924606283,False
1,0.01799092535013473,0.039269908169872414,0.03925981575906861,0.03925981575906861,False
1,0.026986388025202097,0.05890486225480862,0.05887080365118903,0.05887080365118903,False
1,0.03598185070026946,0.07853981633974483,0.07845909572784494,0.07845909572784494,False
1,0.04497731337533683,0.09817477042468103,0.0980171403295606,0.0980171403295606,False
1,0.053972776050404195,0.11780972450961724,0.11753739745783764,0.11753739745783764,False
1,0.06296823872547155,0.13744467859455342,0.137012341681968,0.137012341681968,False
1,0.07196370140053893,0.15707963267948966,0.15643446504023087,0.15643446504023087,False
1,0.0809591640756063,0.17671458676442586,0.1757962799343545,0.1757962799343545,False
1,0.08995462675067366,0.19634954084936207,0.19509032201612825,0.19509032201612825,False
1,0.09895008942574102,0.21598449493429825,0.21430915306505072,0.21430915306505072,False
1,0.10794555210080839,0.23561944901923448,0.2334453638559054,0.2334453638559054,False
1,0.11694101477587576,0.2552544031041707,0.25249157701515795,0.25249157701515795,False
1,0.1259364774509431,0.27488935718910684,0.2714404498650742,0.2714404498650742,False
1,0.13493194012601048,0.2945243112740431,0.29028467725446233,0.29028467725446233,False
1,0.14392740280107785,0.3141592653589793,0.3090169943749474,0.3090169943749474,False
1,0.15292286547614523,0.3337942194439155,0.3276301795616935,0.3276301795616935,False
1,0.1619183281512126,0.3534291735288517,0.34611705707749296,0.34611705707749296,False
1,0.17091379082627994,0.3730641276137879,0.3644704998791496,0.3644704998791496,False
1,0.17990925350134732,0.39269908169872414,0.3826834323650898,0.3826834323650898,False
1,0.1889047161764147,0.41233403578366035,0.40074883310314097,0.40074883310314097,False
1,0.19790017885148203,0.4319689898685965,0.418659737537428,0.418659737537428,False
1,0.2068956415265494,0.4516039439535327,0.436409240673342,0.436409240673342,False
1,0.21589110420161678,0.47123889803846897,0.45399049973954675,0.45399049973954675,False
1,0.22488656687668415,0.4908738521234052,0.47139673682599764,0.47139673682599764,False
1,0.23388202955175152,0.5105088062083414,0.4886212414969549,0.4886212414969549,False
1,0.24287749222681887,0.5301437602932776,0.5056573733779846,0.5056573733779846,False
1,0.2518729549018862,0.5497787143782137,0.5224985647159488,0.5224985647159488,False
1,0.2608684175769536,0.56941366846315,0.5391383229110002,0.5391383229110002,False
1,0.26986388025202096,0.5890486225480862,0.5555702330196022,0.5555702330196022,False
1,0.27885934292708836,0.6086835766330224,0.5717879602276122,0.5717879602276122,False
1,0.2878548056021557,0.6283185307179586,0.5877852522924731,0.5877852522924731,False
1,0.29685026827722305,0.6479534848028947,0.6035559419535713,0.6035559419535713,False
1,0.30584573095229045,0.667588438887831,0.619093949309834,0.619093949309834,False
1,0.3148411936273578,0.6872233929727672,0.6343932841636455,0.6343932841636455,False
1,0.3238366563024252,0.7068583470577035,0.6494480483301837,0.6494480483301837,False
1,0.33283211897749254,0.7264933011426397,0.6642524379112817,0.6642524379112817,False
1,0.3418275816525599,0.7461282552275758,0.6788007455329417,0.6788007455329417,False
1,0.3508230443276273,0.7657632093125121,0.6930873625456359,0.6930873625456359,False
1,0.35981850700269463,0.7853981633974483,0.7071067811865475,0.7071067811865475,False
1,0.368813969677762,0.8050331174823844,0.7208535967029187,0.7208535967029187,False
1,0.3778094323528294,0.8246680715673207,0.7343225094356856,0.7343225094356856,False
1,0.3868048950278967,0.8443030256522569,0.7475083268625967,0.7475083268625967,False
1,0.39580035770296407,0.863937979737193,0.7604059656000308,0.7604059656000308,False
1,0.40479582037803147,0.8835729338221293,0.773010453362737,0.773010453362737,False
1,0.4137912830530988,0.9032078879070654,0.7853169308807448,0.7853169308807448,False
1,0.4227867457281662,0.9228428419920017,0.7973206537727071,0.7973206537727071,False
1,0.43178220840323356,0.9424777960769379,0.8090169943749475,0.8090169943749475,False
1,0.4407776710783009,0.962112750161874,0.8204014435255135,0.8204014435255135,False
1,0.4497731337533683,0.9817477042468103,0.8314696123025452,0.8314696123025452,False
1,0.45876859642843565,1.0013826583317464,0.8422172337162864,0.8422172337162864,False
