coarse_size,complement_dimension,optimized_alpha,optimized_projective_residual,forced_flat_band_multiplicity,strict_maximum_eigenvalue_multiplicity,exact_unitary_equivalence_possible,coarse_strict_order_inversions
6,6,2.7179651509744756,0.2575537995888891,6,2,False,0
3,9,4.359348596624081,0.5238323255901498,9,2,False,0
