row_type,path_count_exponent_p,path_weight_exponent_q,resulting_regular_variation_index,interpretation,distance,positive_hyperbolic_mixture,strict_envelope
path_counting,1.6,0.6,1.0,historical stated pair: growth d^1,,,
path_counting,1.6,2.6,-1.0,required for legacy d^-1,,,
path_counting,1.6,3.4,-1.7999999999999998,required for strict envelope d^-1.8,,,
tail_curve,,,,,20.0,0.023066019049318483,0.004530789026781147
tail_curve,,,,,20.97464565278978,0.02199419698454916,0.004160437833975847
tail_curve,,,,,21.996788013004657,0.02097217966993961,0.003820243339206207
tail_curve,,,,,23.068741703615316,0.019997652830396624,0.0035077681953261785
tail_curve,,,,,24.19293414445326,0.019068409726278258,0.003220769185478161
tail_curve,,,,,25.3719110490593,0.01818234615680489,0.0029571822117726233
tail_curve,,,,,26.608342189406024,0.01733745569561931,0.0027151083731708253
tail_curve,,,,,27.905027441548395,0.016531825147711163,0.002492801065133523
tail_curve,,,,,29.264903125892623,0.01576363021742215,0.0022886540357963236
tail_curve,,,,,30.69104865644088,0.015031131377725769,0.0021011903359482364
tail_curve,,,,,32.18669351406886,0.014332669931431048,0.0019290521028254134
tail_curve,,,,,33.75522455962707,0.013666664255393885,0.0017709911206065477
tail_curve,,,,,35.400193703426226,0.013031606219233865,0.001625860103444945
tail_curve,,,,,37.12532594847424,0.012426057770449197,0.0014926046498427849
tail_curve,,,,,38.93452782567844,0.011848647678199195,0.001370255820124469
tail_curve,,,,,40.831896240114446,0.011298068428382614,0.0012579232916659947
tail_curve,,,,,42.82172774839398,0.010773073262982717,0.0011547890493615893
tail_curve,,,,,44.908528288139955,0.010272473356976406,0.0010601015715390211
tail_curve,,,,,47.09702338160107,0.009795135126416119,0.0009731704741579606
tail_curve,,,,,49.392168836511864,0.009339977661590119,0.0008933615786324722
tail_curve,,,,,51.79916196843011,0.008905970279449832,0.0008200923710036592
tail_curve,,,,,54.32345336996431,0.008492130189762984,0.0007528278224487712
tail_curve,,,,,56.970759253542504,0.00809752026970857,0.0006910765432480514
tail_curve,,,,,59.747074395672406,0.007721246941875279,0.0006343872443412969
tail_curve,,,,,62.65868571200488,0.007362458150858948,0.0005823454824948571
tail_curve,,,,,65.7121864939412,0.0070203414338779625,0.000534570666869983
tail_curve,,,,,68.91449133902275,0.006694122081038178,0.0004907133064391466
tail_curve,,,,,72.2728518089126,0.0063830613810820554,0.0004504524792428085
tail_curve,,,,,75.79487285042643,0.006086454948650056,0.00041349350592009555
tail_curve,,,,,79.48853001679753,0.0058036311292670156,0.0003795658112881528
tail_curve,,,,,83.36218752817359,0.005533949478442076,0.00034842095899184975
tail_curve,,,,,87.42461721224261,0.005276799311438583,0.00031983084540334597
tail_curve,,,,,91.68501836787874,0.00503159832043033,0.00029358604002501404
tail_curve,,,,,96.15303859678893,0.004797791255913102,0.0002694942606445034
tail_curve,,,,,100.83879565033332,0.004574848669385935,0.0002473789724122977
tail_curve,,,,,105.75290034099108,0.004362265714455201,0.00022707810086478034
tail_curve,,,,,110.90648057035388,0.004159561003646969,0.0002084428497041733
tail_curve,,,,,116.31120652805929,0.003966275518339085,0.00019133661487514457
tail_curve,,,,,121.9793171187247,0.0037819715693448606,0.0001756339871505779
tail_curve,,,,,127.92364767672628,0.003606231805794766,0.0001612198360598684
tail_curve,,,,,134.15765903158282,0.003438658270071968,0.00014798846856590745
tail_curve,,,,,140.69546798976202,0.0032788714966618115,0.0001358428564251267
tail_curve,,,,,147.55187930193432,0.0031265096528747607,0.00012469392665186372
tail_curve,,,,,154.742419188064,0.002981227719497141,0.00011445990995696452
tail_curve,,,,,162.28337049625492,0.00284269670951436,0.0001050657424438203
tail_curve,,,,,170.1918095749672,0.0027106029231375906,9.644251622562278e-05
tail_curve,,,,,178.48564494210063,0.002584647237447024,8.852697497800161e-05
tail_curve,,,,,187.18365783851064,0.0024645444290432093,8.12610507636974e-05
tail_curve,,,,,196.30554475779022,0.0023500225281727024,7.459143876268e-05
tail_curve,,,,,205.87196204862556,0.002240822202865551,6.846920681413847e-05
tail_curve,,,,,215.9045726907254,0.002136696171690089,6.284943692789878e-05
tail_curve,,,,,226.426095350248,0.002037408643795283,5.769089615377841e-05
tail_curve,,,,,237.460355825812,0.0019427347849726847,5.295573440975785e-05
tail_curve,,,,,249.03234100158892,0.001852460208528941,4.86092070650986e-05
tail_curve,,,,,261.16825542965205,0.001766380489816025,4.461942025402491e-05
tail_curve,,,,,273.8955806697122,0.0016843007033198836,4.095709706056181e-05
tail_curve,,,,,287.2431375206154,0.0016060349812592736,3.75953628667437e-05
tail_curve,,,,,301.2411512845234,0.0015314060926952984,3.4509548295742967e-05
tail_curve,,,,,315.92132021156596,0.0014602450421985836,3.1677008309497975e-05
tail_curve,,,,,331.31688727995663,0.0013923906871652963,2.907695613805216e-05
tail_curve,,,,,347.46271547411897,0.001327689372915464,2.6690310825888476e-05
tail_curve,,,,,364.3953667312878,0.001265994584747298,2.4499557279824216e-05
tail_curve,,,,,382.1531847353573,0.001207166616159645,2.248861779423014e-05
tail_curve,,,,,400.7763817454617,0.0011510722524912692,2.064273411310629e-05
tail_curve,,,,,420.307129655913,0.0010975844692605909,1.8948359165488185e-05
tail_curve,,,,,440.789655493697,0.0010465821445228012,1.73930576813228e-05
tail_curve,,,,,462.27034156977896,0.0009979497845930057,1.5965414959852663e-05
tail_curve,,,,,484.7978305110107,0.0009515772625143189,1.4654953122146377e-05
tail_curve,,,,,508.423135410484,0.0009073595686786777,1.3452054234146324e-05
tail_curve,,,,,533.1997553457626,0.0008651965730356809,1.234788973686431e-05
tail_curve,,,,,559.1837965265788,0.0008249927983509934,1.1334355666507437e-05
tail_curve,,,,,586.4340993463347,0.0007866572040008666,1.0404013189693807e-05
tail_curve,,,,,615.0123716251142,0.0007501029798131925,9.550034017829112e-06
tail_curve,,,,,644.9833283459311,0.0007152473494882542,8.766150300442775e-06
tail_curve,,,,,676.4148382006437,0.0006820113831540387,8.046608630085762e-06
tail_curve,,,,,709.3780772773819,0.0006503198186316459,7.3861278215103555e-06
tail_curve,,,,,743.94769023752,0.0006201008910060587,6.779860155504115e-06
tail_curve,,,,,780.2019593471692,0.0005912861701163471,6.2233558031380285e-06
tail_curve,,,,,818.2229817459589,0.0005638104055973155,5.712530169496681e-06
tail_curve,,,,,858.0968553545287,0.0005376113791216937,5.243633917356603e-06
tail_curve,,,,,899.9138738417217,0.0005126297635082758,4.813225450924069e-06
tail_curve,,,,,943.7687310929732,0.000488808988376973,4.418145657778863e-06
tail_curve,,,,,989.7607356429082,0.0004660951120465564,4.05549472372738e-06
tail_curve,,,,,1037.9940355577273,0.00044443669938501153,3.722610850468229e-06
tail_curve,,,,,1088.5778542766295,0.00042378470533589664,3.4170507199270936e-06
tail_curve,,,,,1141.6267379463259,0.0004040923638569575,3.1365715619273734e-06
tail_curve,,,,,1197.2608148087245,0.0003853150820195078,2.8791146936223515e-06
tail_curve,,,,,1255.6060672291685,0.00036741033902876305,2.642790409909574e-06
tail_curve,,,,,1316.7946169812367,0.000350337589936464,2.4258641139578262e-06
tail_curve,,,,,1380.965024434123,0.0003340581738277499,2.226743586074068e-06
tail_curve,,,,,1448.262602320096,0.00031853522627437846,2.04396729748844e-06
tail_curve,,,,,1518.8397447925613,0.00030373359585604017,1.8761936833012468e-06
tail_curve,,,,,1592.8562725198808,0.0002896197645607352,1.722191295872775e-06
tail_curve,,,,,1670.4797945964012,0.00027616177188396096,1.5808297663965312e-06
tail_curve,,,,,1751.8860880902294,0.00026332914245483767,1.4510715083262084e-06
tail_curve,,,,,1837.2594960872316,0.0002510928170252819,1.3319641017699208e-06
tail_curve,,,,,1926.7933451326385,0.00023942508666595429,1.2226333029618816e-06
tail_curve,,,,,2020.6903830155272,0.00022829953001997176,1.1222766275084276e-06
tail_curve,,,,,2119.163237887538,0.00021769095347229744,1.0301574603155979e-06
tail_curve,,,,,2222.434899755489,0.00020757533409932307,9.455996489703263e-07
tail_curve,,,,,2330.739225438236,0.00019792976526945356,8.679825408950304e-07
tail_curve,,,,,2444.3214681312343,0.00018873240477150938,7.967364278519942e-07
tail_curve,,,,,2563.438832777977,0.00017996242535348527,7.313383643632988e-07
tail_curve,,,,,2688.361058505956,0.00017159996755966095,6.713083293560884e-07
tail_curve,,,,,2819.371029446062,0.00016362609475926402,6.162057028618189e-07
tail_curve,,,,,2956.7654153186127,0.00015602275026484937,5.656260319103001e-07
tail_curve,,,,,3100.855343236586,0.0001487727164432918,5.191980618817282e-07
tail_curve,,,,,3251.9671022473626,0.00014185957572679841,4.7658101152811537e-07
tail_curve,,,,,3410.4428822083987,0.00013526767343565135,4.3746207166385164e-07
tail_curve,,,,,3576.6415486700093,0.0001289820823284937,4.015541091666928e-07
tail_curve,,,,,3750.939455519937,0.0001229885687998852,3.6859355943730843e-07
tail_curve,,,,,3933.731297229947,0.00011727356064858129,3.3833849184866796e-07
tail_curve,,,,,4125.431002634357,0.00011182411634354768,3.105668339861969e-07
tail_curve,,,,,4326.472672264443,0.00010662789571811446,2.850747416450703e-07
tail_curve,,,,,4537.31156136126,0.00010167313202590784,2.6167510262079894e-07
tail_curve,,,,,4758.425110792939,9.694860529528008e-05,2.4019616331123643e-07
tail_curve,,,,,4990.31402821094,9.244361692189943e-05,2.204802680495253e-07
tail_curve,,,,,5233.503421893518,8.814796544196552e-05,2.023827019149018e-07
tail_curve,,,,,5488.543989843968,8.405192343118982e-05,1.8577062852777189e-07
tail_curve,,,,,5756.013266836315,8.014621547722916e-05,1.7052211503262315e-07
tail_curve,,,,,6036.516932232426,7.642199717569059e-05,1.565252371122672e-07
tail_curve,,,,,6330.690181532033,7.28708351021453e-05,1.4367725746432406e-07
tail_curve,,,,,6639.199164761492,6.948468771479886e-05,1.3188387171005046e-07
tail_curve,,,,,6962.742494958511,6.625588714457187e-05,1.2105851620055193e-07
tail_curve,,,,,7302.0528301688055,6.317712183135461e-05,1.1112173263973357e-07
tail_curve,,,,,7657.898532537067,6.024141996711676e-05,1.0200058486037045e-07
tail_curve,,,,,8031.085408249193,5.744213370837894e-05,9.362812347247373e-08
tail_curve,,,,,8422.458532265871,5.477292412229589e-05,8.594289445450258e-08
tail_curve,,,,,8832.904161979623,5.222774683226141e-05,7.888848808050625e-08
tail_curve,,,,,9263.351744128726,4.980083833053032e-05,7.241312487234385e-08
tail_curve,,,,,9714.776019512612,4.748670292686262e-05,6.646927553788819e-08
tail_curve,,,,,10188.199230274835,4.5280100303635305e-05,6.101331210557287e-08
tail_curve,,,,,10684.693434752005,4.317603364924046e-05,5.600518769462112e-08
tail_curve,,,,,11205.382935130625,4.116973834289787e-05,5.140814257047794e-08
tail_curve,,,,,11751.446823409133,3.925667116525965e-05,4.7188434327900177e-08
tail_curve,,,,,12324.121651430423,3.7432500010374396e-05,4.3315090221253016e-08
tail_curve,,,,,12924.704231031368,3.569309407571274e-05,3.9759679824119105e-08
tail_curve,,,,,13554.554570649778,3.403451450804172e-05,3.649610634954805e-08
tail_curve,,,,,14215.098955039051,3.2453005483964054e-05,3.350041509923607e-08
tail_curve,,,,,14907.83317506434,3.094498570492523e-05,3.075061763565517e-08
tail_curve,,,,,15634.325914893914,2.950704028742904e-05,2.8226530386556367e-08
tail_curve,,,,,16396.2223042564,2.8135913030096305e-05,2.5909626497202674e-08
tail_curve,,,,,17195.24764380734,2.682849904005683e-05,2.3782899842929525e-08
tail_curve,,,,,18033.211312041352,2.5581837701976625e-05,2.183074020388319e-08
tail_curve,,,,,18912.01086259737,2.439310597379839e-05,2.003881868571882e-08
tail_curve,,,,,19833.63632123454,2.3259611994014746e-05,1.8393982545247073e-08
tail_curve,,,,,20800.17469220976,2.2178788985997016e-05,1.6884158649047507e-08
tail_curve,,,,,21813.814684261302,2.114818944557646e-05,1.549826485643466e-08
tail_curve,,,,,22876.851666900144,2.0165479598715987e-05,1.4226128676327306e-08
tail_curve,,,,,23991.692868233167,1.9228434116721194e-05,1.305841260096048e-08
tail_curve,,,,,25160.862826087752,1.8334931077024288e-05,1.19865455683901e-08
tail_curve,,,,,26387.009104782057,1.748294715812924e-05,1.1002660050723473e-08
tail_curve,,,,,27672.908290487045,1.667055305783691e-05,1.0099534306302135e-08
tail_curve,,,,,29021.472278755697,1.5895909124375512e-05,9.27053937196809e-09
tail_curve,,,,,30435.754868458094,1.5157261190542621e-05,8.509590406335254e-09
tail_curve,,,,,31918.95867705404,1.4452936601425453e-05,7.811102026925193e-09
tail_curve,,,,,33474.44239286239,1.3781340426704357e-05,7.169947313341137e-09
tail_curve,,,,,35105.728380750625,1.3140951848961907e-05,6.581420175562461e-09
tail_curve,,,,,36816.51065846654,1.2530320719819602e-05,6.041200811142857e-09
tail_curve,,,,,38610.663261674665,1.1948064276103272e-05,5.545323997767073e-09
tail_curve,,,,,40492.2490166407,1.139286400860083e-05,5.09014998843292e-09
tail_curve,,,,,42465.52874042818,1.0863462676322179e-05,4.6723377956290045e-09
tail_curve,,,,,44534.97088944204,1.0358661459499793e-05,4.2888206684132574e-09
tail_curve,,,,,46705.26167816781,9.877317244883062e-06,3.936783582393657e-09
tail_curve,,,,,48981.31569101954,9.418340037179148e-06,3.613642577387218e-09
tail_curve,,,,,51368.287011328306,8.98069049077828e-06,3.317025791095062e-09
tail_curve,,,,,53871.58089267082,8.563377556174509e-06,3.0447560495806373e-09
tail_curve,,,,,56496.86599896851,8.165456235752113e-06,2.794834886764695e-09
tail_curve,,,,,59250.08724107554,7.786025443855496e-06,2.565427875639702e-09
tail_curve,,,,,62137.47923892197,7.424225966297107e-06,2.3548511635347324e-09
tail_curve,,,,,65165.58043969845,7.0792385146824516e-06,2.1615591125992113e-09
tail_curve,,,,,68341.24792405228,6.750281871146322e-06,1.9841329547864773e-09
tail_curve,,,,,71671.67293382254,6.436611119299142e-06,1.8212703780645306e-09
tail_curve,,,,,75164.39715647855,6.13751595737718e-06,1.6717759674164267e-09
tail_curve,,,,,78827.32980313497,5.852319089777107e-06,1.5345524304671903e-09
tail_curve,,,,,82668.7655188175,5.5803746933323736e-06,1.4085925433330924e-09
tail_curve,,,,,86697.4031655381,5.32106695485825e-06,1.2929717575756024e-09
tail_curve,,,,,90922.36552071075,5.073808676654055e-06,1.1868414139950115e-09
tail_curve,,,,,95353.2199355169,4.838039946804549e-06,1.0894225134527302e-09
tail_curve,,,,,100000.0,4.613226871269518e-06,9.999999989999995e-10
