context_size,reduced_rank,lifted_rank,strict_rank,best_frobenius_scale,relative_best_fit_residual
6,5,5,11,1.2338745645621965,0.7018680792267544
3,2,2,11,1.5670955625884366,0.8690510101895691
1,0,0,11,0.0,1.0
