row_type,cos_theta_lower,cos_theta_upper,four_q2_cos2_minus_one_lower,four_q2_cos2_minus_one_upper,full_simplex_lower,full_simplex_upper,seed,p,symmetrized_p,d1_gain,d2_gain,d3_gain,objective_gain
analytic_condition,0.91354545764260087,0.91354545764260087,1.1364871761393385,1.1364871761393385,0.46327828319203235,0.4642707484333634,,,,,,,
symmetrization_falsification_sample,,,,,,,0,"[0.2128251385247269, 0.010988244346683558, 0.5267219179672338, 0.24946469916135583]","[0.23114491884304136, 0.26885508115695866, 0.26885508115695866, 0.23114491884304136]",0.11659883217419681,0.10210948672476988,0.06488217813073427,0.0836232059939705
symmetrization_falsification_sample,,,,,,,1,"[0.5357610892023578, 0.17771650344976256, 0.10707707020314675, 0.17944533714473293]","[0.3576032131735454, 0.14239678682645465, 0.14239678682645465, 0.3576032131735454]",0.003483364375624798,0.009320809145982933,0.038379911939928735,0.023564108605360956
symmetrization_falsification_sample,,,,,,,2,"[0.13869835595175836, 0.6156668395347005, 0.07333626816255806, 0.17229853635098322]","[0.1554984461513708, 0.34450155384862924, 0.34450155384862924, 0.1554984461513708]",0.07916986547025892,0.06626426975674027,0.04647841047121848,0.0568427328329969
symmetrization_falsification_sample,,,,,,,3,"[0.12363795359546964, 0.46448791544382706, 0.13605251867734383, 0.2758216122833595]","[0.19972978293941457, 0.30027021706058543, 0.30027021706058543, 0.19972978293941457]",0.04241035170334423,0.03166847098184472,0.01216316439930365,0.02245962679299285
symmetrization_falsification_sample,,,,,,,4,"[0.32665250230714155, 0.2560901001852898, 0.09018639935281095, 0.3270709981547577]","[0.32686175023094965, 0.1731382497690504, 0.1731382497690504, 0.32686175023094965]",0.014746023438434758,0.013257593088859099,0.00648735895477337,0.009828061781055608
symmetrization_falsification_sample,,,,,,,5,"[0.03562069468222035, 0.6256334307097019, 0.20568365766000768, 0.1330622169480701]","[0.08434145581514522, 0.4156585441848548, 0.4156585441848548, 0.08434145581514522]",0.04715236350792473,0.03881953697357149,0.01952923222966907,0.029432295996202784
symmetrization_falsification_sample,,,,,,,6,"[0.17558952689054333, 0.6376980115756721, 0.16472000031504314, 0.021992461218741512]","[0.09879099405464242, 0.4012090059453576, 0.4012090059453576, 0.09879099405464242]",0.03471703035963386,0.045320601191129295,0.06928810573143385,0.05621145590641258
symmetrization_falsification_sample,,,,,,,7,"[0.6005894954329434, 0.019988326513159457, 0.2853554246050512, 0.09406675344884607]","[0.3473281244408947, 0.15267187555910533, 0.15267187555910533, 0.3473281244408947]",0.10378836924843796,0.06206833986794247,0.0516039905029933,0.06021916909467251
symmetrization_falsification_sample,,,,,,,8,"[0.12347362856739885, 0.003077418879084938, 0.03874733384257352, 0.8347016187109425]","[0.4790876236391707, 0.020912376360829227, 0.020912376360829227, 0.4790876236391707]",0.004656682453911445,0.01893765974572774,0.15280091551919772,0.08595317160376417
symmetrization_falsification_sample,,,,,,,9,"[0.12937580265243706, 0.04192156932308143, 0.06556201663060186, 0.7631406113938798]","[0.44625820702315844, 0.053741792976841646, 0.053741792976841646, 0.44625820702315844]",0.0052303768651947025,0.01177649618848553,0.1109145395749479,0.061812534977810474
symmetrization_falsification_sample,,,,,,,10,"[0.36509379960805655, 0.15898190169334422, 0.3718869991026028, 0.10403729959599636]","[0.23456554960202647, 0.26543445039797353, 0.26543445039797353, 0.23456554960202647]",0.03274649282672104,0.02405301341287125,0.01232743841064421,0.018691668928157545
symmetrization_falsification_sample,,,,,,,11,"[0.2276498278477324, 0.20992823124245474, 0.13283566178778553, 0.4295862791220274]","[0.32861805348487994, 0.17138194651512012, 0.17138194651512012, 0.32861805348487994]",0.008345900524668659,0.0058510660254607605,0.007497239318441151,0.006886602335186953
symmetrization_falsification_sample,,,,,,,12,"[0.12476250651558173, 0.4948262647356677, 0.04936328963317543, 0.33104793911557506]","[0.2279052228155784, 0.27209477718442154, 0.27209477718442154, 0.2279052228155784]",0.0959845106669284,0.06887256426495003,0.02707666268087039,0.049524828994371606
symmetrization_falsification_sample,,,,,,,13,"[0.6321682430876027, 0.03695593985248584, 0.2859574937813688, 0.0449183232785425]","[0.3385432831830726, 0.16145671681692733, 0.16145671681692733, 0.3385432831830726]",0.10112277378471116,0.0611394595840597,0.06755844229913943,0.0677752612207706
symmetrization_falsification_sample,,,,,,,14,"[0.20160451045536792, 0.4945473076865955, 0.11456438626506152, 0.18928379559297495]","[0.19544415302417145, 0.3045558469758285, 0.3045558469758285, 0.19544415302417145]",0.038231019862014104,0.034295120197429696,0.02614723211001868,0.03022688690289599
symmetrization_falsification_sample,,,,,,,15,"[0.2150546650482962, 0.18869694949173063, 0.13800136360097734, 0.4582470218589958]","[0.336650843453646, 0.16334915654635399, 0.16334915654635399, 0.336650843453646]",0.00690300641763103,0.005314021681172565,0.011901453809326834,0.008796817292038128
symmetrization_falsification_sample,,,,,,,16,"[0.028246977991911996, 0.48857857148624106, 0.20908270457514083, 0.274091745946706]","[0.151169361969309, 0.3488306380306909, 0.3488306380306909, 0.151169361969309]",0.05115134930110071,0.04224977267535074,0.013338497614740819,0.027963753018987625
symmetrization_falsification_sample,,,,,,,17,"[0.3712727661562883, 0.3094153208362695, 0.08809324512443796, 0.23121866788300424]","[0.30124571701964625, 0.19875428298035372, 0.19875428298035372, 0.30124571701964625]",0.017505285300533358,0.020673085586146556,0.02285415933029089,0.02132030183104039
symmetrization_falsification_sample,,,,,,,18,"[0.21606230235393956, 0.3310435692595804, 0.10874133491076841, 0.3441527934757117]","[0.2801075479148256, 0.2198924520851744, 0.2198924520851744, 0.2801075479148256]",0.026410662935550167,0.019711736364170007,0.0072462259206586,0.013814798077031232
symmetrization_falsification_sample,,,,,,,19,"[0.10774425491383667, 0.23749879913620248, 0.2983062504898642, 0.35645069546009667]","[0.23209747518696666, 0.26790252481303334, 0.26790252481303334, 0.23209747518696666]",0.005509600896353883,0.009579916115926401,0.020862199809746684,0.014889055777156046
symmetrization_falsification_sample,,,,,,,20,"[0.6846777349016339, 0.06707445586316883, 0.0019144189481280819, 0.24633339028706921]","[0.46550556259435155, 0.034494437405648455, 0.034494437405648455, 0.46550556259435155]",0.016594146527344478,0.02858589410922488,0.061357722347197774,0.043985175246332664
