relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error
1e-06,0,0.02226884240285043,0.37260724073265916
1e-06,1,0.012861739628715374,0.14862997382454024
1e-06,2,0.010460406854350096,0.13050326976051774
1e-06,3,0.02047926442350731,0.3026120344349302
1e-06,4,0.017747003208754667,0.2612390546507593
1e-06,5,0.020293018945829282,0.18857474113483635
1e-06,6,0.09707110026865332,0.6684046238963123
1e-06,7,0.019077557290923742,0.378794845522226
1e-06,8,0.03365951465553956,0.39947147109136166
1e-06,9,0.05215438284769316,0.5329183432613427
1e-06,10,0.029176364096775532,0.3648244171562714
1e-06,11,0.030060748987341526,0.397880360257188
1e-06,12,0.01387661964662973,0.163729998727376
1e-06,13,0.010703467728581658,0.15350306260383043
1e-06,14,0.02040954265285432,0.37288840514567495
1e-06,15,0.006662873037722146,0.02476926077258334
1e-06,16,0.00911235640537786,0.07689958310393223
1e-06,17,0.013156460791734877,0.05601684503832597
1e-06,18,0.12697575988143314,0.7296906237966195
1e-06,19,0.013629805081792137,0.24252037119553194
1e-06,20,0.03215159018057916,0.38739702025133743
1e-06,21,0.023264351679868095,0.10482216663267697
1e-06,22,0.05145158942622804,0.5426065916443782
1e-06,23,0.03274525405946596,0.41752325217870834
1e-06,24,0.014879337783673195,0.19027103577754795
1e-06,25,0.29113530409361854,0.8768316122932195
1e-06,26,0.07111168141908034,0.45558303826019186
1e-06,27,0.011527794137831001,0.17459334815586128
1e-06,28,0.21748073952546473,0.8519119424987657
1e-06,29,0.017855584471205763,0.21934157282071018
1e-06,30,0.008197521465646814,0.03684026018848571
1e-06,31,0.027939399822452676,0.5143422995611444
1e-06,32,0.037314104537678035,0.46050777563987505
1e-06,33,0.021581422455078554,0.06562446224426208
1e-06,34,0.027958547231537532,0.24423917572416096
1e-06,35,0.03842967408404702,0.29839292852285576
1e-06,36,0.03629861685164269,0.43769905612737237
1e-06,37,0.026622723061319485,0.29173301966573617
1e-06,38,0.028266588547764208,0.40140280323881095
1e-06,39,0.018239539225357145,0.2401073168177835
0.0001,0,1.1652510403272263,1.1122157546923301
0.0001,1,0.23505216567928966,0.7788694841895896
0.0001,2,0.38012617201313303,1.0595025182258468
0.0001,3,14.044729524295361,0.8697945619421384
0.0001,4,0.10859871821710401,0.366871873357383
0.0001,5,0.1542205687813448,4.854659389927308
0.0001,6,0.1233843744326662,3.5554498628022615
