fraction,time,survival,coherence,mean_vertex_TV,maximum_vertex_TV,minimum_vertex_TV
0.25,0.17990925350134732,0.8,0.5,0.005575739355777533,0.005575739355777702,0.005575739355777425
0.25,0.17990925350134732,0.8,0.8,0.008921182969244094,0.008921182969244289,0.00892118296924391
0.25,0.17990925350134732,0.8,1.0,0.011151478711555064,0.011151478711555255,0.011151478711554806
0.25,0.17990925350134732,0.9,0.5,0.006272706775249724,0.006272706775249874,0.0062727067752496105
0.25,0.17990925350134732,0.9,0.8,0.010036330840399576,0.010036330840399767,0.010036330840399368
0.25,0.17990925350134732,0.9,1.0,0.012545413550499429,0.01254541355049966,0.012545413550499178
0.25,0.17990925350134732,1.0,0.5,0.006969674194721922,0.006969674194722109,0.006969674194721786
0.25,0.17990925350134732,1.0,0.8,0.011151478711555099,0.01115147871155532,0.011151478711554873
0.25,0.17990925350134732,1.0,1.0,0.013939348389443823,0.013939348389444065,0.013939348389443496
0.5,0.35981850700269463,0.8,0.5,0.021565391567886727,0.021565391567886887,0.021565391567886588
0.5,0.35981850700269463,0.8,0.8,0.03450462650861879,0.03450462650861908,0.034504626508618436
0.5,0.35981850700269463,0.8,1.0,0.043130783135773454,0.04313078313577383,0.04313078313577305
0.5,0.35981850700269463,0.9,0.5,0.02426106551387257,0.024261065513872734,0.024261065513872387
0.5,0.35981850700269463,0.9,0.8,0.038817704822196125,0.038817704822196396,0.03881770482219574
0.5,0.35981850700269463,0.9,1.0,0.04852213102774513,0.04852213102774555,0.048522131027744664
0.5,0.35981850700269463,1.0,0.5,0.0269567394598584,0.02695673945985861,0.02695673945985821
0.5,0.35981850700269463,1.0,0.8,0.043130783135773475,0.04313078313577382,0.04313078313577304
0.5,0.35981850700269463,1.0,1.0,0.05391347891971682,0.053913478919717296,0.05391347891971626
0.75,0.5397277605040419,0.8,0.5,0.04585545594213725,0.04585545594213751,0.04585545594213705
0.75,0.5397277605040419,0.8,0.8,0.07336872950741963,0.07336872950741995,0.07336872950741928
0.75,0.5397277605040419,0.8,1.0,0.09171091188427453,0.09171091188427485,0.0917109118842741
0.75,0.5397277605040419,0.9,0.5,0.051587387934904416,0.051587387934904694,0.0515873879349042
0.75,0.5397277605040419,0.9,0.8,0.0825398206958471,0.08253982069584744,0.08253982069584673
0.75,0.5397277605040419,0.9,1.0,0.10317477586980885,0.10317477586980928,0.10317477586980833
0.75,0.5397277605040419,1.0,0.5,0.057319319927671565,0.057319319927671884,0.05731931992767131
0.75,0.5397277605040419,1.0,0.8,0.09171091188427455,0.09171091188427494,0.09171091188427412
0.75,0.5397277605040419,1.0,1.0,0.11463863985534317,0.1146386398553436,0.11463863985534262
1.0,0.7196370140053893,0.8,0.5,0.07524020666773447,0.0752402066677347,0.07524020666773422
1.0,0.7196370140053893,0.8,0.8,0.12038433066837513,0.12038433066837549,0.12038433066837484
1.0,0.7196370140053893,0.8,1.0,0.15048041333546894,0.15048041333546935,0.1504804133354685
1.0,0.7196370140053893,0.9,0.5,0.0846452325012013,0.08464523250120155,0.08464523250120098
1.0,0.7196370140053893,0.9,0.8,0.13543237200192207,0.1354323720019224,0.13543237200192168
1.0,0.7196370140053893,0.9,1.0,0.16929046500240255,0.169290465002403,0.16929046500240208
1.0,0.7196370140053893,1.0,0.5,0.09405025833466811,0.09405025833466836,0.09405025833466775
1.0,0.7196370140053893,1.0,0.8,0.15048041333546894,0.15048041333546935,0.15048041333546852
1.0,0.7196370140053893,1.0,1.0,0.18810051666933617,0.1881005166693367,0.1881005166693356
