sample,parameter_norm,numerical_rank,smallest_singular_value,condition_number
0,0.0,132,0.013671983733347529,194.05780433970364
1,0.5059808594023856,132,0.015377953969815967,156.68306100895524
2,0.5122135591608148,132,0.013968483489367113,169.45321350131124
3,0.4894232392039191,132,0.016113676742555105,146.35964696339937
4,0.48303341630746827,132,0.014759054698240593,163.85881991418483
5,0.4708993750860428,132,0.013067445362125282,182.93769690061234
6,0.5314252753190889,132,0.013516603102714441,175.9566580857616
7,0.4931480717496262,132,0.01588789286761995,151.5277338830449
8,0.48550772875935433,132,0.014381464901006532,164.47280052676348
