dynamics,time,maximum_vertex_tv,optimized_legacy_scale
heat,0.02,0.01813687733760804,0.0939355862579894
heat,0.02259984144358757,0.020412637172172492,0.0939355862579894
heat,0.025537641663764918,0.022962025286172253,0.0939355862579894
heat,0.028857332622212146,0.025814669130349042,0.0939355862579894
heat,0.032608557087343074,0.02900249108182712,0.0939355862579894
heat,0.03684741099390635,0.032559613855503405,0.0939355862579894
heat,0.04163728230344946,0.03652216086474266,0.0939355862579894
heat,0.047049798909992606,0.040927918803416966,0.0939355862579894
heat,0.053165899765925596,0.04581582281812212,0.0939355862579894
heat,0.06007704524577941,0.051225217096449206,0.0939355862579894
heat,0.06788658484769254,0.0571948358408625,0.0939355862579894
heat,0.07671130268522527,0.06376144200396078,0.0939355862579894
heat,0.08668316388085726,0.07095805475682723,0.0939355862579894
heat,0.09795128797679452,0.07881169285125397,0.0939355862579894
heat,0.11068417887353708,0.08734056184290111,0.0939355862579894
heat,0.12507224464278113,0.09655062136180545,0.0939355862579894
heat,0.14133064489602243,0.10643148794845411,0.0939355862579894
heat,0.15970250828850427,0.11695166408526358,0.0939355862579894
heat,0.18046256827317128,0.12805314049921226,0.0939355862579894
heat,0.20392127147381336,0.13964550268889528,0.0939355862579894
heat,0.2304294201141479,0.15159978980669397,0.0939355862579894
heat,0.2603834179258786,0.16374250873687166,0.0939355862579894
heat,0.2942311979832126,0.1758503987838086,0.0939355862579894
heat,0.33247892110887134,0.18764676594163787,0.0939355862579894
heat,0.37569854501977773,0.1988004418037214,0.0939355862579894
heat,0.42453637740167605,0.2089286356985765,0.0939355862579894
heat,0.4797227408156465,0.21760508314438973,0.0939355862579894
heat,0.5420828939658431,0.224374868970171,0.0939355862579894
heat,0.6125493726454575,0.2287770187283142,0.0939355862579894
heat,0.6921759349078187,0.2303752994925814,0.0939355862579894
heat,0.7821533189991845,0.23037530117752436,0.0939355862579894
heat,0.8838270496978672,0.22843105116566625,0.0939355862579894
heat,0.9987175593362791,0.2230016916730095,0.0939355862579894
heat,1.1285429243963332,0.2139830483257349,0.0939355862579894
heat,1.2752445576819886,0.20146560258775742,0.0939355862579894
heat,1.4410162402705449,0.18576071397907265,0.0939355862579894
heat,1.62833692738745,0.1674056029721078,0.0939355862579894
heat,1.840007818784747,0.14714070534866916,0.0939355862579894
heat,2.079194247974834,0.12585692660248488,0.0939355862579894
heat,2.349473016732528,0.10451624446711975,0.0939355862579894
heat,2.654885882707123,0.08405581932888466,0.0939355862579894
heat,3.0,0.06529124117809862,0.0939355862579894
wave,0.02,0.0001744159165547259,0.12994892493250582
wave,0.02259984144358757,0.00022270007283085134,0.12994892493250582
wave,0.025537641663764918,0.0002843478975344077,0.12994892493250582
wave,0.028857332622212146,0.00036305617916986737,0.12994892493250582
wave,0.032608557087343074,0.0004635431556086689,0.12994892493250582
wave,0.03684741099390635,0.0005918299959920592,0.12994892493250582
wave,0.04163728230344946,0.0007555993763787826,0.12994892493250582
wave,0.047049798909992606,0.0009646519639334566,0.12994892493250582
wave,0.053165899765925596,0.0012314870536871666,0.12994892493250582
wave,0.06007704524577941,0.0015720403246391951,0.12994892493250582
wave,0.06788658484769254,0.002006619925091942,0.12994892493250582
wave,0.07671130268522527,0.002561092068478932,0.12994892493250582
wave,0.08668316388085726,0.0032683791536563967,0.12994892493250582
wave,0.09795128797679452,0.004170347074259898,0.12994892493250582
wave,0.11068417887353708,0.005320173451203704,0.12994892493250582
wave,0.12507224464278113,0.006785303950806342,0.12994892493250582
wave,0.14133064489602243,0.008651117407032127,0.12994892493250582
wave,0.15970250828850427,0.011025427910418663,0.12994892493250582
wave,0.18046256827317128,0.014043945762017063,0.12994892493250582
wave,0.20392127147381336,0.017876786132786676,0.12994892493250582
wave,0.2304294201141479,0.022736032544565785,0.12994892493250582
wave,0.2603834179258786,0.028884196276878122,0.12994892493250582
wave,0.2942311979832126,0.03664310596010583,0.12994892493250582
wave,0.33247892110887134,0.04640222669896668,0.12994892493250582
wave,0.37569854501977773,0.0586245151564005,0.12994892493250582
wave,0.42453637740167605,0.07384648187339513,0.12994892493250582
wave,0.4797227408156465,0.09266691263876936,0.12994892493250582
wave,0.5420828939658431,0.11571542075358346,0.12994892493250582
wave,0.6125493726454575,0.14358744363899426,0.12994892493250582
wave,0.6921759349078187,0.17672654452181974,0.12994892493250582
wave,0.7821533189991845,0.21522886324620788,0.12994892493250582
wave,0.8838270496978672,0.2585411362711138,0.12994892493250582
wave,0.9987175593362791,0.30502955916708324,0.12994892493250582
wave,1.1285429243963332,0.3514252310130461,0.12994892493250582
wave,1.2752445576819886,0.39222587159650735,0.12994892493250582
wave,1.4410162402705449,0.41928453931413173,0.12994892493250582
wave,1.62833692738745,0.4220695600947592,0.12994892493250582
wave,1.840007818784747,0.40480746426852593,0.12994892493250582
wave,2.079194247974834,0.3857648876816062,0.12994892493250582
wave,2.349473016732528,0.3363999542015294,0.12994892493250582
wave,2.654885882707123,0.28888476068649516,0.12994892493250582
wave,3.0,0.20335278573201832,0.12994892493250582
