coherence,survival,threshold_fraction,time,optimized_lower,extremal_two_mode_lower,uniform_lower,probabilities,active_modes_above_1e_5
1.0,0.7,0.25,0.0845678639241498,0.2678784026555629,0.2678784026555629,0.13150239764342658,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.7,0.5,0.1691357278482996,0.4949747468305834,0.4949747468305834,0.25434223795473526,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.7,0.75,0.2537035917724494,0.6467156727579009,0.6467156727579009,0.3612834627723359,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.7,1.0,0.3382714556965992,0.7000000000000001,0.7000000000000001,0.4476601417718363,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.9,0.25,0.0845678639241498,0.34441508912858093,0.34441508912858093,0.1690745112558342,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.9,0.5,0.1691357278482996,0.6363961030678931,0.6363961030678931,0.32701144879894534,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.9,0.75,0.2537035917724494,0.8314915792601583,0.8314915792601583,0.46450730927871764,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,0.9,1.0,0.3382714556965992,0.9000000000000002,0.9000000000000002,0.5755630394209323,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,1.0,0.25,0.0845678639241498,0.3826834323650899,0.3826834323650899,0.187860568062038,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,1.0,0.5,0.1691357278482996,0.7071067811865478,0.7071067811865478,0.3633460542210504,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,1.0,0.75,0.2537035917724494,0.923879532511287,0.923879532511287,0.5161192325319085,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
1.0,1.0,1.0,0.3382714556965992,1.0000000000000002,1.0000000000000002,0.6395144882454804,"[0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
