atom,node,weight,feature_radius,baseline_probability,optimal_probability,probability_ratio
0,0.019826532267005523,-0.6263975202722428,1.0001966036551684,0.2608323774888943,0.2262605200229374,0.867455651791431
1,0.12942143496593872,0.6199498168348376,1.0084816540917816,0.2581475491450803,0.2257864700083093,0.8746411529222619
2,0.2950420036616848,0.5921198733170435,1.0465896898943183,0.2465591406693044,0.2237996821180339,0.9076916861022141
3,0.5266898453623859,0.3211350863146134,1.1763908431708618,0.13372088066717977,0.1364309078222133,1.0202662975409096
4,0.814059045463453,0.14195366099001397,1.7156291016221854,0.059109606425622005,0.0879515256904097,1.487939626210837
5,0.9418486479939021,-0.08095594812758317,2.598666266480953,0.03371011496470769,0.07597533924191552,2.2537846376809094
6,1.0,0.019020934133646014,3.4641016151377544,0.00792033063921182,0.023795555096180917,3.00436385551562
