diagonal_history_mass_x,optimized_half_distance_at_x,endpoint_product_t00_t11
0.0,0.0,0.0
0.05,0.13535105357498298,0.0006250000000000001
0.1,0.18918059839029408,0.0025000000000000005
0.15000000000000002,0.22892831478512105,0.0056250000000000015
0.2,0.261106359962746,0.010000000000000002
0.25,0.28826094517854584,0.015625
0.30000000000000004,0.31170771119280327,0.022500000000000006
0.35000000000000003,0.33223260724750875,0.030625000000000006
0.4,0.3503495352066171,0.04000000000000001
0.45,0.3664158453452877,0.050625
0.5,0.3806912528812618,0.0625
0.55,0.39337078147735094,0.07562500000000001
0.6000000000000001,0.4046044943145005,0.09000000000000002
0.65,0.4145099580450118,0.10562500000000001
0.7000000000000001,0.42318045467277443,0.12250000000000003
0.75,0.4306905763018604,0.140625
0.8,0.4371001386558864,0.16000000000000003
0.8500000000000001,0.44245697340007595,0.18062500000000004
0.9,0.4467989467392574,0.2025
0.9500000000000001,0.450155426162851,0.22562500000000002
1.0,0.4525483399593905,0.25
