row_type,variable_radius,q_radius,theta_radius,included,minimum_inclusion_margin,maximum_contraction_row_sum,maximum_function_interval_radius,q_interval,theta_interval_symbolic,sine_intervals,normalizer_positive_lower,X3_positive_lower,positive_throughout_tube
tube_trial,1/1000000,3/100000000,3/100000000,False,-14439462130205831017144731409155835812566809274509454166336950749981636249713826860840024417129442276070030622820555767647275396844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,289995906295724942624600780134560206142035331309782027851060027676491475327779864625888315907212373893777497874357215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,15863216003945507362907324351520468790274777610553000729532463014930353569977800042289149779527905826975425792807279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999997/100000000"", ""80000003/100000000""]","[pi/8-3/100000000, pi/8+3/100000000]","[[""38268340236508977172845998403/100000000000000000000000000000"", ""382683462365089771728459984031/1000000000000000000000000000000""], [""88388340148318440550105545263/125000000000000000000000000000"", ""141421368237309504880168872421/200000000000000000000000000000""], [""230969860627821689032045797349/250000000000000000000000000000"", ""923879622511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/1000000,1/100000000,1/100000000,False,-280466850865805062884154333796695868728826035916188015951934573705536153155106097201385561625100008338684189041675065015687975559691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,287887908355365659967204574291688254659739399748894112980649614953094952785137125257307073025634079502467920086718418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5287738420729408343766727871251196249869182499313734466076416549217827209841055672403084563786401220690594668566951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999999/100000000"", ""80000001/100000000""]","[pi/8-1/100000000, pi/8+1/100000000]","[[""38268342236508977172845998403/100000000000000000000000000000"", ""382683442365089771728459984031/1000000000000000000000000000000""], [""88388345148318440550105545263/125000000000000000000000000000"", ""141421360237309504880168872421/200000000000000000000000000000""], [""230969875627821689032045797349/250000000000000000000000000000"", ""923879562511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/1000000,3/1000000000,3/1000000000,False,-62767014886884679898159640689191936126155795501007499513538859493166734347126156495818505477776810028800035154798732211379217154324889739/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,287150109076475241313623714648765367491357551776701135736491526171559291471848199385221604071190232896289850384101919522215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1586321499898983180990401457905730470553580721395867190475857140969047172640768752845885604391992912147761581819959057279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999997/1000000000"", ""800000003/1000000000""]","[pi/8-3/1000000000, pi/8+3/1000000000]","[[""38268342936508977172845998403/100000000000000000000000000000"", ""382683435365089771728459984031/1000000000000000000000000000000""], [""88388346898318440550105545263/125000000000000000000000000000"", ""141421357437309504880168872421/200000000000000000000000000000""], [""230969880877821689032045797349/250000000000000000000000000000"", ""923879541511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/1000000,1/1000000000,1/1000000000,False,-567061726595227231151753195069765000522407555514617389698006107453053431626879038368246204977014539148435579231709271587093892314934691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,286939309282528962210103906413884421078841801707091815409491972025173009687813960412036108168079881570913267672683889373418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528773830451735744530573139645658338244301855279193201334495547735856595429847877495442873771752463113269199262957316951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999999/1000000000"", ""800000001/1000000000""]","[pi/8-1/1000000000, pi/8+1/1000000000]","[[""38268343136508977172845998403/100000000000000000000000000000"", ""382683433365089771728459984031/1000000000000000000000000000000""], [""88388347398318440550105545263/125000000000000000000000000000"", ""141421356637309504880168872421/200000000000000000000000000000""], [""230969882377821689032045797349/250000000000000000000000000000"", ""923879535511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/1000000,1/10000000000,1/10000000000,True,27422917198936016532951773141621788181064655590478611037446951472406175694488741809518376217489694714803103151621377223458596007124064291315309/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,286844449375256386321759418122963288655193656316119096992340296134262390763940529718637803140889592148770942653740915321915923418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3304836470941401607098769824930035638355121117756101076402042733169903872508379138382162645385578022437939056723342165873961/9765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999999999/10000000000"", ""8000000001/10000000000""]","[pi/8-1/10000000000, pi/8+1/10000000000]","[[""38268343226508977172845998403/100000000000000000000000000000"", ""382683432465089771728459984031/1000000000000000000000000000000""], [""88388347623318440550105545263/125000000000000000000000000000"", ""141421356277309504880168872421/200000000000000000000000000000""], [""230969883052821689032045797349/250000000000000000000000000000"", ""923879532811286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,1/1000000,1/1000000,False,-497545966550286627391447524419858512058777196156209757429383404447839875717431769241211800324027868209468064582654027382229/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,268166574171888066388896960513309292369238934806772740518157519550080300461931204949228311254996994465067867/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528775064157381652950958308330499171610060172799029493330348329485369972141353779266908019963991156804451/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999/1000000"", ""800001/1000000""]","[pi/8-1/1000000, pi/8+1/1000000]","[[""38268243236508977172845998403/100000000000000000000000000000"", ""382684432365089771728459984031/1000000000000000000000000000000""], [""88388097648318440550105545263/125000000000000000000000000000"", ""141421756237309504880168872421/200000000000000000000000000000""], [""230969133127821689032045797349/250000000000000000000000000000"", ""923882532511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,3/10000000,3/10000000,False,-149228865894996926197657090340775553796349774255157318618744065280264072581696009210713705821497005960746895393846762979652844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,120606712797723936008200154070521791701182018375431681864864488816939409985097298709370931076433945364786722575043/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,158632260028371495382826652525324500154586721709059970432987769267888858375120254401748119156996899786376182279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999997/10000000"", ""8000003/10000000""]","[pi/8-3/10000000, pi/8+3/10000000]","[[""38268313236508977172845998403/100000000000000000000000000000"", ""382683732365089771728459984031/1000000000000000000000000000000""], [""88388272648318440550105545263/125000000000000000000000000000"", ""141421476237309504880168872421/200000000000000000000000000000""], [""230969658127821689032045797349/250000000000000000000000000000"", ""923880432511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,1/10000000,1/10000000,False,-49709698033079721579307438061977975130151264247954582868822148399251411766269812345687120023848671941708586994475654633888182229/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,78446753516611506240126353367589558012773481400674520147568629827989830953716738259909018456403623489342727967867/25000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,52877395321712414735705286751919991792053640170387489966831342393001173264269378993542401730452424727839691951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999999/10000000"", ""8000001/10000000""]","[pi/8-1/10000000, pi/8+1/10000000]","[[""38268333236508977172845998403/100000000000000000000000000000"", ""382683532365089771728459984031/1000000000000000000000000000000""], [""88388322648318440550105545263/125000000000000000000000000000"", ""141421396237309504880168872421/200000000000000000000000000000""], [""230969808127821689032045797349/250000000000000000000000000000"", ""923879832511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,3/100000000,3/100000000,False,-14877989675489795337971885037067411775565696002582302013334312588985282556602026785713492437756782630609854632897078907888087396844941/500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,31845383948329633034414779239592811142035331309782027851060027676491475327779864625888315907212373893777497874357215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,15863216003945507362907324351520468790274777610553000729532463014930353569977800042289149779527905826975425792807279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999997/100000000"", ""80000003/100000000""]","[pi/8-3/100000000, pi/8+3/100000000]","[[""38268340236508977172845998403/100000000000000000000000000000"", ""382683462365089771728459984031/1000000000000000000000000000000""], [""88388340148318440550105545263/125000000000000000000000000000"", ""141421368237309504880168872421/200000000000000000000000000000""], [""230969860627821689032045797349/250000000000000000000000000000"", ""923879622511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,1/100000000,1/100000000,False,-307879565441418641321830577004315828307091622266753004197728112071891689511339538669556620710792331659803636221479948573664725559691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,29737386007970350377018573396720859659739399748894112980649614953094952785137125257307073025634079502467920086718418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5287738420729408343766727871251196249869182499313734466076416549217827209841055672403084563786401220690594668566951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""79999999/100000000"", ""80000001/100000000""]","[pi/8-1/100000000, pi/8+1/100000000]","[[""38268342236508977172845998403/100000000000000000000000000000"", ""382683442365089771728459984031/1000000000000000000000000000000""], [""88388345148318440550105545263/125000000000000000000000000000"", ""141421360237309504880168872421/200000000000000000000000000000""], [""230969875627821689032045797349/250000000000000000000000000000"", ""923879562511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,3/1000000000,3/1000000000,False,-90181389510875761777806440831008472200550241009509921958131753559280725941314498047201756868616632004783382991434502892454232205074889739/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28999586729079931723437713753797972491357551776701135736491526171559291471848199385221604071190232896289850384101919522215533/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1586321499898983180990401457905730470553580721395867190475857140969047172640768752845885604391992912147761581819959057279/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999997/1000000000"", ""800000003/1000000000""]","[pi/8-3/1000000000, pi/8+3/1000000000]","[[""38268342936508977172845998403/100000000000000000000000000000"", ""382683435365089771728459984031/1000000000000000000000000000000""], [""88388346898318440550105545263/125000000000000000000000000000"", ""141421357437309504880168872421/200000000000000000000000000000""], [""230969880877821689032045797349/250000000000000000000000000000"", ""923879541511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,1/1000000000,1/1000000000,False,-27981910650122688238781472905414783204345013501673660805026649170396414159829297627441164961598834805613880726968170520496901869064934691/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28788786935133652619917905518917026078841801707091815409491972025173009687813960412036108168079881570913267672683889373418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,528773830451735744530573139645658338244301855279193201334495547735856595429847877495442873771752463113269199262957316951/156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""799999999/1000000000"", ""800000001/1000000000""]","[pi/8-1/1000000000, pi/8+1/1000000000]","[[""38268343136508977172845998403/100000000000000000000000000000"", ""382683433365089771728459984031/1000000000000000000000000000000""], [""88388347398318440550105545263/125000000000000000000000000000"", ""141421356637309504880168872421/200000000000000000000000000000""], [""230969882377821689032045797349/250000000000000000000000000000"", ""923879535511286756128183189397/1000000000000000000000000000000""]]",,,
tube_trial,1/10000000,1/10000000000,1/10000000000,True,7854840617192229573278332622197429288841317189879005679717138708266073707608001385311274556696297137837772592294282932906834816087541315309/31250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28693927027861076731573417227995893655193656316119096992340296134262390763940529718637803140889592148770942653740915321915923418677/12500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3304836470941401607098769824930035638355121117756101076402042733169903872508379138382162645385578022437939056723342165873961/9765625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[""7999999999/10000000000"", ""8000000001/10000000000""]","[pi/8-1/10000000000, pi/8+1/10000000000]","[[""38268343226508977172845998403/100000000000000000000000000000"", ""382683432465089771728459984031/1000000000000000000000000000000""], [""88388347623318440550105545263/125000000000000000000000000000"", ""141421356277309504880168872421/200000000000000000000000000000""], [""230969883052821689032045797349/250000000000000000000000000000"", ""923879532811286756128183189397/1000000000000000000000000000000""]]",,,
tube_positivity,,,,,,,,,,,6/625,31/3125,True
