rho,truncated_absolute_tail,rigorous_remainder_bound,target
0.3996970877901551,0.22587095289330636,1.3428620304894795e-68,0.24670647579758215
0.4046970877901551,0.2292965235029555,1.0021163980733565e-67,0.24670647579758215
0.4096970877901551,0.23274066563313803,7.29729124736782e-67,0.24670647579758215
0.41469708779015513,0.2362035537692945,5.188256160925726e-66,0.24670647579758215
0.4196970877901551,0.23968536482132524,3.603690994885418e-65,0.24670647579758215
0.4246970877901551,0.2431862781835382,2.446703879104932e-64,0.24670647579758215
0.4296970877901551,0.24670647579758215,1.624635341116916e-63,0.24670647579758215
0.4346970877901551,0.2502461422185674,1.055591394663409e-62,0.24670647579758215
0.4396970877901551,0.25380546468458726,6.714573079449468e-62,0.24670647579758215
0.44469708779015504,0.25738463318987176,4.183438771177196e-61,0.24670647579758215
0.44969708779015505,0.26098384056181945,2.554134158622501e-60,0.24670647579758215
0.45469708779015505,0.264603282542171,1.5287814595247745e-59,0.24670647579758215
0.45969708779015506,0.26824315787260883,8.974872001668068e-59,0.24670647579758215
