component,two_pi_phase_defect,pi_phase_defect,loss_shift_0p01_defect
0,2.8120261408950768e-16,1.0471454475534703,0.0049875208073176655
1,1.9849511792690274e-16,0.6075303528714686,0.00498752080731766
2,0.0,0.3692151499490932,0.0049875208073176585
3,1.3044259960448065e-16,0.29129904298660786,0.004987520807317658
4,1.1405881321584977e-16,0.30052057013826644,0.0049875208073176585
5,1.0248757684217314e-16,0.28505168649772467,0.004987520807317667
6,1.530320739416725e-16,0.3518685431489307,0.004987520807317676
7,6.750013408955469e-17,0.5473140737648066,0.004987520807317658
8,2.0296912940297272e-16,0.8198035367880865,0.004987520807317703
9,2.2829520272441166e-16,1.109796438140711,0.004987520807317665
10,2.2493774386701033e-16,1.0316769335814133,0.0049875208073177435
11,1.360834620332017e-16,1.0523245278352045,0.004987520807317693
12,1.774062036976361e-16,0.950769749604336,0.004987520807317715
13,2.994099053240101e-16,1.3727642490042973,0.004987520807317722
14,2.1189233495511914e-16,1.2306771907530158,0.004987520807317708
15,3.1113852074989683e-16,1.3894394507631822,0.00498752080731775
16,2.485346351159713e-16,1.4781428168532538,0.004987520807317696
17,2.5114808605632656e-16,1.5227593247413609,0.004987520807317787
18,4.498050283167624e-16,1.5527887898926371,0.0049875208073176915
19,2.5400142671790247e-16,1.4980853556893885,0.004987520807317764
20,3.2224943921554213e-16,1.1097964381407106,0.004987520807317723
21,3.74092180864386e-16,1.86387166939587,0.004987520807317722
22,3.1055071526610266e-16,1.1958871169586125,0.004987520807317715
23,2.0253729644275355e-16,1.3162674247224782,0.004987520807317717
24,2.3410890532277355e-16,1.1512468171441217,0.004987520807317798
25,5.406587394911198e-16,1.125137785505283,0.004987520807317698
26,3.5331968482486637e-16,1.5310414138823991,0.004987520807317707
27,7.780882701928045e-16,1.9165517642346561,0.004987520807317736
28,5.953453085316033e-16,1.5527887898926387,0.004987520807317724
29,4.237236100374756e-16,0.8198035367880868,0.0049875208073177765
30,5.568811048499707e-16,1.8486347389692612,0.004987520807317759
31,3.6573471450907674e-16,0.48731843846545947,0.004987520807317804
32,1.0152208857194485e-16,1.3429093707062476,0.004987520807317796
33,6.553599436694205e-16,1.8299555276458022,0.00498752080731778
34,2.205546915907067e-16,1.9373449835097056,0.004987520807317766
35,3.2961272357652293e-16,1.5310414138823998,0.004987520807317772
36,3.33274621972654e-16,1.522759324741361,0.004987520807317752
37,1.7604206072506365e-16,0.5473140737648067,0.004987520807317657
38,4.234331561987769e-16,1.5863822356720323,0.004987520807317921
39,5.167408738157166e-16,1.8182324015363218,0.004987520807317743
40,4.55268320201267e-16,1.8412976802213468,0.00498752080731782
41,4.916846757684758e-16,1.829955527645803,0.004987520807317826
42,5.497137474096224e-16,1.12513778550528,0.004987520807317788
43,2.68201715820704e-16,1.4781428168532538,0.004987520807317818
44,3.2551185022709506e-16,0.35186854314893073,0.004987520807317669
45,7.953760480545387e-16,1.7883888814657434,0.004987520807317893
46,4.530825931827822e-16,1.818232401536323,0.004987520807318008
47,4.969516424377407e-16,1.3429093707062472,0.004987520807317938
48,5.071636066340335e-16,1.1512468171441206,0.004987520807317736
49,5.124522305048274e-16,1.3894394507631815,0.0049875208073177765
50,5.4664437062301494e-17,0.2850516864977247,0.004987520807317718
51,5.409624447447717e-16,1.5863822356720294,0.004987520807317983
52,4.68394557047548e-16,0.4873184384654592,0.0049875208073178155
53,6.186270510552332e-16,1.316267424722477,0.004987520807317741
54,0.0,1.2306771907530165,0.004987520807317692
55,3.2501874546937745e-16,0.3005205701382665,0.004987520807317756
56,7.580013925399686e-16,1.8486347389692612,0.004987520807317904
57,6.392203871575826e-16,1.1958871169586103,0.0049875208073180315
58,7.987408732301544e-16,1.3727642490042973,0.0049875208073177635
59,4.201739880449377e-16,0.2912990429866078,0.004987520807317906
60,4.835512476291794e-16,1.8638716693958703,0.004987520807317842
61,4.86991687433414e-16,0.9507697496043348,0.004987520807317925
62,4.0919494630336205e-16,0.3692151499490936,0.004987520807317965
63,5.354583065108709e-16,1.0523245278352023,0.00498752080731803
64,2.960356423488532e-16,0.6075303528714691,0.004987520807318082
65,2.744887307660575e-16,1.0471454475534703,0.004987520807317906
