row_type,cell,a_lower,a_upper,first_lower,first_upper,second_lower,second_upper,root_width,objective_lower,objective_upper,numerical_objective,left_derivative_lower,right_derivative_upper,maximum_second_derivative_upper
curvature_cell,0,0.2178955078125,0.21796083450317383,0.037925084357714585,0.039442818955783505,-4.002571478626325,-3.9841610850769773,,,,,,,
curvature_cell,1,0.21796083450317383,0.21802616119384766,0.0376643769905658,0.03918180961471641,-4.002114023224657,-3.9837089553641447,,,,,,,
curvature_cell,2,0.21802616119384766,0.21809148788452148,0.037403699199858205,0.03892083007218065,-4.001657261207118,-3.983257510431033,,,,,,,
curvature_cell,3,0.21809148788452148,0.2181568145751953,0.03714305094068127,0.03865988028307834,-4.0012011922411075,-3.982806749951114,,,,,,,
curvature_cell,4,0.2181568145751953,0.21822214126586914,0.036882432168146274,0.03839896020233189,-4.000745815994708,-3.982356673598544,,,,,,,
curvature_cell,5,0.21822214126586914,0.21828746795654297,0.03662184283738463,0.0381380697848867,-4.000291132136699,-3.981907281048144,,,,,,,
curvature_cell,6,0.21828746795654297,0.2183527946472168,0.036361282903550514,0.03787720898570839,-3.999837140336536,-3.9814585719754345,,,,,,,
curvature_cell,7,0.2183527946472168,0.21841812133789062,0.03610075232181826,0.03761637775978469,-3.999383840264386,-3.9810105460565812,,,,,,,
curvature_cell,8,0.21841812133789062,0.21848344802856445,0.035840251047384176,0.0373555760621248,-3.998931231591088,-3.9805632029684483,,,,,,,
curvature_cell,9,0.21848344802856445,0.21854877471923828,0.0355797790354652,0.03709480384775917,-3.9984793139881685,-3.9801165423885676,,,,,,,
curvature_cell,10,0.21854877471923828,0.2186141014099121,0.035319336241299494,0.03683406107173998,-3.9980280871278544,-3.9796705639951324,,,,,,,
curvature_cell,11,0.2186141014099121,0.21867942810058594,0.035058922620146656,0.036573347689140036,-3.997577550683039,-3.9792252674670334,,,,,,,
curvature_cell,12,0.21867942810058594,0.21874475479125977,0.03479853812728661,0.03631266365505372,-3.997127704327323,-3.978780652483809,,,,,,,
curvature_cell,13,0.21874475479125977,0.2188100814819336,0.03453818271802132,0.036052008924597055,-3.9966785477349744,-3.9783367187256853,,,,,,,
curvature_cell,14,0.2188100814819336,0.21887540817260742,0.03427785634767285,0.03579138345290674,-3.996230080580959,-3.9778934658735507,,,,,,,
curvature_cell,15,0.21887540817260742,0.21894073486328125,0.03401755897158366,0.03553078719514113,-3.995782302540926,-3.9774508936089594,,,,,,,
curvature_cell,16,0.21894073486328125,0.21900606155395508,0.03375729054511866,0.03527022010647884,-3.995335213291193,-3.9770090016141544,,,,,,,
curvature_cell,17,0.21900606155395508,0.2190713882446289,0.03349705102366252,0.035009682142120156,-3.994888812508777,-3.9765677895720324,,,,,,,
curvature_cell,18,0.2190713882446289,0.21913671493530273,0.033236840362620736,0.034749173257286346,-3.9944430998713685,-3.9761272571661572,,,,,,,
curvature_cell,19,0.21913671493530273,0.21920204162597656,0.03297665851741972,0.03448869340721946,-3.993998075057337,-3.9756874040807713,,,,,,,
curvature_cell,20,0.21920204162597656,0.2192673683166504,0.032716505443506495,0.034228242547182146,-3.993553737745741,-3.975248230000776,,,,,,,
curvature_cell,21,0.2192673683166504,0.21933269500732422,0.03245638109634843,0.03396782063245877,-3.9931100876163153,-3.974809734611742,,,,,,,
curvature_cell,22,0.21933269500732422,0.21939802169799805,0.0321962854314343,0.033707427618354,-3.9926671243494725,-3.9743719175999037,,,,,,,
curvature_cell,23,0.21939802169799805,0.21946334838867188,0.031936218404272805,0.033447063460192945,-3.9922248476263036,-3.973934778652161,,,,,,,
curvature_cell,24,0.21946334838867188,0.2195286750793457,0.03167617997039302,0.03318672811332234,-3.991783257128581,-3.973498317456088,,,,,,,
curvature_cell,25,0.2195286750793457,0.21959400177001953,0.031416170085344676,0.03292642153310862,-3.9913423525387492,-3.973062533699904,,,,,,,
curvature_cell,26,0.21959400177001953,0.21965932846069336,0.03115618870469841,0.03266614367493966,-3.990902133539937,-3.972627427072509,,,,,,,
curvature_cell,27,0.21965932846069336,0.2197246551513672,0.03089623578404432,0.03240589449422398,-3.9904625998159475,-3.9721929972634538,,,,,,,
curvature_cell,28,0.2197246551513672,0.21978998184204102,0.030636311278993477,0.0321456739463895,-3.990023751051248,-3.9717592439629636,,,,,,,
curvature_cell,29,0.21978998184204102,0.21985530853271484,0.030376415145176913,0.03188548198688595,-3.989585586931,-3.971326166861911,,,,,,,
curvature_cell,30,0.21985530853271484,0.21992063522338867,0.030116547338246532,0.03162531857118286,-3.989148107141021,-3.970893765651842,,,,,,,
