uses,survival,coherence,fraction_of_ideal_threshold,time,product_lower,GHZ_lower,winner,advantage
2,0.5,0.5,0.25,0.08995462675067366,0.07593331354374085,0.02391771452281811,product,0.05201559902092273
2,0.5,0.5,0.5,0.17990925350134732,0.14836345265616457,0.044194173824159216,product,0.10416927883200536
2,0.5,0.5,0.75,0.26986388025202096,0.21410116093869583,0.05774247078195542,product,0.15635869015674042
2,0.5,0.5,1.0,0.35981850700269463,0.27052669529663687,0.0625,product,0.20802669529663687
2,0.5,0.7,0.25,0.08995462675067366,0.1096941502579773,0.046878720464723495,product,0.0628154297932538
2,0.5,0.7,0.5,0.17990925350134732,0.21369325240408094,0.08662058069535206,product,0.12707267170872888
2,0.5,0.7,0.75,0.26986388025202096,0.3069432206383979,0.11317524273263262,product,0.19376797790576528
2,0.5,0.7,1.0,0.35981850700269463,0.38556004449831227,0.12249999999999998,product,0.2630600444983123
2,0.5,0.9,0.25,0.08995462675067366,0.1463406739640754,0.07749339505393069,product,0.06884727891014472
2,0.5,0.9,0.5,0.17990925350134732,0.28418808238767973,0.14318912319027588,product,0.14099895919740385
2,0.5,0.9,0.75,0.26986388025202096,0.4061350185092918,0.18708560533353558,product,0.2190494131757562
2,0.5,0.9,1.0,0.35981850700269463,0.5067824159441487,0.2025,product,0.30428241594414873
2,0.5,1.0,0.25,0.08995462675067366,0.1658605537171922,0.09567085809127245,product,0.07018969562591974
2,0.5,1.0,0.5,0.17990925350134732,0.3215930620025417,0.17677669529663687,product,0.1448163667059048
2,0.5,1.0,0.75,0.26986388025202096,0.45841710278745584,0.23096988312782168,product,0.22744721965963416
2,0.5,1.0,1.0,0.35981850700269463,0.5700597415393834,0.25,product,0.32005974153938344
2,0.7,0.5,0.25,0.08995462675067366,0.09420400438121615,0.046878720464723495,product,0.047325283916492655
2,0.7,0.5,0.5,0.17990925350134732,0.1836410061438574,0.08662058069535206,product,0.09702042544850534
2,0.7,0.5,0.75,0.26986388025202096,0.2640786101943552,0.11317524273263262,product,0.15090336746172256
2,0.7,0.5,1.0,0.35981850700269463,0.3322424240491749,0.12249999999999998,product,0.20974242404917492
2,0.7,0.7,0.25,0.08995462675067366,0.13852512827531324,0.09188229211085802,product,0.04664283616445522
2,0.7,0.7,0.5,0.17990925350134732,0.2688268692248834,0.16977633816289,product,0.09905053106199341
2,0.7,0.7,0.75,0.26986388025202096,0.38382518110757585,0.22182347575595987,product,0.16200170535161598
2,0.7,0.7,1.0,0.35981850700269463,0.4785118289915654,0.24009999999999992,product,0.2384118289915655
2,0.7,0.9,0.25,0.08995462675067366,0.18850219867345913,0.15188705430570412,product,0.03661514436775501
2,0.7,0.9,0.5,0.17990925350134732,0.364136191567847,0.28065068145294064,product,0.08348551011490635
2,0.7,0.9,0.75,0.26986388025202096,0.5160172388363324,0.3666877864537297,product,0.14932945238260276
2,0.7,0.9,1.0,0.35981850700269463,0.6369117175325116,0.3969,product,0.24001171753251166
2,0.7,1.0,0.25,0.08995462675067366,0.21583610495666486,0.18751488185889398,product,0.02832122309777088
2,0.7,1.0,0.5,0.17990925350134732,0.41601967940053136,0.3464823227814082,product,0.06953735661912314
2,0.7,1.0,0.75,0.26986388025202096,0.5873781909724363,0.45270097093053047,product,0.1346772200419058
2,0.7,1.0,1.0,0.35981850700269463,0.7213372959527249,0.48999999999999994,product,0.23133729595272495
2,0.9,0.5,0.25,0.08995462675067366,0.10555890403010801,0.07749339505393069,product,0.028065508976177322
2,0.9,0.5,0.5,0.17990925350134732,0.20516551530310853,0.14318912319027588,product,0.06197639211283265
2,0.9,0.5,0.75,0.26986388025202096,0.2936771936672609,0.18708560533353558,product,0.10659158833372534
2,0.9,0.5,1.0,0.35981850700269463,0.3673896103067893,0.2025,product,0.16488961030678928
2,0.9,0.7,0.25,0.08995462675067366,0.15875800224358919,0.15188705430570412,product,0.0068709479378850635
2,0.9,0.7,0.5,0.17990925350134732,0.30662123796521173,0.28065068145294064,product,0.025970556512271092
2,0.9,0.7,0.75,0.26986388025202096,0.4344812399846503,0.3666877864537297,product,0.06779345353092064
2,0.9,0.7,1.0,0.35981850700269463,0.5364509087384919,0.3969,product,0.1395509087384919
2,0.9,0.9,0.25,0.08995462675067366,0.22130672631070208,0.2510785999747355,GHZ,0.029771873664033388
2,0.9,0.9,0.5,0.17990925350134732,0.4248116585909259,0.4639327591364939,GHZ,0.039121100545568
2,0.9,0.9,0.75,0.26986388025202096,0.595858437976701,0.6061573612806553,GHZ,0.010298923303954322
