distance,recurrence_value_exact,recurrence_value,target_C_damp,defect
0,1,1.0,1.0,0.0
1,101/200,0.505,0.505,0.0
2,101/299,0.3377926421404682,0.22756670546834754,0.11022593667212069
3,101/398,0.2537688442211055,0.1252329263149802,0.1285359179061253
4,101/497,0.20321931589537223,0.07923367305085117,0.12398564284452106
5,101/596,0.16946308724832215,0.05491777827620198,0.11454530897212017
6,101/695,0.14532374100719425,0.04052332235066948,0.10480041865652477
