epsilon,atom_count_after_aggregation,maximum_exact_moment_defect,allocation_score_sum,minimax_risk_coefficient,risk_ratio_to_reduced_representation
0,7,0,3.295605758494441,9.618004785993307,1.0
1/100000000,19,0,3.295661916809199,9.61837494047807,1.000038485579182
1/1000000,19,0,3.3012215899702553,9.655051456657326,1.0038518041411217
1/10000,19,0,3.85718890607587,13.634893727726354,1.4176426432624403
1/1000,19,0,8.911437234308735,78.17070105159571,8.127538173555044
1/100,19,0,59.45392051663738,3533.5256522692066,367.386555828614
