h,relative_noiseless_bias,median_relative_error,p95_relative_error,plus_click_probability
0.004,8.09402651143296e-06,0.2939863284294423,0.8306491367630723,0.7802
0.00528099823159876,1.4108339436765478e-05,0.22371330096646788,0.6699382250917093,0.7802
0.006972235580537307,2.459158921385639e-05,0.1718816836116464,0.4470491507046591,0.7802
0.009205090942776866,4.286435335395681e-05,0.11041438324474247,0.33123125280585825,0.7802
0.012153017247627594,7.471437848031073e-05,0.09294991124392557,0.2564161865014611,0.7801999999999999
0.016045015648327637,0.00013022939293217488,0.07306665928764211,0.22669391013692886,0.7801999999999999
0.021183424816198164,0.0002269909117393055,0.05972089704583833,0.13865167369606338,0.7802
0.027967407248386943,0.0003956385064409502,0.04113586920293935,0.12592239663928625,0.7801999999999999
0.03692395705528344,0.0006895603918848007,0.02901273618380474,0.08285239980027555,0.7802
0.04874883797814509,0.001201759591171429,0.02244547717424408,0.057464201647434286,0.7802
0.06436063178876966,0.002094176438261239,0.01668830735681817,0.04993592896487592,0.7802000000000001
0.08497209566526787,0.0036485680723730503,0.01258272899280614,0.033788674226098096,0.7802
0.11218437173588004,0.006354492588089751,0.011904830315811878,0.031982230552554954,0.7802
0.14811136718755005,0.011060544194870696,0.011803415652145773,0.027732537821737808,0.7802
0.1955439670492816,0.019231535477995644,0.018665736482596285,0.031133857316972238,0.7802
0.2581668360467655,0.033377410267482664,0.03314878482482122,0.04295340725585432,0.7802
0.3408446511551038,0.05774287093382646,0.05789734988926498,0.06421753538267021,0.7802000000000001
0.45,0.09933774963708634,0.099424128693995,0.10423903193607603,0.7802
