row_type,probe_count,minimum_profiled_pole_information,maximum_profiled_pole_information,profiled_condition_number,new_probe_residues,relative_noise,pole_half_separation,gaussian_kl,bayes_error_lower_bound
e_optimal_probe,1,7.078287936613587e-12,4.9393290105898994e-06,697814.0836911172,"[0.025109927423025723, 0.13552227581888615, 0.0691661606528965]",,,,
e_optimal_probe,2,2.7113181352909158e-08,1.2636579933064382e-05,466.06776860984326,"[0.027990962997430147, 0.026405962733370043, 0.08431702272607922]",,,,
e_optimal_probe,3,1.2938776722988732e-06,3.075124495495426e-05,23.766732832105802,"[0.3575884927227784, 0.3596742916576931, 0.003487121133882591]",,,,
e_optimal_probe,4,4.013690893508308e-06,3.4286321627316715e-05,8.54234233203433,"[0.06501082532303087, 0.5118194067643762, 0.008263600717850582]",,,,
e_optimal_probe,5,4.647591344231887e-06,3.91076869428488e-05,8.41461394650914,"[0.01774903327611293, 0.015740954642075606, 0.09008252764061048]",,,,
e_optimal_probe,6,8.239654052246248e-06,4.0549981726021644e-05,4.921320903632736,"[9.8174258433173e-05, 0.2172664040869419, 0.058078222170922504]",,,,
collision_lower_bound,1,,,,,0.001,0.0001,1.6090599832147547e-10,0.4999955152202072
collision_lower_bound,1,,,,,0.001,0.00012425536308277683,3.835595616612577e-10,0.4999930757711471
collision_lower_bound,1,,,,,0.001,0.00015439395254832698,9.143098161123626e-10,0.499989309409417
collision_lower_bound,1,,,,,0.001,0.00019184276631677367,2.1794853585507708e-09,0.4999834943746008
collision_lower_bound,1,,,,,0.001,0.0002383749258349502,5.195346712231417e-09,0.49997451631229534
collision_lower_bound,1,,,,,0.001,0.00029619362959451735,1.2384404110241408e-08,0.4999606547269195
collision_lower_bound,1,,,,,0.001,0.0003680364698807227,2.9521315097947235e-08,0.49993925327673655
collision_lower_bound,1,,,,,0.001,0.00045730505192732656,7.037141670549602e-08,0.49990621073042085
collision_lower_bound,1,,,,,0.001,0.0005682260526681802,1.6774782626589707e-07,0.4998551950336375
collision_lower_bound,1,,,,,0.001,0.0007060513448737779,3.998688069788853e-07,0.4997764298748214
collision_lower_bound,1,,,,,0.001,0.0008773066621237416,9.531871590100492e-07,0.4996548212131717
collision_lower_bound,1,,,,,0.001,0.0010901005783712453,2.272159870944362e-06,0.49946706474702074
collision_lower_bound,1,,,,,0.001,0.001354508431622641,5.416261938280585e-06,0.4991771800061465
collision_lower_bound,1,,,,,0.001,0.0016830493696995367,1.2911019692860517e-05,0.4987296152308818
collision_lower_bound,1,,,,,0.001,0.002091279105182548,3.077666790033756e-05,0.49803860164995933
collision_lower_bound,1,,,,,0.001,0.002598526445218819,7.336398545411318e-05,0.4969717169581157
collision_lower_bound,1,,,,,0.001,0.0032288084693086177,0.00017488181028136964,0.4953245079098376
collision_lower_bound,1,,,,,0.001,0.004011967686786871,0.00041687609459388123,0.4927813081639237
collision_lower_bound,1,,,,,0.001,0.004985085015980705,0.0009937343712504852,0.48885474107944055
collision_lower_bound,1,,,,,0.001,0.0061942354865919345,0.0023688367200475646,0.48279231014906576
collision_lower_bound,1,,,,,0.001,0.007696669794067008,0.00564679797511218,0.47343216706449276
collision_lower_bound,1,,,,,0.001,0.009563524997900372,0.013460864063692115,0.4589803948341587
collision_lower_bound,1,,,,,0.001,0.011883192709653233,0.03208847886518962,0.43666707129660987
collision_lower_bound,1,,,,,0.001,0.01476550424720569,0.07649513564419434,0.40221507296354775
collision_lower_bound,1,,,,,0.001,0.018346930913368264,0.18236085858272547,0.349019513436866
collision_lower_bound,1,,,,,0.001,0.022797045620951938,0.43476011637894924,0.26687982809853483
collision_lower_bound,1,,,,,0.001,0.028326551808460103,1.0365709840858455,0.14003976190316425
collision_lower_bound,1,,,,,0.001,0.03519725979843299,2.471705424084707,0.0
collision_lower_bound,1,,,,,0.001,0.043734482957731156,5.894798862599434,0.0
collision_lower_bound,1,,,,,0.001,0.054342440591504,14.06230596279051,0.0
collision_lower_bound,1,,,,,0.001,0.06752339686501552,33.56002111272382,0.0
collision_lower_bound,1,,,,,0.001,0.08390144194044938,80.14257806213891,0.0
collision_lower_bound,1,,,,,0.001,0.10425204131479057,191.57132332318253,0.0
collision_lower_bound,1,,,,,0.001,0.12953875245689953,458.625013225515,0.0
collision_lower_bound,1,,,,,0.001,0.16095884719822,1100.548643834745,0.0
collision_lower_bound,1,,,,,0.001,0.2,2650.6639028704626,0.0
collision_lower_bound,4,,,,,0.001,0.0001,6.436239932859019e-10,0.4999910304404143
collision_lower_bound,4,,,,,0.001,0.00012425536308277683,1.5342382466450308e-09,0.49998615154229414
collision_lower_bound,4,,,,,0.001,0.00015439395254832698,3.6572392644494505e-09,0.49997861881883393
collision_lower_bound,4,,,,,0.001,0.00019184276631677367,8.717941434203083e-09,0.4999669887492016
collision_lower_bound,4,,,,,0.001,0.0002383749258349502,2.078138684892567e-08,0.4999490326245907
collision_lower_bound,4,,,,,0.001,0.00029619362959451735,4.953761644096563e-08,0.49992130945383895
collision_lower_bound,4,,,,,0.001,0.0003680364698807227,1.1808526039178894e-07,0.49987850655347316
collision_lower_bound,4,,,,,0.001,0.00045730505192732656,2.814856668219841e-07,0.49981242146084176
collision_lower_bound,4,,,,,0.001,0.0005682260526681802,6.709913050635883e-07,0.4997103900672751
collision_lower_bound,4,,,,,0.001,0.0007060513448737779,1.599475227915541e-06,0.49955285974964286
collision_lower_bound,4,,,,,0.001,0.0008773066621237416,3.812748636040197e-06,0.4993096424263434
collision_lower_bound,4,,,,,0.001,0.0010901005783712453,9.088639483777448e-06,0.49893412949404153
collision_lower_bound,4,,,,,0.001,0.001354508431622641,2.166504775312234e-05,0.498354360012293
collision_lower_bound,4,,,,,0.001,0.0016830493696995367,5.164407877144207e-05,0.49745923046176355
collision_lower_bound,4,,,,,0.001,0.002091279105182548,0.00012310667160135024,0.49607720329991867
collision_lower_bound,4,,,,,0.001,0.002598526445218819,0.0002934559418164527,0.49394343391623136
collision_lower_bound,4,,,,,0.001,0.0032288084693086177,0.0006995272411254786,0.4906490158196752
collision_lower_bound,4,,,,,0.001,0.004011967686786871,0.001667504378375525,0.4855626163278473
collision_lower_bound,4,,,,,0.001,0.004985085015980705,0.003974937485001941,0.47770948215888104
collision_lower_bound,4,,,,,0.001,0.0061942354865919345,0.009475346880190258,0.4655846202981315
collision_lower_bound,4,,,,,0.001,0.007696669794067008,0.02258719190044872,0.4468643341289856
collision_lower_bound,4,,,,,0.001,0.009563524997900372,0.05384345625476846,0.4179607896683174
collision_lower_bound,4,,,,,0.001,0.011883192709653233,0.12835391546075847,0.3733341425932197
collision_lower_bound,4,,,,,0.001,0.01476550424720569,0.30598054257677737,0.3044301459270955
collision_lower_bound,4,,,,,0.001,0.018346930913368264,0.7294434343309019,0.19803902687373204
collision_lower_bound,4,,,,,0.001,0.022797045620951938,1.739040465515797,0.03375965619706972
collision_lower_bound,4,,,,,0.001,0.028326551808460103,4.146283936343382,0.0
collision_lower_bound,4,,,,,0.001,0.03519725979843299,9.886821696338828,0.0
collision_lower_bound,4,,,,,0.001,0.043734482957731156,23.579195450397737,0.0
collision_lower_bound,4,,,,,0.001,0.054342440591504,56.24922385116204,0.0
collision_lower_bound,4,,,,,0.001,0.06752339686501552,134.24008445089527,0.0
collision_lower_bound,4,,,,,0.001,0.08390144194044938,320.57031224855564,0.0
collision_lower_bound,4,,,,,0.001,0.10425204131479057,766.2852932927301,0.0
collision_lower_bound,4,,,,,0.001,0.12953875245689953,1834.50005290206,0.0
collision_lower_bound,4,,,,,0.001,0.16095884719822,4402.19457533898,0.0
