row_type,omega,phi,beta,eta,score,all_pass,index,normalized_distance_from_frozen
frozen_grid_winner,0.18575,0.1625,1.0,1.8,1.8803719644815793,True,,
continuous_bounded_best_candidate,0.18425313243682945,0.1624999999999998,0.9999997722262386,1.7998488985547796,1.8331321239662381,True,,
local_perturbation,0.1938594649773377,0.1624999999999998,1.0,1.7740630434392783,2.0409998789935244,True,0,1.4990714794721343
local_perturbation,0.19318565524573186,0.15645941826527768,1.0,1.8,2.250949095546672,True,1,1.2839096206007774
local_perturbation,0.19502664070820339,0.1385699587627857,0.9878673019049906,1.8,2.120220325462695,True,2,2.0683423329573456
local_perturbation,0.1906182684388117,0.15947408017807943,0.9363439938747573,1.7392555015641675,3.138864534738148,False,3,2.510100445997668
local_perturbation,0.17468498606820904,0.1624999999999998,1.0,1.785649286542751,2.9856893648004803,False,4,1.8787425632823889
local_perturbation,0.1822634500679195,0.1560308333266513,1.0,1.8,1.9729158764997672,True,5,0.6832529114996726
local_perturbation,0.18003531500967643,0.1624999999999998,0.9979097312462082,1.8,2.0501214996658828,True,6,0.9543180550609096
local_perturbation,0.19223803673627732,0.14380438735810522,1.0,1.7455884887099753,2.5339129381534007,True,7,2.0244657593191175
local_perturbation,0.17786382575497842,0.14893201201544082,0.9730445837518005,1.8,2.8058381792994775,False,8,1.69966665009484
local_perturbation,0.186981221114409,0.1624999999999998,0.9378888555146354,1.778240612169552,2.512957287838826,True,9,1.8674173730366248
local_perturbation,0.18837178471878574,0.1624999999999998,0.9733530825645461,1.7742093416646196,2.1878738614924766,True,10,1.0891743579337407
local_perturbation,0.1853096458696577,0.1588470083017119,1.0,1.8,1.8479220268473966,True,11,0.21580708541060104
local_perturbation,0.19194910390016,0.1624999999999998,1.0,1.8,2.242907595538345,True,12,1.0331839833600023
local_perturbation,0.18131613495644663,0.1493605322900044,0.9571533248202632,1.760690451535259,3.548996353881281,False,13,1.882382234113368
local_perturbation,0.18337816232619442,0.1526461736925356,1.0,1.8,1.9461021013662625,True,14,0.6752421112561545
local_perturbation,0.18179079863615685,0.1624999999999998,1.0,1.8,1.9194165841222708,True,15,0.6598668939738576
local_perturbation,0.18898144953231158,0.1624999999999998,1.0,1.783577789288373,1.8801112219414418,True,16,0.6772138322375842
local_perturbation,0.19563594837327192,0.1415068269609708,0.9412458616613838,1.7690139104931486,2.41852585404627,False,17,2.7373506270334556
