times,minimum_fisher_eigenvalue,condition_number,cramer_rao_sd_log_scale,cramer_rao_sd_quadratic_clock,cramer_rao_sd_cubic_clock
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.3636363636363636]",0.4367964504212122,14437.293076806027,0.06888327827870282,0.6518565785671038,1.36954642721259
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.46818181818181814]",1.1611406570622225,5867.664778024682,0.061311761386177874,0.48482010527951247,0.7932254144377578
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.5727272727272728]",2.0139880183693903,3619.2539713953215,0.057924602580295366,0.41664279438979374,0.5684378254661518
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.6772727272727272]",2.9101969530534326,2671.238333350155,0.055922559335165406,0.37849259623661774,0.44652287657913453
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.7818181818181819]",3.8048967240015097,2183.477814915526,0.05458043355845153,0.3537500837675334,0.3689913251091931
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.8863636363636364]",4.670693727230477,1912.554162940359,0.05361249396569526,0.3362885492374778,0.31496811578740164
"[0.05, 0.15454545454545454, 0.2590909090909091, 0.9909090909090909]",5.491569037595793,1764.592046653723,0.052879471027528,0.32326451630891573,0.2750227143051521
"[0.05, 0.15454545454545454, 0.2590909090909091, 1.0954545454545455]",6.259323019473693,1696.4606911162637,0.05230432695669115,0.3131598701567731,0.24422287508642218
"[0.05, 0.15454545454545454, 0.2590909090909091, 1.2]",6.970961262855279,1685.555262227509,0.05184066742679989,0.3050840483440539,0.2197199018365053
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.46818181818181814]",1.0525141491300125,7070.833070369796,0.05854884735375747,0.48969492442838963,0.8451330865566936
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.5727272727272728]",3.0195300401965244,2630.7972715647056,0.05023095729048488,0.33612425906250804,0.46874961252699204
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.6772727272727272]",5.418927460297474,1559.2782578995163,0.04701686142768075,0.2781127779736317,0.3277276371997546
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.7818181818181819]",7.90836419241892,1137.6728024808303,0.045231070385495994,0.2474157611840255,0.2545275258858565
